using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=30, a_nnz=5.71748, ever_a_nnz=10.4459, b_nnz=64.3182, uni_search=11.5907, uni_subSolve=0.549416, uni_maintain_time=0.188515, bi_search=132.564, bi_subSolve=0.607077, bi_maintain_time=0.305063, admm_maintain=0.212867, area4=-nan, infea=3.97319, d_obj=1928.5., heldout Acc=0.990617 (12/50), overall time=4749.2
i=31, a_nnz=5.77339, ever_a_nnz=10.5662, b_nnz=66.0362, uni_search=20.1908, uni_subSolve=0.94556, uni_maintain_time=0.157386, bi_search=132.234, bi_subSolve=0.612915, bi_maintain_time=0.314331, admm_maintain=0.507128, area4=-nan, infea=3.42574, d_obj=1709.12., heldout Acc=0.988395 (13/50), overall time=4904.18
i=32, a_nnz=5.83289, ever_a_nnz=10.6822, b_nnz=67.7553, uni_search=10.9794, uni_subSolve=0.497951, uni_maintain_time=0.133438, bi_search=121.353, bi_subSolve=0.510973, bi_maintain_time=0.242096, admm_maintain=0.520416, area4=-nan, infea=3.81705, d_obj=1458.71., heldout Acc=0.993827 (14/50), overall time=5038.44
i=33, a_nnz=5.89021, ever_a_nnz=10.7904, b_nnz=69.3937, uni_search=15.46, uni_subSolve=0.746043, uni_maintain_time=0.154854, bi_search=141.615, bi_subSolve=0.825607, bi_maintain_time=0.382658, admm_maintain=0.649384, area4=-nan, infea=3.1073, d_obj=1278.78., heldout Acc=0.994815 (15/50), overall time=5198.3
i=34, a_nnz=5.9633, ever_a_nnz=10.9053, b_nnz=71.0739, uni_search=15.2909, uni_subSolve=0.756816, uni_maintain_time=0.179981, bi_search=138.4, bi_subSolve=0.756635, bi_maintain_time=0.361972, admm_maintain=0.500158, area4=-nan, infea=3.47636, d_obj=1630.14., heldout Acc=0.992593 (16/50), overall time=5354.58
i=35, a_nnz=6.02049, ever_a_nnz=11.02, b_nnz=72.8445, uni_search=11.2693, uni_subSolve=0.514426, uni_maintain_time=0.134981, bi_search=116.447, bi_subSolve=0.45337, bi_maintain_time=0.207673, admm_maintain=0.239406, area4=-nan, infea=3.19192, d_obj=1486.77., heldout Acc=0.99284 (17/50), overall time=5483.86
i=36, a_nnz=6.08451, ever_a_nnz=11.1343, b_nnz=74.604, uni_search=20.7994, uni_subSolve=1.28705, uni_maintain_time=0.207458, bi_search=143.588, bi_subSolve=0.91091, bi_maintain_time=0.413375, admm_maintain=0.692498, area4=-nan, infea=3.35967, d_obj=1334.29., heldout Acc=0.988642 (18/50), overall time=5651.79
i=37, a_nnz=6.15869, ever_a_nnz=11.2461, b_nnz=76.3664, uni_search=20.5172, uni_subSolve=1.11704, uni_maintain_time=0.162274, bi_search=134.437, bi_subSolve=0.800165, bi_maintain_time=0.365566, admm_maintain=0.262596, area4=-nan, infea=3.40314, d_obj=1209.49., heldout Acc=0.986667 (19/50), overall time=5809.48
i=38, a_nnz=6.20222, ever_a_nnz=11.3435, b_nnz=78.0094, uni_search=26.4656, uni_subSolve=1.36263, uni_maintain_time=0.188819, bi_search=132.089, bi_subSolve=0.747053, bi_maintain_time=0.347412, admm_maintain=0.566585, area4=-nan, infea=2.96828, d_obj=1048.69., heldout Acc=0.98963 (20/50), overall time=5971.28
i=39, a_nnz=6.26554, ever_a_nnz=11.4379, b_nnz=79.652, uni_search=34.282, uni_subSolve=1.94806, uni_maintain_time=0.263405, bi_search=125.868, bi_subSolve=0.634157, bi_maintain_time=0.287454, admm_maintain=0.581283, area4=-nan, infea=1.98948, d_obj=938.486., heldout Acc=0.989877 (21/50), overall time=6135.17
i=40, a_nnz=6.32925, ever_a_nnz=11.5386, b_nnz=81.3882, uni_search=26.1187, uni_subSolve=1.58876, uni_maintain_time=0.219274, bi_search=122.083, bi_subSolve=0.583411, bi_maintain_time=0.266031, admm_maintain=0.571733, area4=-nan, infea=3.42727, d_obj=913.098., heldout Acc=0.991605 (22/50), overall time=6286.62
i=41, a_nnz=6.38702, ever_a_nnz=11.6408, b_nnz=83.1339, uni_search=11.3995, uni_subSolve=0.515992, uni_maintain_time=0.130752, bi_search=124.533, bi_subSolve=0.627007, bi_maintain_time=0.275241, admm_maintain=0.28636, area4=-nan, infea=3.44987, d_obj=872.443., heldout Acc=0.991111 (23/50), overall time=6424.41
i=42, a_nnz=6.44338, ever_a_nnz=11.7341, b_nnz=84.8012, uni_search=36.1271, uni_subSolve=2.01143, uni_maintain_time=0.263217, bi_search=157.808, bi_subSolve=1.175, bi_maintain_time=0.535011, admm_maintain=0.84439, area4=-nan, infea=3.27614, d_obj=758.056., heldout Acc=0.990123 (24/50), overall time=6623.22
i=43, a_nnz=6.49598, ever_a_nnz=11.8201, b_nnz=86.3439, uni_search=15.6243, uni_subSolve=0.726948, uni_maintain_time=0.161959, bi_search=139.026, bi_subSolve=0.906723, bi_maintain_time=0.422308, admm_maintain=0.24557, area4=-nan, infea=2.96704, d_obj=701.116., heldout Acc=0.993086 (25/50), overall time=6780.36
i=44, a_nnz=6.54896, ever_a_nnz=11.9083, b_nnz=87.9124, uni_search=21.2605, uni_subSolve=1.09017, uni_maintain_time=0.179173, bi_search=146.575, bi_subSolve=1.09656, bi_maintain_time=0.481028, admm_maintain=0.575147, area4=-nan, infea=2.82286, d_obj=634.563., heldout Acc=0.99037 (26/50), overall time=6951.65
i=45, a_nnz=6.60973, ever_a_nnz=11.9909, b_nnz=89.4878, uni_search=12.2197, uni_subSolve=0.573776, uni_maintain_time=0.153885, bi_search=114.081, bi_subSolve=0.49466, bi_maintain_time=0.217165, admm_maintain=0.63309, area4=-nan, infea=3.48492, d_obj=629.644., heldout Acc=0.987407 (27/50), overall time=7080.04
i=46, a_nnz=6.66099, ever_a_nnz=12.0729, b_nnz=91.0316, uni_search=12.5947, uni_subSolve=0.594628, uni_maintain_time=0.170884, bi_search=148.581, bi_subSolve=1.20695, bi_maintain_time=0.494497, admm_maintain=0.302058, area4=-nan, infea=2.5571, d_obj=581.357., heldout Acc=0.992593 (28/50), overall time=7244.02
i=47, a_nnz=6.72629, ever_a_nnz=12.1609, b_nnz=92.6825, uni_search=23.8796, uni_subSolve=1.11583, uni_maintain_time=0.162466, bi_search=133.267, bi_subSolve=0.734826, bi_maintain_time=0.328893, admm_maintain=0.359655, area4=-nan, infea=3.07134, d_obj=393.665., heldout Acc=0.98963 (29/50), overall time=7403.89
i=48, a_nnz=6.76752, ever_a_nnz=12.2392, b_nnz=94.1937, uni_search=35.2566, uni_subSolve=2.40522, uni_maintain_time=0.291664, bi_search=114.718, bi_subSolve=0.519622, bi_maintain_time=0.227678, admm_maintain=0.287731, area4=-nan, infea=2.47685, d_obj=328.252., heldout Acc=0.99358 (30/50), overall time=7557.62
i=49, a_nnz=6.82899, ever_a_nnz=12.3211, b_nnz=95.7765, uni_search=12.9098, uni_subSolve=0.620379, uni_maintain_time=0.180378, bi_search=110.711, bi_subSolve=0.448908, bi_maintain_time=0.198536, admm_maintain=0.32529, area4=-nan, infea=2.88643, d_obj=370.042., heldout Acc=0.991111 (31/50), overall time=7683.03
i=50, a_nnz=6.87246, ever_a_nnz=12.4009, b_nnz=97.3134, uni_search=12.2243, uni_subSolve=0.565681, uni_maintain_time=0.146029, bi_search=166.082, bi_subSolve=1.45183, bi_maintain_time=0.645417, admm_maintain=1.01508, area4=-nan, infea=3.10832, d_obj=407.623., heldout Acc=0.992593 (32/50), overall time=7865.19
i=51, a_nnz=6.9294, ever_a_nnz=12.4887, b_nnz=99.0036, uni_search=13.0019, uni_subSolve=0.62446, uni_maintain_time=0.185409, bi_search=162.451, bi_subSolve=1.39026, bi_maintain_time=0.630837, admm_maintain=0.857101, area4=-nan, infea=2.59873, d_obj=323.94., heldout Acc=0.992593 (33/50), overall time=8044.37
i=52, a_nnz=6.95736, ever_a_nnz=12.5642, b_nnz=100.551, uni_search=29.7667, uni_subSolve=1.6216, uni_maintain_time=0.222758, bi_search=122.174, bi_subSolve=0.690116, bi_maintain_time=0.297081, admm_maintain=0.308568, area4=-nan, infea=2.82746, d_obj=260.385., heldout Acc=0.990123 (34/50), overall time=8199.47
