using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=29, a_nnz=5.18065, ever_a_nnz=13.3009, b_nnz=116.915, uni_search=16.1378, uni_subSolve=1.76609, uni_maintain_time=0.210224, bi_search=0.825377, bi_subSolve=1.20178, bi_maintain_time=0.295727, admm_maintain=0.953444, area4=2.22444, infea=0.440754, d_obj=-18.6931, heldout Acc=1 (2/50), overall time=419.647
i=30, a_nnz=5.19443, ever_a_nnz=13.5031, b_nnz=121.44, uni_search=16.7304, uni_subSolve=1.81912, uni_maintain_time=0.25506, bi_search=0.879959, bi_subSolve=1.29197, bi_maintain_time=0.273635, admm_maintain=1.24418, area4=2.4061, infea=0.47684, d_obj=-23.782, overall time=442.175
i=31, a_nnz=5.21026, ever_a_nnz=13.7009, b_nnz=125.985, uni_search=13.1138, uni_subSolve=1.51033, uni_maintain_time=0.182102, bi_search=0.997525, bi_subSolve=1.38569, bi_maintain_time=0.275653, admm_maintain=1.71595, area4=2.66373, infea=0.464855, d_obj=-18.5709, overall time=461.372
i=32, a_nnz=5.23899, ever_a_nnz=13.8963, b_nnz=130.536, uni_search=15.1076, uni_subSolve=1.78602, uni_maintain_time=0.241496, bi_search=0.920701, bi_subSolve=1.39115, bi_maintain_time=0.311607, admm_maintain=1.5607, area4=2.99962, infea=0.454195, d_obj=-23.1794, overall time=482.716
i=33, a_nnz=5.2499, ever_a_nnz=14.08, b_nnz=134.934, uni_search=15.09, uni_subSolve=1.5719, uni_maintain_time=0.184808, bi_search=0.988233, bi_subSolve=1.34782, bi_maintain_time=0.27372, admm_maintain=1.79342, area4=3.3198, infea=0.500758, d_obj=-25.5541, overall time=503.992
i=34, a_nnz=5.26452, ever_a_nnz=14.2649, b_nnz=139.445, uni_search=17.9706, uni_subSolve=2.12589, uni_maintain_time=0.225618, bi_search=0.974972, bi_subSolve=1.42884, bi_maintain_time=0.295025, admm_maintain=2.54985, area4=3.67126, infea=0.604875, d_obj=-7.85666, overall time=529.591
i=35, a_nnz=5.27339, ever_a_nnz=14.4477, b_nnz=143.926, uni_search=15.691, uni_subSolve=1.94326, uni_maintain_time=0.219418, bi_search=1.1804, bi_subSolve=1.73476, bi_maintain_time=0.31541, admm_maintain=1.71505, area4=3.94204, infea=0.500263, d_obj=-16.2019, overall time=552.41
i=36, a_nnz=5.2921, ever_a_nnz=14.625, b_nnz=148.359, uni_search=15.5211, uni_subSolve=1.71681, uni_maintain_time=0.191686, bi_search=1.35122, bi_subSolve=1.99362, bi_maintain_time=0.394683, admm_maintain=1.43049, area4=4.08834, infea=0.508045, d_obj=-21.6895, overall time=575.022
i=37, a_nnz=5.3078, ever_a_nnz=14.795, b_nnz=152.687, uni_search=18.0772, uni_subSolve=2.06849, uni_maintain_time=0.232807, bi_search=1.11567, bi_subSolve=1.62661, bi_maintain_time=0.313784, admm_maintain=2.04142, area4=4.20503, infea=0.444316, d_obj=-25.6103, overall time=600.51
i=38, a_nnz=5.31948, ever_a_nnz=14.9615, b_nnz=157.031, uni_search=21.4181, uni_subSolve=2.65018, uni_maintain_time=0.324572, bi_search=1.3537, bi_subSolve=2.34783, bi_maintain_time=0.442685, admm_maintain=2.83603, area4=4.3152, infea=0.479894, d_obj=-22.0759, overall time=631.92
i=39, a_nnz=5.33487, ever_a_nnz=15.1152, b_nnz=161.126, uni_search=19.3982, uni_subSolve=2.28128, uni_maintain_time=0.25267, bi_search=1.12802, bi_subSolve=1.79638, bi_maintain_time=0.329767, admm_maintain=2.20904, area4=4.35836, infea=0.56805, d_obj=-26.6093, heldout Acc=1 (3/50), overall time=659.36
i=40, a_nnz=5.3588, ever_a_nnz=15.268, b_nnz=165.247, uni_search=18.5307, uni_subSolve=2.10651, uni_maintain_time=0.259379, bi_search=1.4423, bi_subSolve=2.22297, bi_maintain_time=0.493497, admm_maintain=2.41101, area4=4.33525, infea=0.496463, d_obj=-28.1569, overall time=686.852
i=41, a_nnz=5.37502, ever_a_nnz=15.4217, b_nnz=169.486, uni_search=16.9859, uni_subSolve=1.8801, uni_maintain_time=0.217401, bi_search=1.32616, bi_subSolve=1.96714, bi_maintain_time=0.343092, admm_maintain=1.90993, area4=4.34801, infea=0.532544, d_obj=-29.0955, overall time=711.5
i=42, a_nnz=5.38625, ever_a_nnz=15.5696, b_nnz=173.658, uni_search=17.9664, uni_subSolve=2.00848, uni_maintain_time=0.209671, bi_search=1.29963, bi_subSolve=1.94205, bi_maintain_time=0.352631, admm_maintain=1.95815, area4=4.42015, infea=0.49079, d_obj=-27.6008, overall time=737.251
i=43, a_nnz=5.39704, ever_a_nnz=15.7185, b_nnz=177.931, uni_search=15.5969, uni_subSolve=1.94256, uni_maintain_time=0.218131, bi_search=1.47489, bi_subSolve=1.9699, bi_maintain_time=0.42354, admm_maintain=1.80167, area4=4.52917, infea=0.534234, d_obj=-27.5606, overall time=760.69
