using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=49, a_nnz=5.44357, ever_a_nnz=16.5767, b_nnz=203.715, uni_search=10.0037, uni_subSolve=1.21182, uni_maintain_time=0.155729, bi_search=0.871197, bi_subSolve=1.30789, bi_maintain_time=0.262536, admm_maintain=1.32523, area4=5.31623, infea=0.611718, d_obj=-27.9462., heldout Acc=0.995309 (2/50), overall time=410.355
i=50, a_nnz=5.44849, ever_a_nnz=16.7061, b_nnz=207.846, uni_search=6.66632, uni_subSolve=0.785699, uni_maintain_time=0.116398, bi_search=0.567647, bi_subSolve=0.972879, bi_maintain_time=0.22695, admm_maintain=0.950284, area4=5.45691, infea=0.629307, d_obj=-26.7773, overall time=420.651
i=51, a_nnz=5.45966, ever_a_nnz=16.8315, b_nnz=211.918, uni_search=7.03815, uni_subSolve=0.864441, uni_maintain_time=0.128832, bi_search=0.569083, bi_subSolve=0.98024, bi_maintain_time=0.229482, admm_maintain=0.957422, area4=5.52381, infea=0.621948, d_obj=-29.1382, overall time=431.428
i=52, a_nnz=5.47804, ever_a_nnz=16.9578, b_nnz=216.007, uni_search=7.09891, uni_subSolve=0.874842, uni_maintain_time=0.130674, bi_search=0.582505, bi_subSolve=1.00207, bi_maintain_time=0.234512, admm_maintain=0.981997, area4=5.67011, infea=0.576497, d_obj=-30.257, overall time=442.344
i=53, a_nnz=5.48264, ever_a_nnz=17.0812, b_nnz=220.073, uni_search=7.14444, uni_subSolve=0.887602, uni_maintain_time=0.130566, bi_search=0.592834, bi_subSolve=1.01957, bi_maintain_time=0.238198, admm_maintain=0.997814, area4=5.72118, infea=0.661348, d_obj=-25.6205, overall time=453.365
i=54, a_nnz=5.48589, ever_a_nnz=17.2022, b_nnz=224.055, uni_search=21.2183, uni_subSolve=2.28811, uni_maintain_time=0.201041, bi_search=1.46256, bi_subSolve=2.75122, bi_maintain_time=0.437831, admm_maintain=2.61259, area4=5.80965, infea=0.55443, d_obj=-28.3236, overall time=484.353
i=55, a_nnz=5.49809, ever_a_nnz=17.3148, b_nnz=227.861, uni_search=18.5701, uni_subSolve=2.01814, uni_maintain_time=0.190228, bi_search=1.17562, bi_subSolve=2.30393, bi_maintain_time=0.38118, admm_maintain=2.36918, area4=5.88791, infea=0.580192, d_obj=-29.4428, overall time=511.375
i=56, a_nnz=5.50409, ever_a_nnz=17.4313, b_nnz=231.746, uni_search=20.217, uni_subSolve=2.2513, uni_maintain_time=0.200922, bi_search=1.59096, bi_subSolve=2.9198, bi_maintain_time=0.456006, admm_maintain=1.63844, area4=5.89493, infea=0.621626, d_obj=-29.0852, overall time=540.664
i=57, a_nnz=5.51404, ever_a_nnz=17.5384, b_nnz=235.501, uni_search=10.0945, uni_subSolve=1.19549, uni_maintain_time=0.149558, bi_search=0.881936, bi_subSolve=1.63125, bi_maintain_time=0.304557, admm_maintain=1.10044, area4=5.85587, infea=0.655579, d_obj=-29.7341, overall time=556.033
i=58, a_nnz=5.52177, ever_a_nnz=17.6462, b_nnz=239.293, uni_search=21.5087, uni_subSolve=2.42218, uni_maintain_time=0.20472, bi_search=1.57577, bi_subSolve=2.91476, bi_maintain_time=0.447785, admm_maintain=2.94093, area4=5.83889, infea=0.708128, d_obj=-21.9322, overall time=588.065
i=59, a_nnz=5.52764, ever_a_nnz=17.7528, b_nnz=242.906, uni_search=15.0741, uni_subSolve=1.74194, uni_maintain_time=0.16915, bi_search=0.660736, bi_subSolve=1.12978, bi_maintain_time=0.258089, admm_maintain=1.10551, area4=5.83467, infea=0.81029, d_obj=-21.2606., heldout Acc=0.99284 (3/50), overall time=608.216
i=60, a_nnz=5.53019, ever_a_nnz=17.8609, b_nnz=246.656, uni_search=12.1884, uni_subSolve=1.2668, uni_maintain_time=0.126945, bi_search=0.611337, bi_subSolve=1.23725, bi_maintain_time=0.235212, admm_maintain=1.2523, area4=5.76242, infea=0.904188, d_obj=-19.6452, overall time=625.144
i=61, a_nnz=5.54073, ever_a_nnz=17.9648, b_nnz=250.358, uni_search=6.91576, uni_subSolve=0.843482, uni_maintain_time=0.11156, bi_search=0.603474, bi_subSolve=1.04871, bi_maintain_time=0.233049, admm_maintain=1.01122, area4=5.77684, infea=0.674597, d_obj=-28.1028, overall time=635.92
i=62, a_nnz=5.54385, ever_a_nnz=18.0628, b_nnz=253.909, uni_search=6.98247, uni_subSolve=0.857929, uni_maintain_time=0.113104, bi_search=0.605448, bi_subSolve=1.05533, bi_maintain_time=0.235046, admm_maintain=1.02478, area4=5.76995, infea=0.708496, d_obj=-28.1521, overall time=646.803
i=63, a_nnz=5.54973, ever_a_nnz=18.1658, b_nnz=257.624, uni_search=7.45513, uni_subSolve=0.966374, uni_maintain_time=0.135968, bi_search=0.709171, bi_subSolve=1.19316, bi_maintain_time=0.284231, admm_maintain=1.19501, area4=5.79318, infea=0.810304, d_obj=-15.4048, overall time=658.755
i=64, a_nnz=5.55534, ever_a_nnz=18.2659, b_nnz=261.343, uni_search=7.64234, uni_subSolve=1.01501, uni_maintain_time=0.145602, bi_search=0.735102, bi_subSolve=1.2262, bi_maintain_time=0.289316, admm_maintain=1.2319, area4=5.88153, infea=0.691481, d_obj=-26.8447, overall time=671.05
i=65, a_nnz=5.56179, ever_a_nnz=18.3624, b_nnz=265.006, uni_search=7.72542, uni_subSolve=1.02755, uni_maintain_time=0.141761, bi_search=0.743789, bi_subSolve=1.23854, bi_maintain_time=0.288144, admm_maintain=1.24271, area4=5.96336, infea=0.733733, d_obj=-23.7522, overall time=683.468
i=66, a_nnz=5.56817, ever_a_nnz=18.4608, b_nnz=268.815, uni_search=7.75333, uni_subSolve=1.03948, uni_maintain_time=0.144357, bi_search=0.754652, bi_subSolve=1.25365, bi_maintain_time=0.293744, admm_maintain=1.25643, area4=6.03792, infea=0.751564, d_obj=-18.2302, overall time=695.974
i=67, a_nnz=5.57456, ever_a_nnz=18.5562, b_nnz=272.516, uni_search=7.76273, uni_subSolve=1.04127, uni_maintain_time=0.142428, bi_search=0.760518, bi_subSolve=1.26551, bi_maintain_time=0.295033, admm_maintain=1.27069, area4=6.16111, infea=0.690613, d_obj=-28.7326, overall time=708.523
i=68, a_nnz=5.57564, ever_a_nnz=18.6519, b_nnz=276.245, uni_search=7.81723, uni_subSolve=1.0563, uni_maintain_time=0.144338, bi_search=0.772625, bi_subSolve=1.28186, bi_maintain_time=0.298009, admm_maintain=1.28981, area4=6.20158, infea=0.72675, d_obj=-29.7954, overall time=721.195
i=69, a_nnz=5.58107, ever_a_nnz=18.7396, b_nnz=279.794, uni_search=7.85211, uni_subSolve=1.05771, uni_maintain_time=0.141266, bi_search=0.776474, bi_subSolve=1.29347, bi_maintain_time=0.293545, admm_maintain=1.28745, area4=6.32133, infea=0.757136, d_obj=-29.431., heldout Acc=0.995556, overall time=733.911
i=70, a_nnz=5.58745, ever_a_nnz=18.8288, b_nnz=283.389, uni_search=14.7898, uni_subSolve=1.60245, uni_maintain_time=0.147355, bi_search=1.18651, bi_subSolve=2.25486, bi_maintain_time=0.37469, admm_maintain=2.29237, area4=6.38657, infea=0.803841, d_obj=-26.0371, overall time=756.574
i=71, a_nnz=5.59256, ever_a_nnz=18.9146, b_nnz=286.829, uni_search=14.9441, uni_subSolve=1.62273, uni_maintain_time=0.145586, bi_search=1.19046, bi_subSolve=2.21659, bi_maintain_time=0.367233, admm_maintain=2.25037, area4=6.45551, infea=0.943527, d_obj=-29.0768, overall time=779.325
i=72, a_nnz=5.60322, ever_a_nnz=19.0006, b_nnz=290.415, uni_search=14.1546, uni_subSolve=1.54449, uni_maintain_time=0.138392, bi_search=1.2501, bi_subSolve=2.31789, bi_maintain_time=0.371968, admm_maintain=2.33065, area4=6.50887, infea=0.749815, d_obj=-29.4631, overall time=801.447
i=73, a_nnz=5.60922, ever_a_nnz=19.0827, b_nnz=293.898, uni_search=14.8898, uni_subSolve=1.65222, uni_maintain_time=0.14557, bi_search=1.55966, bi_subSolve=2.78558, bi_maintain_time=0.448839, admm_maintain=2.7778, area4=6.63424, infea=0.733413, d_obj=-30.6947, overall time=825.72
i=74, a_nnz=5.60641, ever_a_nnz=19.1686, b_nnz=297.475, uni_search=7.75734, uni_subSolve=1.01336, uni_maintain_time=0.121854, bi_search=0.753625, bi_subSolve=1.29713, bi_maintain_time=0.269615, admm_maintain=1.26126, area4=6.7642, infea=0.709257, d_obj=-29.3303, overall time=838.205
i=75, a_nnz=5.611, ever_a_nnz=19.2581, b_nnz=301.122, uni_search=7.7175, uni_subSolve=1.0036, uni_maintain_time=0.119123, bi_search=0.757546, bi_subSolve=1.30886, bi_maintain_time=0.272918, admm_maintain=1.27001, area4=6.81348, infea=0.651599, d_obj=-18.77, overall time=850.666
i=76, a_nnz=5.61011, ever_a_nnz=19.3476, b_nnz=304.789, uni_search=7.56699, uni_subSolve=0.971101, uni_maintain_time=0.114196, bi_search=0.76713, bi_subSolve=1.3235, bi_maintain_time=0.276039, admm_maintain=1.28668, area4=6.88906, infea=0.866765, d_obj=-13.3787, overall time=862.982
i=77, a_nnz=5.61611, ever_a_nnz=19.4316, b_nnz=308.276, uni_search=14.641, uni_subSolve=1.61131, uni_maintain_time=0.141651, bi_search=1.09523, bi_subSolve=2.13333, bi_maintain_time=0.344266, admm_maintain=2.20017, area4=6.95851, infea=0.893014, d_obj=-20.9921, overall time=885.162
i=78, a_nnz=5.62843, ever_a_nnz=19.5171, b_nnz=311.806, uni_search=13.938, uni_subSolve=1.53362, uni_maintain_time=0.137181, bi_search=1.10368, bi_subSolve=2.16256, bi_maintain_time=0.347726, admm_maintain=2.21326, area4=7.02234, infea=0.726066, d_obj=-28.0325, overall time=906.61
