using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=37, a_nnz=6.13807, ever_a_nnz=11.0773, b_nnz=74.5889, uni_search=15.4752, uni_subSolve=0.815554, uni_maintain_time=0.150321, bi_search=148.135, bi_subSolve=1.04145, bi_maintain_time=0.488633, admm_maintain=0.630656, area4=-nan, infea=22.189, d_obj=1208.38., heldout Acc=0.989383 (16/50), overall time=5736.3
i=38, a_nnz=6.18467, ever_a_nnz=11.1784, b_nnz=76.2828, uni_search=30.3044, uni_subSolve=1.97611, uni_maintain_time=0.242548, bi_search=140.976, bi_subSolve=0.92844, bi_maintain_time=0.415676, admm_maintain=0.399722, area4=-nan, infea=22.7445, d_obj=1103.79., heldout Acc=0.990617 (17/50), overall time=5911.57
i=39, a_nnz=6.25067, ever_a_nnz=11.2907, b_nnz=78.1155, uni_search=14.5733, uni_subSolve=0.724331, uni_maintain_time=0.148529, bi_search=139.733, bi_subSolve=0.915676, bi_maintain_time=0.420007, admm_maintain=0.710259, area4=-nan, infea=20.0593, d_obj=839.932., heldout Acc=0.988642 (18/50), overall time=6068.83
i=40, a_nnz=6.29248, ever_a_nnz=11.3844, b_nnz=79.7569, uni_search=11.4371, uni_subSolve=0.519083, uni_maintain_time=0.135038, bi_search=109.028, bi_subSolve=0.360693, bi_maintain_time=0.172566, admm_maintain=0.253487, area4=-nan, infea=17.9533, d_obj=717.696., heldout Acc=0.98963 (19/50), overall time=6190.75
i=41, a_nnz=6.35848, ever_a_nnz=11.4746, b_nnz=81.334, uni_search=29.9869, uni_subSolve=1.92564, uni_maintain_time=0.235511, bi_search=138.45, bi_subSolve=0.834209, bi_maintain_time=0.387522, admm_maintain=0.326667, area4=-nan, infea=19.1312, d_obj=607.011., heldout Acc=0.991852 (20/50), overall time=6362.93
i=42, a_nnz=6.4167, ever_a_nnz=11.5585, b_nnz=82.8679, uni_search=22.6665, uni_subSolve=1.36058, uni_maintain_time=0.189283, bi_search=132.939, bi_subSolve=0.869779, bi_maintain_time=0.388622, admm_maintain=0.716768, area4=-nan, infea=18.7048, d_obj=537.3., heldout Acc=0.992099 (21/50), overall time=6522.1
i=43, a_nnz=6.47325, ever_a_nnz=11.6379, b_nnz=84.3201, uni_search=18.5066, uni_subSolve=0.968026, uni_maintain_time=0.181783, bi_search=154.039, bi_subSolve=1.13934, bi_maintain_time=0.539242, admm_maintain=0.571965, area4=-nan, infea=19.5561, d_obj=486.292., heldout Acc=0.993086 (22/50), overall time=6698.08
i=44, a_nnz=6.52451, ever_a_nnz=11.7159, b_nnz=85.8578, uni_search=26.4124, uni_subSolve=1.37464, uni_maintain_time=0.200024, bi_search=140.521, bi_subSolve=0.9385, bi_maintain_time=0.426106, admm_maintain=0.584304, area4=-nan, infea=18.6598, d_obj=466.746., heldout Acc=0.994568 (23/50), overall time=6868.57
i=45, a_nnz=6.57583, ever_a_nnz=11.7919, b_nnz=87.376, uni_search=21.2066, uni_subSolve=0.963534, uni_maintain_time=0.14682, bi_search=122.261, bi_subSolve=0.664606, bi_maintain_time=0.308666, admm_maintain=0.349144, area4=-nan, infea=16.5481, d_obj=410.091., heldout Acc=0.990617 (24/50), overall time=7014.5
i=46, a_nnz=6.63552, ever_a_nnz=11.8688, b_nnz=88.9024, uni_search=37.2662, uni_subSolve=2.05888, uni_maintain_time=0.25894, bi_search=156.97, bi_subSolve=1.28803, bi_maintain_time=0.559785, admm_maintain=0.684762, area4=-nan, infea=17.5119, d_obj=401.66., heldout Acc=0.995309 (25/50), overall time=7213.64
