using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=40, a_nnz=5.29363, ever_a_nnz=14.4678, b_nnz=130.906, uni_search=39.3684, uni_subSolve=1.85246, uni_maintain_time=0.193018, bi_search=146.147, bi_subSolve=1.71498, bi_maintain_time=0.542048, admm_maintain=1.0455, area4=-nan, infea=0.986341, d_obj=22.9684., heldout Acc=0.994074 (7/50), overall time=6584.47
i=41, a_nnz=5.31265, ever_a_nnz=14.6002, b_nnz=133.816, uni_search=28.4071, uni_subSolve=1.29248, uni_maintain_time=0.17213, bi_search=136.292, bi_subSolve=1.48828, bi_maintain_time=0.454929, admm_maintain=1.15127, area4=-nan, infea=1.00799, d_obj=27.5389., heldout Acc=0.993333 (8/50), overall time=6753.76
i=42, a_nnz=5.32548, ever_a_nnz=14.7283, b_nnz=136.69, uni_search=19.5787, uni_subSolve=0.732151, uni_maintain_time=0.12011, bi_search=131.842, bi_subSolve=1.28933, bi_maintain_time=0.399846, admm_maintain=1.13473, area4=-nan, infea=1.617, d_obj=155.31., heldout Acc=0.993086 (9/50), overall time=6908.88
i=43, a_nnz=5.3235, ever_a_nnz=14.8568, b_nnz=139.588, uni_search=33.6379, uni_subSolve=1.56902, uni_maintain_time=0.188089, bi_search=138.034, bi_subSolve=1.57911, bi_maintain_time=0.486708, admm_maintain=0.760719, area4=-nan, infea=1.03809, d_obj=15.2641., heldout Acc=0.99358 (10/50), overall time=7085.16
i=44, a_nnz=5.33078, ever_a_nnz=14.976, b_nnz=142.305, uni_search=30.2466, uni_subSolve=1.10589, uni_maintain_time=0.140195, bi_search=135.854, bi_subSolve=1.29975, bi_maintain_time=0.418012, admm_maintain=0.915575, area4=-nan, infea=1.21778, d_obj=172.925., heldout Acc=0.994321 (11/50), overall time=7255.17
i=45, a_nnz=5.32618, ever_a_nnz=15.0934, b_nnz=145.044, uni_search=20.1536, uni_subSolve=0.833316, uni_maintain_time=0.13371, bi_search=141.009, bi_subSolve=1.62026, bi_maintain_time=0.48201, admm_maintain=1.22857, area4=-nan, infea=1.01177, d_obj=45.2418., heldout Acc=0.994568 (12/50), overall time=7420.66
i=46, a_nnz=5.34897, ever_a_nnz=15.2112, b_nnz=147.872, uni_search=17.6538, uni_subSolve=0.725008, uni_maintain_time=0.139103, bi_search=146.783, bi_subSolve=1.94224, bi_maintain_time=0.569865, admm_maintain=1.58995, area4=-nan, infea=0.934887, d_obj=17.2141., heldout Acc=0.992346 (13/50), overall time=7590.09
i=47, a_nnz=5.36908, ever_a_nnz=15.3212, b_nnz=150.582, uni_search=14.7384, uni_subSolve=0.554139, uni_maintain_time=0.119899, bi_search=109.951, bi_subSolve=0.857441, bi_maintain_time=0.227204, admm_maintain=0.674368, area4=-nan, infea=0.926481, d_obj=10.1656., heldout Acc=0.993086 (14/50), overall time=7717.22
i=48, a_nnz=5.38331, ever_a_nnz=15.4281, b_nnz=153.261, uni_search=15.0528, uni_subSolve=0.582199, uni_maintain_time=0.129111, bi_search=110.309, bi_subSolve=0.890753, bi_maintain_time=0.237016, admm_maintain=0.68978, area4=-nan, infea=0.896587, d_obj=9.13096., heldout Acc=0.991605 (15/50), overall time=7845.14
i=49, a_nnz=5.40585, ever_a_nnz=15.532, b_nnz=155.95, uni_search=43.5616, uni_subSolve=2.09692, uni_maintain_time=0.216834, bi_search=160.698, bi_subSolve=2.46601, bi_maintain_time=0.687272, admm_maintain=1.78741, area4=-nan, infea=0.863485, d_obj=6.72674., heldout Acc=0.992593 (16/50), overall time=8056.69
i=50, a_nnz=5.41427, ever_a_nnz=15.6406, b_nnz=158.654, uni_search=35.8464, uni_subSolve=1.26503, uni_maintain_time=0.154525, bi_search=137.565, bi_subSolve=1.75938, bi_maintain_time=0.526766, admm_maintain=1.29935, area4=-nan, infea=0.842449, d_obj=24.0318., heldout Acc=0.993333 (17/50), overall time=8235.14
i=51, a_nnz=5.42532, ever_a_nnz=15.7469, b_nnz=161.36, uni_search=35.3642, uni_subSolve=1.40051, uni_maintain_time=0.174657, bi_search=151.629, bi_subSolve=1.93306, bi_maintain_time=0.547642, admm_maintain=0.700277, area4=-nan, infea=0.958507, d_obj=79.2101., heldout Acc=0.993333 (18/50), overall time=8426.92
i=52, a_nnz=5.43144, ever_a_nnz=15.8501, b_nnz=164.078, uni_search=20.6499, uni_subSolve=0.776274, uni_maintain_time=0.120604, bi_search=126.348, bi_subSolve=1.38353, bi_maintain_time=0.416543, admm_maintain=1.32976, area4=-nan, infea=0.805083, d_obj=13.7803., heldout Acc=0.993086 (19/50), overall time=8577.97
i=53, a_nnz=5.44683, ever_a_nnz=15.9453, b_nnz=166.593, uni_search=15.5743, uni_subSolve=0.619675, uni_maintain_time=0.135409, bi_search=110.299, bi_subSolve=0.960179, bi_maintain_time=0.259678, admm_maintain=0.720436, area4=-nan, infea=0.752064, d_obj=8.21612., heldout Acc=0.989383 (20/50), overall time=8706.55
i=54, a_nnz=5.45615, ever_a_nnz=16.0422, b_nnz=169.25, uni_search=36.8916, uni_subSolve=1.3137, uni_maintain_time=0.158557, bi_search=137.72, bi_subSolve=1.87032, bi_maintain_time=0.553651, admm_maintain=1.37707, area4=-nan, infea=1.40376, d_obj=126.871., heldout Acc=0.994815 (21/50), overall time=8886.47
i=55, a_nnz=5.46285, ever_a_nnz=16.1419, b_nnz=171.941, uni_search=43.1046, uni_subSolve=2.04369, uni_maintain_time=0.222758, bi_search=162.266, bi_subSolve=2.26417, bi_maintain_time=0.65474, admm_maintain=2.01347, area4=-nan, infea=0.809071, d_obj=19.4234., heldout Acc=0.991852 (22/50), overall time=9099.08
i=56, a_nnz=5.48251, ever_a_nnz=16.2408, b_nnz=174.634, uni_search=46.0283, uni_subSolve=2.24584, uni_maintain_time=0.221827, bi_search=163.73, bi_subSolve=2.7659, bi_maintain_time=0.774634, admm_maintain=2.02927, area4=-nan, infea=0.81536, d_obj=10.857., heldout Acc=0.991852 (23/50), overall time=9316.93
i=57, a_nnz=5.48577, ever_a_nnz=16.3374, b_nnz=177.324, uni_search=22.0922, uni_subSolve=0.859003, uni_maintain_time=0.136593, bi_search=134.838, bi_subSolve=1.72316, bi_maintain_time=0.500112, admm_maintain=1.45844, area4=-nan, infea=0.943581, d_obj=15.7404., heldout Acc=0.990864 (24/50), overall time=9478.56
i=58, a_nnz=5.49317, ever_a_nnz=16.4292, b_nnz=179.863, uni_search=45.8415, uni_subSolve=2.22393, uni_maintain_time=0.208915, bi_search=162.306, bi_subSolve=2.78765, bi_maintain_time=0.750561, admm_maintain=1.97895, area4=-nan, infea=0.874953, d_obj=38.893., heldout Acc=0.991852 (25/50), overall time=9694.71
i=59, a_nnz=5.50881, ever_a_nnz=16.5151, b_nnz=182.327, uni_search=47.4008, uni_subSolve=2.33018, uni_maintain_time=0.222843, bi_search=164.467, bi_subSolve=2.44431, bi_maintain_time=0.67164, admm_maintain=1.56544, area4=-nan, infea=0.721012, d_obj=6.16167., heldout Acc=0.99284 (26/50), overall time=9913.86
i=60, a_nnz=5.51877, ever_a_nnz=16.5996, b_nnz=184.746, uni_search=40.9875, uni_subSolve=1.5127, uni_maintain_time=0.184486, bi_search=141.861, bi_subSolve=2.19318, bi_maintain_time=0.635229, admm_maintain=1.62339, area4=-nan, infea=0.76571, d_obj=5.76613., heldout Acc=0.99284 (27/50), overall time=10102.9
i=61, a_nnz=5.52406, ever_a_nnz=16.6839, b_nnz=187.263, uni_search=45.1807, uni_subSolve=2.18597, uni_maintain_time=0.202055, bi_search=158.389, bi_subSolve=2.76354, bi_maintain_time=0.733129, admm_maintain=2.0269, area4=-nan, infea=0.707338, d_obj=4.81172., heldout Acc=0.99358 (28/50), overall time=10314.4
i=62, a_nnz=5.53313, ever_a_nnz=16.7605, b_nnz=189.577, uni_search=46.2128, uni_subSolve=2.27841, uni_maintain_time=0.211088, bi_search=161.367, bi_subSolve=2.85627, bi_maintain_time=0.744246, admm_maintain=2.15922, area4=-nan, infea=0.612731, d_obj=-2.67801., heldout Acc=0.98963 (29/50), overall time=10530.3
i=63, a_nnz=5.53409, ever_a_nnz=16.8336, b_nnz=191.812, uni_search=22.6939, uni_subSolve=0.990915, uni_maintain_time=0.157135, bi_search=149.115, bi_subSolve=2.4592, bi_maintain_time=0.637741, admm_maintain=2.1259, area4=-nan, infea=0.73653, d_obj=-3.63574., heldout Acc=0.992593 (30/50), overall time=10708.5
i=64, a_nnz=5.55221, ever_a_nnz=16.9095, b_nnz=194.119, uni_search=39.8737, uni_subSolve=1.49359, uni_maintain_time=0.168322, bi_search=121.165, bi_subSolve=1.47817, bi_maintain_time=0.40154, admm_maintain=0.886044, area4=-nan, infea=1.78838, d_obj=232.863., heldout Acc=0.99284 (31/50), overall time=10874
i=65, a_nnz=5.55936, ever_a_nnz=16.991, b_nnz=196.591, uni_search=47.4452, uni_subSolve=2.32862, uni_maintain_time=0.216922, bi_search=162.966, bi_subSolve=2.99672, bi_maintain_time=0.77388, admm_maintain=2.28764, area4=-nan, infea=0.829306, d_obj=-0.95379., heldout Acc=0.99358 (32/50), overall time=11093.1
i=66, a_nnz=5.55949, ever_a_nnz=17.0656, b_nnz=198.889, uni_search=46.9559, uni_subSolve=2.30066, uni_maintain_time=0.211979, bi_search=161.8, bi_subSolve=2.99704, bi_maintain_time=0.780744, admm_maintain=2.25928, area4=-nan, infea=0.907765, d_obj=29.4739., heldout Acc=0.994074 (33/50), overall time=11310.4
i=67, a_nnz=5.56773, ever_a_nnz=17.1445, b_nnz=201.322, uni_search=35.1056, uni_subSolve=1.35267, uni_maintain_time=0.144831, bi_search=141.643, bi_subSolve=1.85819, bi_maintain_time=0.511144, admm_maintain=1.64766, area4=-nan, infea=0.922256, d_obj=5.85169., heldout Acc=0.99358 (34/50), overall time=11492.7
i=68, a_nnz=5.58145, ever_a_nnz=17.2226, b_nnz=203.721, uni_search=23.611, uni_subSolve=0.926729, uni_maintain_time=0.127846, bi_search=147.659, bi_subSolve=2.32026, bi_maintain_time=0.613725, admm_maintain=1.08939, area4=-nan, infea=0.896481, d_obj=-0.70078., heldout Acc=0.99358 (35/50), overall time=11669.1
i=69, a_nnz=5.58317, ever_a_nnz=17.2984, b_nnz=206.091, uni_search=15.6157, uni_subSolve=0.573702, uni_maintain_time=0.100742, bi_search=143.265, bi_subSolve=2.40324, bi_maintain_time=0.60891, admm_maintain=1.92736, area4=-nan, infea=0.932856, d_obj=-0.780711., heldout Acc=0.995062, overall time=11833.6
