using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=0.1
i=41, infea=0.154238, nnz_a=11.6346, nnz_b=25.9905, uni_search=1.26743, uni_subSolve=0.0820885, uni_maintain=0.0982083, bi_search=0.355113, bi_subSolve=0.0434174, bi_maintain=0.101876, admm_maintain=0.0784571, area1=551.858, area23=1.1321, area4=1.14659, dual_obj=-148.82, overall time=78.1607
i=42, infea=0.155561, nnz_a=11.649, nnz_b=26.2755, uni_search=1.27534, uni_subSolve=0.082278, uni_maintain=0.0989553, bi_search=0.333729, bi_subSolve=0.0418935, bi_maintain=0.0939829, admm_maintain=0.0604864, area1=558.704, area23=1.14039, area4=1.14103, dual_obj=-151.108, overall time=80.2336
i=43, infea=0.156914, nnz_a=11.6486, nnz_b=26.5738, uni_search=1.30241, uni_subSolve=0.0851887, uni_maintain=0.102896, bi_search=0.362358, bi_subSolve=0.0451262, bi_maintain=0.105553, admm_maintain=0.0742558, area1=565.168, area23=1.15109, area4=1.14691, dual_obj=-153.357, overall time=82.3985
i=44, infea=0.158283, nnz_a=11.6573, nnz_b=26.8643, uni_search=1.2378, uni_subSolve=0.0795166, uni_maintain=0.0948233, bi_search=0.32337, bi_subSolve=0.0422574, bi_maintain=0.0922574, admm_maintain=0.0631698, area1=571.412, area23=1.16017, area4=1.13785, dual_obj=-155.588, overall time=84.4141
i=45, infea=0.159697, nnz_a=11.6641, nnz_b=27.1484, uni_search=1.30523, uni_subSolve=0.08585, uni_maintain=0.103658, bi_search=0.373433, bi_subSolve=0.0459734, bi_maintain=0.105956, admm_maintain=0.0657134, area1=577.227, area23=1.17131, area4=1.14151, dual_obj=-157.8, overall time=86.5826
i=46, infea=0.161109, nnz_a=11.6613, nnz_b=27.4351, uni_search=1.25992, uni_subSolve=0.0812537, uni_maintain=0.0977896, bi_search=0.310684, bi_subSolve=0.0415094, bi_maintain=0.0865542, admm_maintain=0.0663398, area1=582.649, area23=1.18424, area4=1.14071, dual_obj=-159.982, overall time=88.6099
i=47, infea=0.162527, nnz_a=11.675, nnz_b=27.7257, uni_search=1.28998, uni_subSolve=0.0834248, uni_maintain=0.100613, bi_search=0.380775, bi_subSolve=0.0475529, bi_maintain=0.109017, admm_maintain=0.0608322, area1=587.708, area23=1.19768, area4=1.13642, dual_obj=-162.149, overall time=90.7669
i=48, infea=0.163931, nnz_a=11.6902, nnz_b=28.0178, uni_search=1.28725, uni_subSolve=0.0836836, uni_maintain=0.101135, bi_search=0.318775, bi_subSolve=0.0432645, bi_maintain=0.0898903, admm_maintain=0.0972289, area1=592.678, area23=1.21068, area4=1.13705, dual_obj=-164.289, overall time=92.88
i=49, infea=0.165371, nnz_a=11.694, nnz_b=28.298, uni_search=1.14852, uni_subSolve=0.0702287, uni_maintain=0.0851714, bi_search=0.521015, bi_subSolve=0.0650131, bi_maintain=0.17247, admm_maintain=0.0895103, area1=597.323, area23=1.22125, area4=1.13451, dual_obj=-166.417, p_obj=240.216, heldout Acc=0.447438, overall time=95.1375
i=50, infea=0.166819, nnz_a=11.6913, nnz_b=28.5828, uni_search=1.12882, uni_subSolve=0.0736706, uni_maintain=0.0919819, bi_search=0.615355, bi_subSolve=0.0683548, bi_maintain=0.195528, admm_maintain=0.0752108, area1=601.734, area23=1.23712, area4=1.13912, dual_obj=-168.538, overall time=97.4967
i=51, infea=0.168261, nnz_a=11.7024, nnz_b=28.8611, uni_search=0.964212, uni_subSolve=0.0604255, uni_maintain=0.068982, bi_search=0.689566, bi_subSolve=0.0738143, bi_maintain=0.214211, admm_maintain=0.0776272, area1=605.593, area23=1.25136, area4=1.13833, dual_obj=-170.622, overall time=99.746
i=52, infea=0.169693, nnz_a=11.7165, nnz_b=29.1481, uni_search=1.07609, uni_subSolve=0.0694668, uni_maintain=0.0849942, bi_search=0.221926, bi_subSolve=0.0386328, bi_maintain=0.0648495, admm_maintain=0.0480393, area1=609.58, area23=1.26919, area4=1.14341, dual_obj=-172.681, overall time=101.426
i=53, infea=0.171178, nnz_a=11.719, nnz_b=29.4143, uni_search=1.16565, uni_subSolve=0.0767084, uni_maintain=0.096815, bi_search=0.619961, bi_subSolve=0.0701645, bi_maintain=0.194834, admm_maintain=0.0455013, area1=613.497, area23=1.284, area4=1.13864, dual_obj=-174.744, overall time=103.793
i=54, infea=0.172659, nnz_a=11.7327, nnz_b=29.6971, uni_search=0.985933, uni_subSolve=0.0621253, uni_maintain=0.0716531, bi_search=0.702821, bi_subSolve=0.0760012, bi_maintain=0.217193, admm_maintain=0.0771692, area1=616.965, area23=1.29887, area4=1.13292, dual_obj=-176.784, overall time=106.086
i=55, infea=0.174134, nnz_a=11.7515, nnz_b=29.9862, uni_search=1.08354, uni_subSolve=0.0711037, uni_maintain=0.0869198, bi_search=0.247262, bi_subSolve=0.0415114, bi_maintain=0.0709648, admm_maintain=0.0505583, area1=620.154, area23=1.31719, area4=1.12847, dual_obj=-178.816, overall time=107.815
i=56, infea=0.175602, nnz_a=11.7684, nnz_b=30.2613, uni_search=1.20057, uni_subSolve=0.0796362, uni_maintain=0.101874, bi_search=0.552494, bi_subSolve=0.0657848, bi_maintain=0.170307, admm_maintain=0.0410567, area1=623.127, area23=1.3358, area4=1.13499, dual_obj=-180.83, overall time=110.12
i=57, infea=0.177048, nnz_a=11.7667, nnz_b=30.5361, uni_search=1.01623, uni_subSolve=0.0644393, uni_maintain=0.0753471, bi_search=0.693456, bi_subSolve=0.0779092, bi_maintain=0.213873, admm_maintain=0.073993, area1=626.174, area23=1.35336, area4=1.13705, dual_obj=-182.819, overall time=112.436
i=58, infea=0.178515, nnz_a=11.7895, nnz_b=30.8152, uni_search=1.02768, uni_subSolve=0.066001, uni_maintain=0.0787369, bi_search=0.345827, bi_subSolve=0.0492408, bi_maintain=0.0992259, admm_maintain=0.135768, area1=628.857, area23=1.37237, area4=1.13451, dual_obj=-184.798, overall time=114.337
i=59, infea=0.179986, nnz_a=11.8128, nnz_b=31.0888, uni_search=1.32151, uni_subSolve=0.0921614, uni_maintain=0.123064, bi_search=0.841586, bi_subSolve=0.0860183, bi_maintain=0.247451, admm_maintain=0.0606028, area1=631.434, area23=1.39521, area4=1.12243, dual_obj=-186.766, p_obj=194.931, heldout Acc=0.471091, overall time=117.221
