using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=1
i=0, infea=0.0964916, nnz_a=1.99993, nnz_b=2, uni_search=0.893012, uni_subSolve=0.0129335, uni_maintain=0.00886851, bi_search=0.0512273, bi_subSolve=0.00527284, bi_maintain=0.0181251, admm_maintain=0.00727606, area1=0.999841, area23=1.00382, area4=1.00032, dual_obj=-725.565, overall time=1.20305
i=28, infea=0.523067, nnz_a=19.0774, nnz_b=28.5472, uni_search=0.955315, uni_subSolve=0.0892367, uni_maintain=0.0992617, bi_search=0.206841, bi_subSolve=0.0331267, bi_maintain=0.056987, admm_maintain=0.0387709, area1=540.654, area23=1.27364, area4=1.00254, dual_obj=-7634.18, overall time=37.7453
i=29, infea=0.524392, nnz_a=19.3629, nnz_b=29.4131, uni_search=0.946066, uni_subSolve=0.0898836, uni_maintain=0.099564, bi_search=0.220841, bi_subSolve=0.0348905, bi_maintain=0.0603473, admm_maintain=0.0422617, area1=561.65, area23=1.29439, area4=1.00286, dual_obj=-7738.67, p_obj=15338.5, heldout Acc=0.567017 (1/100), overall time=39.3013
i=30, infea=0.526083, nnz_a=19.6261, nnz_b=30.2716, uni_search=0.942851, uni_subSolve=0.0907417, uni_maintain=0.100397, bi_search=0.225924, bi_subSolve=0.0362702, bi_maintain=0.0622762, admm_maintain=0.042756, area1=581.585, area23=1.31456, area4=1.0035, dual_obj=-7841.12, overall time=40.8645
i=31, infea=0.528187, nnz_a=19.8861, nnz_b=31.1297, uni_search=0.915984, uni_subSolve=0.0889933, uni_maintain=0.0972779, bi_search=0.22119, bi_subSolve=0.0368109, bi_maintain=0.0610466, admm_maintain=0.0478111, area1=600.689, area23=1.33732, area4=1.00413, dual_obj=-7942.08, overall time=42.3963
i=32, infea=0.530517, nnz_a=20.1171, nnz_b=31.9882, uni_search=0.952688, uni_subSolve=0.0937312, uni_maintain=0.104511, bi_search=0.226601, bi_subSolve=0.0382414, bi_maintain=0.0624636, admm_maintain=0.0407207, area1=619, area23=1.36186, area4=1.0062, dual_obj=-8041.82, overall time=43.9767
i=33, infea=0.533218, nnz_a=20.3632, nnz_b=32.8351, uni_search=0.93852, uni_subSolve=0.0932965, uni_maintain=0.10311, bi_search=0.235206, bi_subSolve=0.039808, bi_maintain=0.0649592, admm_maintain=0.0442321, area1=636.595, area23=1.38208, area4=1.00715, dual_obj=-8139.66, overall time=45.5584
i=34, infea=0.536085, nnz_a=20.5802, nnz_b=33.6822, uni_search=0.945228, uni_subSolve=0.0939256, uni_maintain=0.104117, bi_search=0.222883, bi_subSolve=0.0393505, bi_maintain=0.0606549, admm_maintain=0.0413828, area1=653.63, area23=1.41035, area4=1.007, dual_obj=-8235.63, overall time=47.1275
i=35, infea=0.539148, nnz_a=20.7849, nnz_b=34.5181, uni_search=0.950273, uni_subSolve=0.0962017, uni_maintain=0.106741, bi_search=0.244617, bi_subSolve=0.0425083, bi_maintain=0.0680428, admm_maintain=0.042186, area1=669.543, area23=1.43581, area4=1.00986, dual_obj=-8330.11, overall time=48.7403
i=36, infea=0.542419, nnz_a=20.9772, nnz_b=35.3539, uni_search=0.915879, uni_subSolve=0.0934702, uni_maintain=0.102128, bi_search=0.265611, bi_subSolve=0.0449986, bi_maintain=0.0735228, admm_maintain=0.0457944, area1=684.673, area23=1.46116, area4=1.01161, dual_obj=-8422.56, overall time=50.3448
i=37, infea=0.545791, nnz_a=21.1686, nnz_b=36.1813, uni_search=0.926945, uni_subSolve=0.0954725, uni_maintain=0.104691, bi_search=0.244466, bi_subSolve=0.044732, bi_maintain=0.0688693, admm_maintain=0.0430776, area1=699.503, area23=1.48913, area4=1.0186, dual_obj=-8513.39, overall time=51.9351
i=38, infea=0.549284, nnz_a=21.355, nnz_b=37.0043, uni_search=0.959466, uni_subSolve=0.0998001, uni_maintain=0.110947, bi_search=0.247992, bi_subSolve=0.0458738, bi_maintain=0.070315, admm_maintain=0.0432884, area1=713.716, area23=1.51692, area4=1.01495, dual_obj=-8602.12, overall time=53.5753
i=39, infea=0.552785, nnz_a=21.5537, nnz_b=37.8182, uni_search=0.937076, uni_subSolve=0.0981368, uni_maintain=0.10833, bi_search=0.265064, bi_subSolve=0.0480171, bi_maintain=0.0745423, admm_maintain=0.0467913, area1=727.306, area23=1.54174, area4=1.01924, dual_obj=-8688.18, p_obj=15715, heldout Acc=0.611038, overall time=55.2168
i=40, infea=0.556251, nnz_a=21.7227, nnz_b=38.6197, uni_search=0.894366, uni_subSolve=0.094083, uni_maintain=0.101736, bi_search=0.250641, bi_subSolve=0.0481726, bi_maintain=0.0717127, admm_maintain=0.0429405, area1=740.098, area23=1.57139, area4=1.02719, dual_obj=-8772.04, overall time=56.7823
