using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=35, infea=0.830991, nnz_a=15.4074, nnz_b=18.1679, uni_search=1.28275, uni_subSolve=0.0970087, uni_maintain=0.121939, bi_search=42.3822, bi_subSolve=0.0943101, bi_maintain=0.360052, admm_maintain=0.0681577, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10667.2, overall time=1467.85
i=36, infea=0.823454, nnz_a=15.6052, nnz_b=18.493, uni_search=1.27867, uni_subSolve=0.0977672, uni_maintain=0.122762, bi_search=40.72, bi_subSolve=0.0892311, bi_maintain=0.344294, admm_maintain=0.055812, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10645, overall time=1510.69
i=37, infea=0.815936, nnz_a=15.816, nnz_b=18.8292, uni_search=1.24142, uni_subSolve=0.101962, uni_maintain=0.121387, bi_search=31.1063, bi_subSolve=0.062655, bi_maintain=0.245809, admm_maintain=0.0850192, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10621.2, overall time=1543.76
i=38, infea=0.808638, nnz_a=16.0248, nnz_b=19.165, uni_search=1.26494, uni_subSolve=0.0964192, uni_maintain=0.12066, bi_search=45.4586, bi_subSolve=0.107726, bi_maintain=0.405601, admm_maintain=0.0776019, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10596.4, overall time=1591.44
i=39, infea=0.80141, nnz_a=16.2245, nnz_b=19.4838, uni_search=1.31116, uni_subSolve=0.104556, uni_maintain=0.132576, bi_search=33.6837, bi_subSolve=0.0728926, bi_maintain=0.301567, admm_maintain=0.0596532, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10570.9, p_obj=16261.2, heldout Acc=0.605782, overall time=1627.24
i=40, infea=0.794534, nnz_a=16.4387, nnz_b=19.8164, uni_search=1.2094, uni_subSolve=0.100293, uni_maintain=0.124606, bi_search=26.672, bi_subSolve=0.0582252, bi_maintain=0.291788, admm_maintain=0.0890581, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10544.3, overall time=1655.9
i=41, infea=0.787559, nnz_a=16.6464, nnz_b=20.1579, uni_search=1.28057, uni_subSolve=0.107672, uni_maintain=0.137447, bi_search=40.8991, bi_subSolve=0.0960277, bi_maintain=0.38077, admm_maintain=0.0598347, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10517.2, overall time=1699
i=42, infea=0.781084, nnz_a=16.8432, nnz_b=20.4822, uni_search=1.27854, uni_subSolve=0.112835, uni_maintain=0.138346, bi_search=42.0761, bi_subSolve=0.100229, bi_maintain=0.389231, admm_maintain=0.0460396, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10489.3, overall time=1743.26
i=43, infea=0.774586, nnz_a=17.0393, nnz_b=20.7957, uni_search=1.22696, uni_subSolve=0.101831, uni_maintain=0.127589, bi_search=37.5547, bi_subSolve=0.0934373, bi_maintain=0.346101, admm_maintain=0.0724972, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10461.2, overall time=1782.91
i=44, infea=0.768027, nnz_a=17.2408, nnz_b=21.1065, uni_search=1.29007, uni_subSolve=0.108133, uni_maintain=0.135983, bi_search=41.1209, bi_subSolve=0.102823, bi_maintain=0.384128, admm_maintain=0.0933414, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10432.7, overall time=1826.29
i=45, infea=0.761397, nnz_a=17.4418, nnz_b=21.4202, uni_search=1.33203, uni_subSolve=0.113415, uni_maintain=0.144734, bi_search=42.9274, bi_subSolve=0.108932, bi_maintain=0.431767, admm_maintain=0.0934753, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10404.4, overall time=1871.59
i=46, infea=0.754763, nnz_a=17.6323, nnz_b=21.7302, uni_search=1.33363, uni_subSolve=0.119678, uni_maintain=0.154108, bi_search=48.9569, bi_subSolve=0.124216, bi_maintain=0.483881, admm_maintain=0.0972703, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10376.3, overall time=1923.02
i=47, infea=0.748012, nnz_a=17.8275, nnz_b=22.0338, uni_search=1.34667, uni_subSolve=0.122229, uni_maintain=0.158173, bi_search=22.3566, bi_subSolve=0.0439437, bi_maintain=0.189328, admm_maintain=0.0635677, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10347.8, overall time=1947.4
i=48, infea=0.741397, nnz_a=18.0061, nnz_b=22.3383, uni_search=1.3205, uni_subSolve=0.124752, uni_maintain=0.151027, bi_search=20.9551, bi_subSolve=0.0383198, bi_maintain=0.143417, admm_maintain=0.0646838, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10319.7, overall time=1970.28
i=49, infea=0.734854, nnz_a=18.1909, nnz_b=22.6375, uni_search=1.35722, uni_subSolve=0.130618, uni_maintain=0.159383, bi_search=20.9549, bi_subSolve=0.0389122, bi_maintain=0.144246, admm_maintain=0.0660531, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10291.1, p_obj=16117.1, heldout Acc=0.618922, overall time=1993.21
i=50, infea=0.72819, nnz_a=18.3828, nnz_b=22.9404, uni_search=1.19236, uni_subSolve=0.110274, uni_maintain=0.135931, bi_search=45.517, bi_subSolve=0.120407, bi_maintain=0.472276, admm_maintain=0.100131, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10262.8, overall time=2041.01
i=51, infea=0.721804, nnz_a=18.5518, nnz_b=23.2322, uni_search=1.30495, uni_subSolve=0.122395, uni_maintain=0.1603, bi_search=37.0821, bi_subSolve=0.0948755, bi_maintain=0.342675, admm_maintain=0.0670864, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10235.3, overall time=2080.3
i=52, infea=0.715441, nnz_a=18.7179, nnz_b=23.5109, uni_search=1.36266, uni_subSolve=0.134462, uni_maintain=0.163742, bi_search=20.9698, bi_subSolve=0.0408783, bi_maintain=0.150517, admm_maintain=0.0661453, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10208.3, overall time=2103.27
i=53, infea=0.709248, nnz_a=18.9, nnz_b=23.7947, uni_search=1.37133, uni_subSolve=0.137127, uni_maintain=0.167579, bi_search=20.9835, bi_subSolve=0.0414986, bi_maintain=0.150724, admm_maintain=0.0676198, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10181.3, overall time=2126.27
i=54, infea=0.702935, nnz_a=19.0714, nnz_b=24.0708, uni_search=1.37914, uni_subSolve=0.139105, uni_maintain=0.169997, bi_search=20.9648, bi_subSolve=0.0417787, bi_maintain=0.151605, admm_maintain=0.0692816, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10155, overall time=2149.27
i=55, infea=0.696544, nnz_a=19.2322, nnz_b=24.3375, uni_search=1.36886, uni_subSolve=0.138619, uni_maintain=0.168984, bi_search=23.311, bi_subSolve=0.0527492, bi_maintain=0.209406, admm_maintain=0.0679883, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10129.3, overall time=2174.68
i=56, infea=0.690234, nnz_a=19.3821, nnz_b=24.6118, uni_search=1.32683, uni_subSolve=0.134175, uni_maintain=0.162428, bi_search=21.296, bi_subSolve=0.0450584, bi_maintain=0.16962, admm_maintain=0.0682738, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10104, overall time=2197.97
i=57, infea=0.683874, nnz_a=19.5375, nnz_b=24.8506, uni_search=1.33714, uni_subSolve=0.136471, uni_maintain=0.165341, bi_search=22.0053, bi_subSolve=0.0469573, bi_maintain=0.171017, admm_maintain=0.0710452, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10078.9, overall time=2221.98
i=58, infea=0.677662, nnz_a=19.697, nnz_b=25.1095, uni_search=1.37368, uni_subSolve=0.142611, uni_maintain=0.174473, bi_search=20.9846, bi_subSolve=0.0443092, bi_maintain=0.156087, admm_maintain=0.0709284, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10054.9, overall time=2245.01
i=59, infea=0.671676, nnz_a=19.8423, nnz_b=25.3586, uni_search=1.34691, uni_subSolve=0.139927, uni_maintain=0.170058, bi_search=20.9888, bi_subSolve=0.0447443, bi_maintain=0.157577, admm_maintain=0.0698366, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10030.6, p_obj=15974.3, heldout Acc=0.634034, overall time=2268.01
i=60, infea=0.665656, nnz_a=19.991, nnz_b=25.6179, uni_search=1.03315, uni_subSolve=0.101892, uni_maintain=0.114396, bi_search=24.5363, bi_subSolve=0.0539918, bi_maintain=0.189985, admm_maintain=0.102997, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10007.2, overall time=2294.24
i=61, infea=0.659648, nnz_a=20.1339, nnz_b=25.8663, uni_search=1.23238, uni_subSolve=0.11761, uni_maintain=0.142675, bi_search=44.6625, bi_subSolve=0.12833, bi_maintain=0.486188, admm_maintain=0.102162, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9984.44, overall time=2341.26
