using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=54, infea=0.71067, nnz_a=17.6698, nnz_b=41.5333, uni_search=0.863979, uni_subSolve=0.0697932, uni_maintain=0.0860713, bi_search=20.7683, bi_subSolve=0.0482893, bi_maintain=0.145701, admm_maintain=0.0386241, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9215.96, overall time=1229.5
i=55, infea=0.712532, nnz_a=17.7131, nnz_b=41.9232, uni_search=0.956805, uni_subSolve=0.0764865, uni_maintain=0.100399, bi_search=20.7503, bi_subSolve=0.0513951, bi_maintain=0.153101, admm_maintain=0.0421911, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9247.82, overall time=1251.7
i=56, infea=0.714346, nnz_a=17.7571, nnz_b=42.3074, uni_search=0.857539, uni_subSolve=0.0662337, uni_maintain=0.0850879, bi_search=20.7202, bi_subSolve=0.0463728, bi_maintain=0.13942, admm_maintain=0.039294, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9278.75, overall time=1273.72
i=57, infea=0.715974, nnz_a=17.7978, nnz_b=42.6784, uni_search=0.936182, uni_subSolve=0.0744541, uni_maintain=0.0978307, bi_search=20.7441, bi_subSolve=0.0501431, bi_maintain=0.147998, admm_maintain=0.042949, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9308.15, overall time=1295.88
i=58, infea=0.717706, nnz_a=17.8391, nnz_b=43.045, uni_search=0.922189, uni_subSolve=0.0731248, uni_maintain=0.0925226, bi_search=20.7553, bi_subSolve=0.0498903, bi_maintain=0.147616, admm_maintain=0.043192, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9336.91, overall time=1318.02
i=59, infea=0.719237, nnz_a=17.8798, nnz_b=43.4036, uni_search=0.854516, uni_subSolve=0.0664557, uni_maintain=0.0855631, bi_search=20.7205, bi_subSolve=0.0468568, bi_maintain=0.141623, admm_maintain=0.0396399, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9364.44, p_obj=15538.1, heldout Acc=0.539422, overall time=1340.04
i=60, infea=0.720729, nnz_a=17.9194, nnz_b=43.7516, uni_search=0.93696, uni_subSolve=0.0774247, uni_maintain=0.0971912, bi_search=21.1765, bi_subSolve=0.0758246, bi_maintain=0.213239, admm_maintain=0.0425607, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9391.03, overall time=1362.73
i=61, infea=0.72209, nnz_a=17.9572, nnz_b=44.0933, uni_search=0.966513, uni_subSolve=0.0794592, uni_maintain=0.102793, bi_search=23.2488, bi_subSolve=0.141899, bi_maintain=0.329119, admm_maintain=0.0424093, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9416.8, overall time=1387.73
i=62, infea=0.723549, nnz_a=17.9913, nnz_b=44.4263, uni_search=0.960161, uni_subSolve=0.0794891, uni_maintain=0.102347, bi_search=22.2702, bi_subSolve=0.102252, bi_maintain=0.251561, admm_maintain=0.041006, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9441.9, overall time=1411.61
i=63, infea=0.724893, nnz_a=18.0293, nnz_b=44.7547, uni_search=0.936881, uni_subSolve=0.0752478, uni_maintain=0.0985357, bi_search=20.7529, bi_subSolve=0.0526694, bi_maintain=0.156681, admm_maintain=0.0439324, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9465.97, overall time=1433.79
i=64, infea=0.726184, nnz_a=18.0628, nnz_b=45.0737, uni_search=0.948905, uni_subSolve=0.0754381, uni_maintain=0.100306, bi_search=22.855, bi_subSolve=0.106432, bi_maintain=0.296304, admm_maintain=0.0438733, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9489.21, overall time=1458.3
i=65, infea=0.727391, nnz_a=18.0954, nnz_b=45.391, uni_search=0.920995, uni_subSolve=0.073785, uni_maintain=0.093326, bi_search=20.7585, bi_subSolve=0.0518754, bi_maintain=0.155644, admm_maintain=0.044182, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9511.9, overall time=1480.46
i=66, infea=0.728663, nnz_a=18.1225, nnz_b=45.6977, uni_search=0.921426, uni_subSolve=0.0739906, uni_maintain=0.0938237, bi_search=22.0524, bi_subSolve=0.0891711, bi_maintain=0.245897, admm_maintain=0.045107, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9533.96, overall time=1504.05
i=67, infea=0.729816, nnz_a=18.1508, nnz_b=45.9991, uni_search=0.952091, uni_subSolve=0.0757378, uni_maintain=0.098176, bi_search=22.7345, bi_subSolve=0.114448, bi_maintain=0.268459, admm_maintain=0.0432222, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9555.06, overall time=1528.41
i=68, infea=0.730943, nnz_a=18.1803, nnz_b=46.285, uni_search=0.974534, uni_subSolve=0.0812675, uni_maintain=0.104513, bi_search=22.4816, bi_subSolve=0.111435, bi_maintain=0.238507, admm_maintain=0.0428573, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9575.73, overall time=1552.52
i=69, infea=0.732149, nnz_a=18.2082, nnz_b=46.5706, uni_search=0.960615, uni_subSolve=0.0800169, uni_maintain=0.103432, bi_search=22.1932, bi_subSolve=0.101255, bi_maintain=0.208322, admm_maintain=0.0411106, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9595.64, p_obj=15561.8, heldout Acc=0.545335, overall time=1576.28
i=70, infea=0.733225, nnz_a=18.2335, nnz_b=46.8452, uni_search=0.918619, uni_subSolve=0.0733936, uni_maintain=0.0945196, bi_search=20.7292, bi_subSolve=0.0496021, bi_maintain=0.124982, admm_maintain=0.0440524, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9615.06, overall time=1598.38
i=71, infea=0.734306, nnz_a=18.2603, nnz_b=47.1247, uni_search=0.918341, uni_subSolve=0.0734793, uni_maintain=0.0934352, bi_search=20.7267, bi_subSolve=0.0511774, bi_maintain=0.127005, admm_maintain=0.0443514, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9633.83, overall time=1620.48
i=72, infea=0.73529, nnz_a=18.2794, nnz_b=47.3883, uni_search=0.943523, uni_subSolve=0.0749021, uni_maintain=0.0991254, bi_search=21.2084, bi_subSolve=0.0611562, bi_maintain=0.146158, admm_maintain=0.0406554, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9652.02, overall time=1643.12
i=73, infea=0.736345, nnz_a=18.3008, nnz_b=47.647, uni_search=0.918893, uni_subSolve=0.0737306, uni_maintain=0.0960734, bi_search=20.7504, bi_subSolve=0.0524964, bi_maintain=0.135086, admm_maintain=0.0423535, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9669.9, overall time=1665.25
i=74, infea=0.737223, nnz_a=18.3245, nnz_b=47.9037, uni_search=0.863103, uni_subSolve=0.0712466, uni_maintain=0.08807, bi_search=20.7851, bi_subSolve=0.06258, bi_maintain=0.160789, admm_maintain=0.0423999, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9686.92, overall time=1687.39
i=75, infea=0.738126, nnz_a=18.3442, nnz_b=48.1556, uni_search=0.862441, uni_subSolve=0.0711995, uni_maintain=0.0880877, bi_search=20.7574, bi_subSolve=0.0541535, bi_maintain=0.142649, admm_maintain=0.0411877, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9703.7, overall time=1709.46
i=76, infea=0.738912, nnz_a=18.3664, nnz_b=48.398, uni_search=0.854697, uni_subSolve=0.0671619, uni_maintain=0.0841769, bi_search=20.7051, bi_subSolve=0.0477132, bi_maintain=0.118851, admm_maintain=0.0409278, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9719.95, overall time=1731.44
i=77, infea=0.739679, nnz_a=18.3875, nnz_b=48.6326, uni_search=0.851277, uni_subSolve=0.0670772, uni_maintain=0.0867661, bi_search=20.6982, bi_subSolve=0.047807, bi_maintain=0.12115, admm_maintain=0.0411307, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9735.76, overall time=1753.41
