using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=5, admm_step_size=1, C=1, eta=10
i=0, infea=0.02011, nnz_a=2, nnz_b=2, uni_search=0.493165, uni_subSolve=0.0202199, uni_maintain=0.00951711, bi_search=0.137699, bi_subSolve=0.00907457, bi_maintain=0.0474869, admm_maintain=0.0144421, area1=1, area23=1.0004, area4=1, dual_obj=-208.399, overall time=1.19054
i=29, infea=0.0411648, nnz_a=11.9832, nnz_b=22.0403, uni_search=0.476301, uni_subSolve=0.0833335, uni_maintain=0.0876441, bi_search=0.565796, bi_subSolve=0.0469952, bi_maintain=0.159371, admm_maintain=0.0696869, area1=530.676, area23=1.163, area4=1.07982, dual_obj=-1503.84, p_obj=14563.1, heldout Acc=0.647832, overall time=35.4555
i=30, infea=0.0412227, nnz_a=12.1221, nnz_b=22.4031, uni_search=0.502512, uni_subSolve=0.09406, uni_maintain=0.100968, bi_search=0.591055, bi_subSolve=0.0484662, bi_maintain=0.165298, admm_maintain=0.0666849, area1=562.459, area23=1.16678, area4=1.09142, dual_obj=-1533.64, overall time=37.1226
i=31, infea=0.041276, nnz_a=12.2654, nnz_b=22.7589, uni_search=0.501055, uni_subSolve=0.0952255, uni_maintain=0.101814, bi_search=0.623971, bi_subSolve=0.050389, bi_maintain=0.172258, admm_maintain=0.069702, area1=594.881, area23=1.17105, area4=1.11257, dual_obj=-1562.88, overall time=38.8363
i=32, infea=0.041264, nnz_a=12.4078, nnz_b=23.0998, uni_search=0.501926, uni_subSolve=0.0963851, uni_maintain=0.103427, bi_search=0.648156, bi_subSolve=0.0515832, bi_maintain=0.176543, admm_maintain=0.0691923, area1=628.388, area23=1.17523, area4=1.12084, dual_obj=-1591.85, overall time=40.5807
i=33, infea=0.0413251, nnz_a=12.5398, nnz_b=23.4511, uni_search=0.502592, uni_subSolve=0.0970727, uni_maintain=0.10458, bi_search=0.658046, bi_subSolve=0.0517534, bi_maintain=0.17762, admm_maintain=0.0731313, area1=662.251, area23=1.17957, area4=1.13451, dual_obj=-1620.42, overall time=42.3463
i=34, infea=0.0412823, nnz_a=12.675, nnz_b=23.782, uni_search=0.508534, uni_subSolve=0.103051, uni_maintain=0.105329, bi_search=0.675264, bi_subSolve=0.0502443, bi_maintain=0.184814, admm_maintain=0.0666253, area1=697.169, area23=1.1833, area4=1.14914, dual_obj=-1649.13, overall time=44.1373
i=35, infea=0.0413608, nnz_a=12.8036, nnz_b=24.1138, uni_search=0.489564, uni_subSolve=0.0960963, uni_maintain=0.0981218, bi_search=0.685995, bi_subSolve=0.0508559, bi_maintain=0.185943, admm_maintain=0.0827328, area1=732.194, area23=1.18741, area4=1.16726, dual_obj=-1676.97, overall time=45.9268
i=36, infea=0.0413785, nnz_a=12.9156, nnz_b=24.4321, uni_search=0.490167, uni_subSolve=0.0967097, uni_maintain=0.0984465, bi_search=0.749792, bi_subSolve=0.0535719, bi_maintain=0.199676, admm_maintain=0.0687074, area1=767.917, area23=1.19254, area4=1.17315, dual_obj=-1704.17, overall time=47.7805
i=37, infea=0.0412921, nnz_a=13.0434, nnz_b=24.751, uni_search=0.505407, uni_subSolve=0.103203, uni_maintain=0.106546, bi_search=0.70361, bi_subSolve=0.0519256, bi_maintain=0.188333, admm_maintain=0.0914066, area1=804.585, area23=1.19714, area4=1.18825, dual_obj=-1731.65, overall time=49.6326
i=38, infea=0.0412191, nnz_a=13.1609, nnz_b=25.0548, uni_search=0.508585, uni_subSolve=0.106209, uni_maintain=0.109494, bi_search=0.733068, bi_subSolve=0.0531254, bi_maintain=0.192822, admm_maintain=0.0766719, area1=841.742, area23=1.20037, area4=1.20956, dual_obj=-1758.71, overall time=51.5112
i=39, infea=0.0411733, nnz_a=13.2843, nnz_b=25.349, uni_search=0.506166, uni_subSolve=0.101848, uni_maintain=0.111328, bi_search=0.753502, bi_subSolve=0.0560141, bi_maintain=0.19121, admm_maintain=0.0681894, area1=879.066, area23=1.20619, area4=1.228, dual_obj=-1785.25, p_obj=14703.4, heldout Acc=0.6682, overall time=53.3965
i=40, infea=0.0411318, nnz_a=13.4055, nnz_b=25.6525, uni_search=0.520559, uni_subSolve=0.110381, uni_maintain=0.116637, bi_search=0.917869, bi_subSolve=0.0618959, bi_maintain=0.231277, admm_maintain=0.0678356, area1=917.557, area23=1.20945, area4=1.2563, dual_obj=-1811.13, overall time=55.5264
i=41, infea=0.041031, nnz_a=13.5117, nnz_b=25.9403, uni_search=0.543163, uni_subSolve=0.116024, uni_maintain=0.127076, bi_search=0.972999, bi_subSolve=0.0652484, bi_maintain=0.240794, admm_maintain=0.0845986, area1=956.577, area23=1.21422, area4=1.29017, dual_obj=-1837.39, overall time=57.7853
i=42, infea=0.041006, nnz_a=13.6244, nnz_b=26.2131, uni_search=0.521238, uni_subSolve=0.113804, uni_maintain=0.122007, bi_search=0.921389, bi_subSolve=0.062806, bi_maintain=0.228349, admm_maintain=0.112134, area1=996.127, area23=1.21813, area4=1.32276, dual_obj=-1862.6, overall time=59.9798
i=43, infea=0.0409378, nnz_a=13.7282, nnz_b=26.498, uni_search=0.519014, uni_subSolve=0.113154, uni_maintain=0.119863, bi_search=0.996137, bi_subSolve=0.0656272, bi_maintain=0.243083, admm_maintain=0.0721479, area1=1036.12, area23=1.22286, area4=1.3412, dual_obj=-1887.91, overall time=62.2131
i=44, infea=0.0408668, nnz_a=13.822, nnz_b=26.7706, uni_search=0.545606, uni_subSolve=0.119111, uni_maintain=0.129845, bi_search=1.01624, bi_subSolve=0.0665937, bi_maintain=0.244443, admm_maintain=0.087646, area1=1076.41, area23=1.22766, area4=1.36791, dual_obj=-1912.88, overall time=64.533
i=45, infea=0.0407528, nnz_a=13.9273, nnz_b=27.0374, uni_search=0.521872, uni_subSolve=0.116274, uni_maintain=0.125647, bi_search=1.00398, bi_subSolve=0.0659856, bi_maintain=0.242738, admm_maintain=0.0855754, area1=1117.44, area23=1.23238, area4=1.41514, dual_obj=-1937.46, overall time=66.8143
i=46, infea=0.0406435, nnz_a=14.037, nnz_b=27.3026, uni_search=0.523694, uni_subSolve=0.115176, uni_maintain=0.123022, bi_search=0.981622, bi_subSolve=0.0646507, bi_maintain=0.236726, admm_maintain=0.0925338, area1=1159.54, area23=1.23673, area4=1.44089, dual_obj=-1961.94, overall time=69.0664
