using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=29, a_nnz=5.14471, ever_a_nnz=13.3455, b_nnz=117.13, uni_search=12.9354, uni_subSolve=1.39663, uni_maintain_time=0.224253, bi_search=0.740516, bi_subSolve=1.3538, bi_maintain_time=0.305071, admm_maintain=1.77324, area4=2.41798, infea=0.619075, d_obj=10.0347, p_obj=3201.4, heldout Acc=1 (2/50), overall time=458.8
i=30, a_nnz=5.17905, ever_a_nnz=13.5465, b_nnz=121.576, uni_search=13.226, uni_subSolve=1.42687, uni_maintain_time=0.153334, bi_search=0.73643, bi_subSolve=1.35082, bi_maintain_time=0.333192, admm_maintain=1.69277, area4=2.67739, infea=1.87493, d_obj=475.081, overall time=478.931
i=31, a_nnz=5.19341, ever_a_nnz=13.7403, b_nnz=126.03, uni_search=14.2044, uni_subSolve=1.44642, uni_maintain_time=0.164264, bi_search=0.745448, bi_subSolve=1.31746, bi_maintain_time=0.273735, admm_maintain=1.00558, area4=2.98519, infea=0.622646, d_obj=6.95173, overall time=499.847
i=32, a_nnz=5.23261, ever_a_nnz=13.9366, b_nnz=130.626, uni_search=16.595, uni_subSolve=1.85228, uni_maintain_time=0.240311, bi_search=0.894658, bi_subSolve=1.5456, bi_maintain_time=0.36077, admm_maintain=1.54085, area4=3.29937, infea=0.986655, d_obj=-7.99155, overall time=524.387
i=33, a_nnz=5.2515, ever_a_nnz=14.1273, b_nnz=135.144, uni_search=15.2034, uni_subSolve=1.53826, uni_maintain_time=0.183878, bi_search=0.790972, bi_subSolve=1.4998, bi_maintain_time=0.325211, admm_maintain=1.0198, area4=3.65122, infea=0.870828, d_obj=93.1298, overall time=546.598
i=34, a_nnz=5.27084, ever_a_nnz=14.3176, b_nnz=139.73, uni_search=16.5437, uni_subSolve=1.84729, uni_maintain_time=0.209325, bi_search=0.754418, bi_subSolve=1.38428, bi_maintain_time=0.259247, admm_maintain=1.94679, area4=3.89238, infea=0.845378, d_obj=-15.4294, overall time=571.109
i=35, a_nnz=5.2898, ever_a_nnz=14.4993, b_nnz=144.197, uni_search=17.1344, uni_subSolve=1.89915, uni_maintain_time=0.242685, bi_search=1.13307, bi_subSolve=2.00625, bi_maintain_time=0.400738, admm_maintain=2.0997, area4=4.08975, infea=1.80543, d_obj=-15.1924, overall time=597.579
i=36, a_nnz=5.30506, ever_a_nnz=14.6735, b_nnz=148.565, uni_search=14.4179, uni_subSolve=1.63534, uni_maintain_time=0.190422, bi_search=1.05048, bi_subSolve=1.85731, bi_maintain_time=0.345228, admm_maintain=1.82559, area4=4.1689, infea=0.65616, d_obj=-14.4049, overall time=620.418
i=37, a_nnz=5.31974, ever_a_nnz=14.8476, b_nnz=152.951, uni_search=15.2847, uni_subSolve=1.57056, uni_maintain_time=0.238379, bi_search=1.02758, bi_subSolve=1.87379, bi_maintain_time=0.401227, admm_maintain=2.09183, area4=4.28405, infea=0.586762, d_obj=-19.2615, overall time=644.674
i=38, a_nnz=5.32459, ever_a_nnz=15.0159, b_nnz=157.31, uni_search=13.3281, uni_subSolve=1.52265, uni_maintain_time=0.166151, bi_search=0.963832, bi_subSolve=1.8358, bi_maintain_time=0.373868, admm_maintain=1.6907, area4=4.32708, infea=0.664151, d_obj=-10.1076, overall time=666.568
i=39, a_nnz=5.33652, ever_a_nnz=15.1773, b_nnz=161.523, uni_search=13.8481, uni_subSolve=1.50417, uni_maintain_time=0.194259, bi_search=0.880832, bi_subSolve=1.59758, bi_maintain_time=0.309886, admm_maintain=3.09219, area4=4.33333, infea=0.578323, d_obj=-20.8177, p_obj=122526, heldout Acc=1 (3/50), overall time=689.993
i=40, a_nnz=5.34355, ever_a_nnz=15.3351, b_nnz=165.744, uni_search=20.0452, uni_subSolve=2.09921, uni_maintain_time=0.20153, bi_search=1.38119, bi_subSolve=2.19459, bi_maintain_time=0.352491, admm_maintain=2.50365, area4=4.32108, infea=0.627952, d_obj=-21.7063, overall time=720.689
i=41, a_nnz=5.3565, ever_a_nnz=15.4903, b_nnz=170.001, uni_search=15.8908, uni_subSolve=1.82227, uni_maintain_time=0.17121, bi_search=1.21994, bi_subSolve=2.09963, bi_maintain_time=0.375298, admm_maintain=1.71249, area4=4.40802, infea=0.614239, d_obj=-24.8725, overall time=745.559
i=42, a_nnz=5.37578, ever_a_nnz=15.643, b_nnz=174.277, uni_search=19.1678, uni_subSolve=2.00075, uni_maintain_time=0.233557, bi_search=1.85619, bi_subSolve=3.15817, bi_maintain_time=0.453035, admm_maintain=2.05583, area4=4.42538, infea=0.638613, d_obj=-23.2009, overall time=776.548
i=43, a_nnz=5.39289, ever_a_nnz=15.7967, b_nnz=178.624, uni_search=18.6122, uni_subSolve=2.09301, uni_maintain_time=0.175757, bi_search=1.35647, bi_subSolve=2.58746, bi_maintain_time=0.501442, admm_maintain=2.1909, area4=4.52381, infea=0.486046, d_obj=-26.4139, overall time=806.006
i=44, a_nnz=5.40387, ever_a_nnz=15.9426, b_nnz=182.833, uni_search=18.9181, uni_subSolve=2.10555, uni_maintain_time=0.261651, bi_search=1.06946, bi_subSolve=1.87662, bi_maintain_time=0.325544, admm_maintain=3.37785, area4=4.63028, infea=0.507762, d_obj=-24.4396, overall time=835.714
