using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=29, a_nnz=5.4767, ever_a_nnz=13.2163, b_nnz=113.887, uni_search=9.71693, uni_subSolve=1.04452, uni_maintain_time=0.162779, bi_search=0.593899, bi_subSolve=0.876697, bi_maintain_time=0.290635, admm_maintain=0.901459, area4=1.78233, infea=9.50694, d_obj=12.7737., heldout Acc=0.993086 (1/100), overall time=186.105
i=30, a_nnz=5.51385, ever_a_nnz=13.4055, b_nnz=117.983, uni_search=5.57936, uni_subSolve=0.599426, uni_maintain_time=0.118791, bi_search=0.347201, bi_subSolve=0.533577, bi_maintain_time=0.181692, admm_maintain=0.529774, area4=2.02898, infea=8.57718, d_obj=22.298, overall time=194.002
i=31, a_nnz=5.54851, ever_a_nnz=13.5915, b_nnz=122.036, uni_search=5.6484, uni_subSolve=0.609009, uni_maintain_time=0.119306, bi_search=0.369882, bi_subSolve=0.564783, bi_maintain_time=0.18898, admm_maintain=0.537877, area4=2.27346, infea=4.76698, d_obj=3.34317, overall time=202.049
i=32, a_nnz=5.58413, ever_a_nnz=13.776, b_nnz=126.052, uni_search=5.71782, uni_subSolve=0.619423, uni_maintain_time=0.118902, bi_search=0.367927, bi_subSolve=0.569471, bi_maintain_time=0.187298, admm_maintain=0.56319, area4=2.39704, infea=5.19042, d_obj=31.639, overall time=210.201
i=33, a_nnz=5.59339, ever_a_nnz=13.9531, b_nnz=130.137, uni_search=5.68051, uni_subSolve=0.611769, uni_maintain_time=0.118325, bi_search=0.371696, bi_subSolve=0.578167, bi_maintain_time=0.187019, admm_maintain=0.560091, area4=2.43738, infea=54.521, d_obj=476.019, overall time=218.317
i=34, a_nnz=5.61675, ever_a_nnz=14.126, b_nnz=134.188, uni_search=6.25252, uni_subSolve=0.727713, uni_maintain_time=0.148318, bi_search=0.458224, bi_subSolve=0.689365, bi_maintain_time=0.234386, admm_maintain=0.686134, area4=2.52202, infea=18.9883, d_obj=32.3856, overall time=227.522
i=35, a_nnz=5.65001, ever_a_nnz=14.2922, b_nnz=138.168, uni_search=6.48053, uni_subSolve=0.775517, uni_maintain_time=0.158748, bi_search=0.46644, bi_subSolve=0.700826, bi_maintain_time=0.23389, admm_maintain=0.705026, area4=2.52624, infea=12.2397, d_obj=11.6204, overall time=237.053
i=36, a_nnz=5.67803, ever_a_nnz=14.4512, b_nnz=142.133, uni_search=6.49347, uni_subSolve=0.78083, uni_maintain_time=0.159076, bi_search=0.483842, bi_subSolve=0.72936, bi_maintain_time=0.240584, admm_maintain=0.727692, area4=2.59083, infea=7.47278, d_obj=21.8039, overall time=246.677
i=37, a_nnz=5.70465, ever_a_nnz=14.6029, b_nnz=145.938, uni_search=6.58773, uni_subSolve=0.796704, uni_maintain_time=0.160407, bi_search=0.47789, bi_subSolve=0.727536, bi_maintain_time=0.239977, admm_maintain=0.743047, area4=2.77225, infea=2.17478, d_obj=17.7538, overall time=256.419
i=38, a_nnz=5.72131, ever_a_nnz=14.7498, b_nnz=149.693, uni_search=6.74644, uni_subSolve=0.754387, uni_maintain_time=0.139238, bi_search=0.436564, bi_subSolve=0.69073, bi_maintain_time=0.21567, admm_maintain=0.660337, area4=2.78195, infea=2.10038, d_obj=2.23346, overall time=266.071
i=39, a_nnz=5.74646, ever_a_nnz=14.8974, b_nnz=153.598, uni_search=6.61591, uni_subSolve=0.711568, uni_maintain_time=0.125955, bi_search=0.446195, bi_subSolve=0.704351, bi_maintain_time=0.214714, admm_maintain=0.708574, area4=2.86889, infea=2.15177, d_obj=-3.37635., heldout Acc=0.994815 (2/100), overall time=275.607
i=40, a_nnz=5.76663, ever_a_nnz=15.0393, b_nnz=157.416, uni_search=9.55094, uni_subSolve=0.927264, uni_maintain_time=0.139994, bi_search=0.416572, bi_subSolve=0.679831, bi_maintain_time=0.202666, admm_maintain=0.60432, area4=3.09192, infea=4.59911, d_obj=25.6798, overall time=288.138
i=41, a_nnz=5.78718, ever_a_nnz=15.175, b_nnz=161.05, uni_search=6.06995, uni_subSolve=0.608421, uni_maintain_time=0.105764, bi_search=0.386807, bi_subSolve=0.641098, bi_maintain_time=0.192943, admm_maintain=0.61519, area4=3.17477, infea=2.12879, d_obj=-2.50533, overall time=296.766
