using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=29, a_nnz=5.52124, ever_a_nnz=6.27612, b_nnz=35.761, uni_search=4.46702, uni_subSolve=0.280612, uni_maintain_time=0.0689685, bi_search=46.0825, bi_subSolve=0.312229, bi_maintain_time=0.141348, admm_maintain=0.22216, area4=-nan, infea=506.816, d_obj=11154, p_obj=33818.........., heldout Acc=0.991018, overall time=1485.6
i=30, a_nnz=5.55114, ever_a_nnz=6.31255, b_nnz=36.4943, uni_search=4.1746, uni_subSolve=0.261974, uni_maintain_time=0.0705875, bi_search=47.4774, bi_subSolve=0.405355, bi_maintain_time=0.195734, admm_maintain=0.210982, area4=-nan, infea=502.837, d_obj=11081.4, overall time=1538.66
i=31, a_nnz=5.57831, ever_a_nnz=6.34668, b_nnz=37.2116, uni_search=5.56476, uni_subSolve=0.333315, uni_maintain_time=0.0580021, bi_search=46.4985, bi_subSolve=0.343396, bi_maintain_time=0.159211, admm_maintain=0.29417, area4=-nan, infea=491.29, d_obj=10964.7, overall time=1592.25
i=32, a_nnz=5.60557, ever_a_nnz=6.37907, b_nnz=37.8958, uni_search=5.84329, uni_subSolve=0.378583, uni_maintain_time=0.0774501, bi_search=47.608, bi_subSolve=0.473594, bi_maintain_time=0.228422, admm_maintain=0.281357, area4=-nan, infea=475.101, d_obj=10817.2, overall time=1647.34
i=33, a_nnz=5.6299, ever_a_nnz=6.40821, b_nnz=38.5264, uni_search=3.83935, uni_subSolve=0.215152, uni_maintain_time=0.0505259, bi_search=48.0053, bi_subSolve=0.486772, bi_maintain_time=0.227153, admm_maintain=0.275847, area4=-nan, infea=454.317, d_obj=10831.7, overall time=1700.64
i=34, a_nnz=5.65683, ever_a_nnz=6.43792, b_nnz=39.1606, uni_search=4.0542, uni_subSolve=0.232554, uni_maintain_time=0.0504439, bi_search=46.827, bi_subSolve=0.393809, bi_maintain_time=0.181322, admm_maintain=0.218961, area4=-nan, infea=447.815, d_obj=10918.1, overall time=1752.87
i=35, a_nnz=5.68015, ever_a_nnz=6.46595, b_nnz=39.7811, uni_search=5.58721, uni_subSolve=0.336617, uni_maintain_time=0.0574289, bi_search=45.4186, bi_subSolve=0.353645, bi_maintain_time=0.155351, admm_maintain=0.183349, area4=-nan, infea=429.142, d_obj=10961.4, overall time=1805.24
i=36, a_nnz=5.70674, ever_a_nnz=6.49503, b_nnz=40.4285, uni_search=4.21317, uni_subSolve=0.272954, uni_maintain_time=0.0709445, bi_search=47.744, bi_subSolve=0.464461, bi_maintain_time=0.212669, admm_maintain=0.356134, area4=-nan, infea=427.286, d_obj=10978.5, overall time=1858.79
i=37, a_nnz=5.73098, ever_a_nnz=6.52354, b_nnz=41.0641, uni_search=3.80964, uni_subSolve=0.211775, uni_maintain_time=0.0482801, bi_search=44.7801, bi_subSolve=0.198072, bi_maintain_time=0.0741369, admm_maintain=0.160582, area4=-nan, infea=424.454, d_obj=11116.7, overall time=1908.26
i=38, a_nnz=5.75263, ever_a_nnz=6.55056, b_nnz=41.7111, uni_search=3.65831, uni_subSolve=0.19977, uni_maintain_time=0.0480054, bi_search=45.5717, bi_subSolve=0.297443, bi_maintain_time=0.123904, admm_maintain=0.222585, area4=-nan, infea=412.081, d_obj=11212.2, overall time=1958.62
i=39, a_nnz=5.77106, ever_a_nnz=6.5748, b_nnz=42.2935, uni_search=4.0568, uni_subSolve=0.237742, uni_maintain_time=0.0505513, bi_search=44.8807, bi_subSolve=0.237821, bi_maintain_time=0.0899239, admm_maintain=0.217719, area4=-nan, infea=398.529, d_obj=11393, p_obj=25434.9.........., heldout Acc=0.991239, overall time=2008.65
i=40, a_nnz=5.79054, ever_a_nnz=6.59885, b_nnz=42.8555, uni_search=4.38131, uni_subSolve=0.272587, uni_maintain_time=0.0590566, bi_search=45.4569, bi_subSolve=0.345782, bi_maintain_time=0.145545, admm_maintain=0.179113, area4=-nan, infea=388.458, d_obj=11521.6, overall time=2059.7
i=41, a_nnz=5.80955, ever_a_nnz=6.6228, b_nnz=43.4433, uni_search=5.96659, uni_subSolve=0.3972, uni_maintain_time=0.0746095, bi_search=45.6647, bi_subSolve=0.347122, bi_maintain_time=0.142695, admm_maintain=0.182478, area4=-nan, infea=381.432, d_obj=11577.6, overall time=2112.72
i=42, a_nnz=5.82477, ever_a_nnz=6.64689, b_nnz=44.032, uni_search=3.81069, uni_subSolve=0.218211, uni_maintain_time=0.0497466, bi_search=46.0861, bi_subSolve=0.374256, bi_maintain_time=0.159978, admm_maintain=0.273417, area4=-nan, infea=374.629, d_obj=11672.5, overall time=2163.99
i=43, a_nnz=5.84065, ever_a_nnz=6.6683, b_nnz=44.5713, uni_search=5.24781, uni_subSolve=0.336926, uni_maintain_time=0.0642658, bi_search=46.6429, bi_subSolve=0.443901, bi_maintain_time=0.190132, admm_maintain=0.197458, area4=-nan, infea=365.938, d_obj=11863.8, overall time=2217.36
i=44, a_nnz=5.85654, ever_a_nnz=6.69148, b_nnz=45.1655, uni_search=4.41349, uni_subSolve=0.281067, uni_maintain_time=0.0574087, bi_search=45.1566, bi_subSolve=0.31898, bi_maintain_time=0.125078, admm_maintain=0.231175, area4=-nan, infea=362.696, d_obj=11936.4, overall time=2268.21
i=45, a_nnz=5.87223, ever_a_nnz=6.71265, b_nnz=45.7151, uni_search=4.41181, uni_subSolve=0.297062, uni_maintain_time=0.0705897, bi_search=47.0027, bi_subSolve=0.461697, bi_maintain_time=0.191974, admm_maintain=0.282143, area4=-nan, infea=357.9, d_obj=12032.1, overall time=2321.27
i=46, a_nnz=5.88683, ever_a_nnz=6.733, b_nnz=46.2341, uni_search=4.90176, uni_subSolve=0.305028, uni_maintain_time=0.0583661, bi_search=45.489, bi_subSolve=0.302999, bi_maintain_time=0.121658, admm_maintain=0.306757, area4=-nan, infea=356.255, d_obj=12007.5, overall time=2373.09
i=47, a_nnz=5.90358, ever_a_nnz=6.75484, b_nnz=46.8029, uni_search=6.02586, uni_subSolve=0.385366, uni_maintain_time=0.060736, bi_search=45.9854, bi_subSolve=0.392813, bi_maintain_time=0.164505, admm_maintain=0.218235, area4=-nan, infea=353.058, d_obj=12145.6, overall time=2426.58
i=48, a_nnz=5.915, ever_a_nnz=6.77423, b_nnz=47.3203, uni_search=4.16386, uni_subSolve=0.257266, uni_maintain_time=0.055217, bi_search=46.3359, bi_subSolve=0.40522, bi_maintain_time=0.167934, admm_maintain=0.301799, area4=-nan, infea=345.241, d_obj=12143.9, overall time=2478.6
i=49, a_nnz=5.92853, ever_a_nnz=6.79525, b_nnz=47.8686, uni_search=4.55182, uni_subSolve=0.284357, uni_maintain_time=0.0536862, bi_search=45.7112, bi_subSolve=0.363366, bi_maintain_time=0.152398, admm_maintain=0.210614, area4=-nan, infea=345.969, d_obj=12084.8, p_obj=23907.3.........., heldout Acc=0.99354, overall time=2530.2
i=50, a_nnz=5.94058, ever_a_nnz=6.81425, b_nnz=48.3613, uni_search=6.75287, uni_subSolve=0.473401, uni_maintain_time=0.0814327, bi_search=47.6186, bi_subSolve=0.569741, bi_maintain_time=0.257099, admm_maintain=0.364558, area4=-nan, infea=337.516, d_obj=12146.6, overall time=2586.57
i=51, a_nnz=5.95085, ever_a_nnz=6.83312, b_nnz=48.8825, uni_search=4.36148, uni_subSolve=0.269431, uni_maintain_time=0.0514396, bi_search=46.2681, bi_subSolve=0.394472, bi_maintain_time=0.165459, admm_maintain=0.185538, area4=-nan, infea=333.918, d_obj=12173.3, overall time=2638.49
i=52, a_nnz=5.96247, ever_a_nnz=6.85246, b_nnz=49.406, uni_search=3.78399, uni_subSolve=0.217326, uni_maintain_time=0.0481594, bi_search=47.2408, bi_subSolve=0.451856, bi_maintain_time=0.191864, admm_maintain=0.284814, area4=-nan, infea=331.772, d_obj=12090, overall time=2691.04
i=53, a_nnz=5.97423, ever_a_nnz=6.87079, b_nnz=49.8953, uni_search=6.11675, uni_subSolve=0.396856, uni_maintain_time=0.0645139, bi_search=45.8045, bi_subSolve=0.436102, bi_maintain_time=0.184422, admm_maintain=0.243302, area4=-nan, infea=329.58, d_obj=12148.6, overall time=2744.56
i=54, a_nnz=5.98551, ever_a_nnz=6.8885, b_nnz=50.3793, uni_search=4.76086, uni_subSolve=0.320135, uni_maintain_time=0.0587008, bi_search=45.2277, bi_subSolve=0.410594, bi_maintain_time=0.168671, admm_maintain=0.287024, area4=-nan, infea=327.234, d_obj=12150, overall time=2796.09
i=55, a_nnz=5.99707, ever_a_nnz=6.90679, b_nnz=50.8929, uni_search=4.78993, uni_subSolve=0.322012, uni_maintain_time=0.0593331, bi_search=45.2165, bi_subSolve=0.415464, bi_maintain_time=0.172649, admm_maintain=0.238276, area4=-nan, infea=325.573, d_obj=12140.4, overall time=2847.6
i=56, a_nnz=6.00826, ever_a_nnz=6.92513, b_nnz=51.4169, uni_search=4.51791, uni_subSolve=0.316627, uni_maintain_time=0.0711442, bi_search=46.9246, bi_subSolve=0.491184, bi_maintain_time=0.203006, admm_maintain=0.31024, area4=-nan, infea=326.563, d_obj=12237.4, overall time=2900.77
i=57, a_nnz=6.01881, ever_a_nnz=6.94212, b_nnz=51.9063, uni_search=6.26051, uni_subSolve=0.41417, uni_maintain_time=0.0661058, bi_search=48.2022, bi_subSolve=0.567302, bi_maintain_time=0.243824, admm_maintain=0.318439, area4=-nan, infea=325.199, d_obj=12107.6, overall time=2957.18
i=58, a_nnz=6.02937, ever_a_nnz=6.95767, b_nnz=52.3576, uni_search=6.3228, uni_subSolve=0.42193, uni_maintain_time=0.0669088, bi_search=48.0623, bi_subSolve=0.568219, bi_maintain_time=0.240865, admm_maintain=0.30514, area4=-nan, infea=314.883, d_obj=12124.7, overall time=3013.52
i=59, a_nnz=6.04416, ever_a_nnz=6.97567, b_nnz=52.8677, uni_search=6.33175, uni_subSolve=0.423338, uni_maintain_time=0.0666618, bi_search=48.0241, bi_subSolve=0.571848, bi_maintain_time=0.246633, admm_maintain=0.305787, area4=-nan, infea=318.881, d_obj=12198.9, p_obj=30809.5.........., heldout Acc=0.996018, overall time=3069.82
i=60, a_nnz=6.05467, ever_a_nnz=6.99294, b_nnz=53.3706, uni_search=5.90267, uni_subSolve=0.317721, uni_maintain_time=0.0514206, bi_search=47.5204, bi_subSolve=0.451478, bi_maintain_time=0.203339, admm_maintain=0.290117, area4=-nan, infea=314.469, d_obj=12175.3, overall time=3124.89
i=61, a_nnz=6.06484, ever_a_nnz=7.00816, b_nnz=53.8248, uni_search=5.99895, uni_subSolve=0.330485, uni_maintain_time=0.0511083, bi_search=47.3805, bi_subSolve=0.466307, bi_maintain_time=0.214151, admm_maintain=0.292914, area4=-nan, infea=312.075, d_obj=12145.4, overall time=3179.9
i=62, a_nnz=6.07612, ever_a_nnz=7.02333, b_nnz=54.2884, uni_search=4.41261, uni_subSolve=0.257808, uni_maintain_time=0.0446207, bi_search=45.5616, bi_subSolve=0.384247, bi_maintain_time=0.158988, admm_maintain=0.303375, area4=-nan, infea=307.26, d_obj=12226.3, overall time=3231.33
i=63, a_nnz=6.08462, ever_a_nnz=7.03825, b_nnz=54.7277, uni_search=5.98658, uni_subSolve=0.329831, uni_maintain_time=0.0513753, bi_search=44.8483, bi_subSolve=0.231628, bi_maintain_time=0.0830576, admm_maintain=0.178362, area4=-nan, infea=304.692, d_obj=12147.8, overall time=3283.26
i=64, a_nnz=6.09268, ever_a_nnz=7.054, b_nnz=55.1788, uni_search=3.84151, uni_subSolve=0.217669, uni_maintain_time=0.0421335, bi_search=44.746, bi_subSolve=0.258013, bi_maintain_time=0.0924088, admm_maintain=0.241095, area4=-nan, infea=301.251, d_obj=12017.7, overall time=3333
i=65, a_nnz=6.10108, ever_a_nnz=7.06811, b_nnz=55.6052, uni_search=5.89396, uni_subSolve=0.325303, uni_maintain_time=0.0475511, bi_search=44.8776, bi_subSolve=0.239325, bi_maintain_time=0.0864011, admm_maintain=0.189345, area4=-nan, infea=297.511, d_obj=12023.8, overall time=3384.88
i=66, a_nnz=6.10852, ever_a_nnz=7.08313, b_nnz=56.0516, uni_search=3.96369, uni_subSolve=0.214626, uni_maintain_time=0.0396219, bi_search=44.5166, bi_subSolve=0.21697, bi_maintain_time=0.0727876, admm_maintain=0.203842, area4=-nan, infea=296.73, d_obj=11966.1, overall time=3434.33
i=67, a_nnz=6.11721, ever_a_nnz=7.09695, b_nnz=56.4737, uni_search=3.74664, uni_subSolve=0.203064, uni_maintain_time=0.0383006, bi_search=44.5328, bi_subSolve=0.222614, bi_maintain_time=0.0739691, admm_maintain=0.227495, area4=-nan, infea=292.571, d_obj=11859.3, overall time=3483.61
i=68, a_nnz=6.12724, ever_a_nnz=7.11039, b_nnz=56.898, uni_search=3.75603, uni_subSolve=0.204641, uni_maintain_time=0.0385437, bi_search=44.5511, bi_subSolve=0.21963, bi_maintain_time=0.0732727, admm_maintain=0.206944, area4=-nan, infea=294.429, d_obj=11810.6, overall time=3532.91
i=69, a_nnz=6.13477, ever_a_nnz=7.12421, b_nnz=57.3547, uni_search=3.76171, uni_subSolve=0.205941, uni_maintain_time=0.038728, bi_search=44.554, bi_subSolve=0.242666, bi_maintain_time=0.0811504, admm_maintain=0.208845, area4=-nan, infea=292.974, d_obj=11630.7, p_obj=19940.7.........., heldout Acc=0.995354 (1/50), overall time=3582.29
i=70, a_nnz=6.14356, ever_a_nnz=7.13741, b_nnz=57.7814, uni_search=6.29217, uni_subSolve=0.366875, uni_maintain_time=0.0561627, bi_search=47.2714, bi_subSolve=0.520681, bi_maintain_time=0.230449, admm_maintain=0.356403, area4=-nan, infea=294.346, d_obj=11476.4, overall time=3637.69
i=71, a_nnz=6.15272, ever_a_nnz=7.15119, b_nnz=58.2267, uni_search=4.66828, uni_subSolve=0.303368, uni_maintain_time=0.0582244, bi_search=45.7275, bi_subSolve=0.371566, bi_maintain_time=0.146465, admm_maintain=0.279164, area4=-nan, infea=295.03, d_obj=11492, overall time=3689.57
i=72, a_nnz=6.16165, ever_a_nnz=7.16501, b_nnz=58.663, uni_search=4.74811, uni_subSolve=0.306323, uni_maintain_time=0.0551973, bi_search=45.0599, bi_subSolve=0.337555, bi_maintain_time=0.123236, admm_maintain=0.237563, area4=-nan, infea=293.647, d_obj=11421.4, overall time=3740.71
i=73, a_nnz=6.16823, ever_a_nnz=7.17768, b_nnz=59.083, uni_search=4.07889, uni_subSolve=0.238706, uni_maintain_time=0.0429402, bi_search=44.9926, bi_subSolve=0.325023, bi_maintain_time=0.118294, admm_maintain=0.242617, area4=-nan, infea=289.024, d_obj=11216.2, overall time=3791.09
i=74, a_nnz=6.17663, ever_a_nnz=7.19016, b_nnz=59.4982, uni_search=4.73974, uni_subSolve=0.310692, uni_maintain_time=0.0549003, bi_search=45.3489, bi_subSolve=0.386467, bi_maintain_time=0.150434, admm_maintain=0.286414, area4=-nan, infea=290.884, d_obj=11329.9, overall time=3842.69
