using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=32, a_nnz=5.06892, ever_a_nnz=5.14168, b_nnz=26.8627, uni_search=3.57111, uni_subSolve=0.175421, uni_maintain_time=0.0448909, bi_search=44.5552, bi_subSolve=0.158892, bi_maintain_time=0.100306, admm_maintain=0.110487, area4=-nan, infea=608.343, d_obj=-21818.1, overall time=1651.87
i=33, a_nnz=5.09518, ever_a_nnz=5.16928, b_nnz=27.4134, uni_search=5.03315, uni_subSolve=0.288318, uni_maintain_time=0.0621954, bi_search=44.9768, bi_subSolve=0.193097, bi_maintain_time=0.123413, admm_maintain=0.101319, area4=-nan, infea=600.39, d_obj=-21915.9, overall time=1702.82
i=34, a_nnz=5.12133, ever_a_nnz=5.19702, b_nnz=27.9632, uni_search=3.59168, uni_subSolve=0.186338, uni_maintain_time=0.0554221, bi_search=44.7768, bi_subSolve=0.151714, bi_maintain_time=0.0864687, admm_maintain=0.100304, area4=-nan, infea=606.189, d_obj=-21999.1, overall time=1751.93
i=35, a_nnz=5.14605, ever_a_nnz=5.22299, b_nnz=28.4979, uni_search=3.60974, uni_subSolve=0.184, uni_maintain_time=0.0514425, bi_search=45.6686, bi_subSolve=0.192091, bi_maintain_time=0.129779, admm_maintain=0.15455, area4=-nan, infea=589.705, d_obj=-22100.8, overall time=1802.09
i=36, a_nnz=5.16991, ever_a_nnz=5.24819, b_nnz=29.0292, uni_search=4.98202, uni_subSolve=0.255862, uni_maintain_time=0.0516151, bi_search=46.3334, bi_subSolve=0.250066, bi_maintain_time=0.176216, admm_maintain=0.167588, area4=-nan, infea=584.284, d_obj=-22188.3, overall time=1854.52
i=37, a_nnz=5.19256, ever_a_nnz=5.27147, b_nnz=29.5323, uni_search=5.03894, uni_subSolve=0.260647, uni_maintain_time=0.0502329, bi_search=46.3425, bi_subSolve=0.236864, bi_maintain_time=0.165943, admm_maintain=0.120915, area4=-nan, infea=576.551, d_obj=-22277.3, overall time=1906.93
i=38, a_nnz=5.21589, ever_a_nnz=5.2958, b_nnz=30.0421, uni_search=4.57091, uni_subSolve=0.225125, uni_maintain_time=0.0467543, bi_search=46.3331, bi_subSolve=0.237569, bi_maintain_time=0.168132, admm_maintain=0.132445, area4=-nan, infea=571.648, d_obj=-22360, overall time=1958.86
i=39, a_nnz=5.2371, ever_a_nnz=5.31812, b_nnz=30.5281, uni_search=5.28185, uni_subSolve=0.28038, uni_maintain_time=0.051835, bi_search=46.3922, bi_subSolve=0.262108, bi_maintain_time=0.183794, admm_maintain=0.15661, area4=-nan, infea=560.87, d_obj=-22446.4, p_obj=26207.6.........., heldout Acc=0.994602, overall time=2011.68
i=40, a_nnz=5.25985, ever_a_nnz=5.34125, b_nnz=31.0459, uni_search=3.23803, uni_subSolve=0.155436, uni_maintain_time=0.0441671, bi_search=45.2372, bi_subSolve=0.182268, bi_maintain_time=0.105838, admm_maintain=0.104351, area4=-nan, infea=557.513, d_obj=-22523.2, overall time=2060.92
i=41, a_nnz=5.28035, ever_a_nnz=5.36266, b_nnz=31.5258, uni_search=3.82116, uni_subSolve=0.19057, uni_maintain_time=0.0490112, bi_search=44.3839, bi_subSolve=0.117567, bi_maintain_time=0.0583771, admm_maintain=0.0842507, area4=-nan, infea=552.98, d_obj=-22598.5, overall time=2109.76
i=42, a_nnz=5.30108, ever_a_nnz=5.38421, b_nnz=32.0225, uni_search=3.07047, uni_subSolve=0.139097, uni_maintain_time=0.0385649, bi_search=44.2926, bi_subSolve=0.139987, bi_maintain_time=0.0708338, admm_maintain=0.104074, area4=-nan, infea=554.634, d_obj=-22667.5, overall time=2157.78
i=43, a_nnz=5.32177, ever_a_nnz=5.40576, b_nnz=32.5318, uni_search=3.37307, uni_subSolve=0.167395, uni_maintain_time=0.0474378, bi_search=44.2162, bi_subSolve=0.132182, bi_maintain_time=0.0686856, admm_maintain=0.0860224, area4=-nan, infea=551.974, d_obj=-22737.3, overall time=2205.99
i=44, a_nnz=5.34279, ever_a_nnz=5.42765, b_nnz=33.0227, uni_search=3.08704, uni_subSolve=0.13805, uni_maintain_time=0.0382165, bi_search=44.4668, bi_subSolve=0.160872, bi_maintain_time=0.0873531, admm_maintain=0.105428, area4=-nan, infea=549.372, d_obj=-22806.7, overall time=2254.23
