using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=29, a_nnz=7.86398, ever_a_nnz=9.76467, b_nnz=64.0672, uni_search=3.15986, uni_subSolve=0.981396, uni_maintain_time=0.121694, bi_search=0.372007, bi_subSolve=0.427098, bi_maintain_time=0.145658, admm_maintain=0.425769, area4=1.03705, infea=791.904, d_obj=13513.7, overall time=144.532
i=30, a_nnz=7.95546, ever_a_nnz=9.89921, b_nnz=66.2145, uni_search=3.44001, uni_subSolve=1.12091, uni_maintain_time=0.125461, bi_search=0.562287, bi_subSolve=0.688947, bi_maintain_time=0.186943, admm_maintain=0.698818, area4=1.0455, infea=785.924, d_obj=13471.3, overall time=151.369
i=31, a_nnz=8.04584, ever_a_nnz=10.0282, b_nnz=68.331, uni_search=3.49684, uni_subSolve=1.14025, uni_maintain_time=0.125891, bi_search=0.505675, bi_subSolve=0.573094, bi_maintain_time=0.170623, admm_maintain=0.508512, area4=1.0454, infea=778.476, d_obj=13438.6, overall time=157.902
i=32, a_nnz=8.13266, ever_a_nnz=10.1518, b_nnz=70.4278, uni_search=3.70278, uni_subSolve=1.28721, uni_maintain_time=0.126198, bi_search=0.647081, bi_subSolve=0.725295, bi_maintain_time=0.192343, admm_maintain=0.657695, area4=1.04464, infea=769.242, d_obj=13403.2, overall time=165.254
i=33, a_nnz=8.22265, ever_a_nnz=10.2747, b_nnz=72.5389, uni_search=3.81915, uni_subSolve=1.40531, uni_maintain_time=0.129773, bi_search=0.917304, bi_subSolve=1.01784, bi_maintain_time=0.247788, admm_maintain=0.878121, area4=1.0431, infea=760.696, d_obj=13420.2, overall time=173.687
i=34, a_nnz=8.30684, ever_a_nnz=10.3904, b_nnz=74.5811, uni_search=4.17951, uni_subSolve=1.41572, uni_maintain_time=0.13142, bi_search=0.592343, bi_subSolve=0.70263, bi_maintain_time=0.188719, admm_maintain=0.803856, area4=1.04022, infea=753.457, d_obj=13440.6, overall time=181.715
i=35, a_nnz=8.39102, ever_a_nnz=10.5034, b_nnz=76.6283, uni_search=4.26117, uni_subSolve=1.32213, uni_maintain_time=0.11941, bi_search=0.608203, bi_subSolve=0.775147, bi_maintain_time=0.199517, admm_maintain=0.771861, area4=1.04195, infea=740.878, d_obj=13477.2, overall time=189.792
i=36, a_nnz=8.47478, ever_a_nnz=10.6114, b_nnz=78.6255, uni_search=4.15837, uni_subSolve=1.22639, uni_maintain_time=0.113432, bi_search=0.706152, bi_subSolve=0.869712, bi_maintain_time=0.218621, admm_maintain=0.808968, area4=1.05107, infea=734.672, d_obj=13538.8, overall time=197.909
i=37, a_nnz=8.56069, ever_a_nnz=10.7211, b_nnz=80.6936, uni_search=4.30956, uni_subSolve=1.28023, uni_maintain_time=0.117593, bi_search=0.658767, bi_subSolve=0.83608, bi_maintain_time=0.21138, admm_maintain=0.815193, area4=1.04377, infea=731.644, d_obj=13638.9, overall time=206.151
i=38, a_nnz=8.63907, ever_a_nnz=10.8274, b_nnz=82.7669, uni_search=4.3755, uni_subSolve=1.29788, uni_maintain_time=0.117808, bi_search=0.689735, bi_subSolve=0.844272, bi_maintain_time=0.208968, admm_maintain=0.86863, area4=1.04396, infea=726.044, d_obj=13738, overall time=214.568
i=39, a_nnz=8.72124, ever_a_nnz=10.93, b_nnz=84.7655, uni_search=4.52282, uni_subSolve=1.36571, uni_maintain_time=0.117977, bi_search=0.661478, bi_subSolve=0.846301, bi_maintain_time=0.208702, admm_maintain=0.898534, area4=1.05126, infea=720.83, d_obj=13839.3, overall time=223.202
i=40, a_nnz=8.80187, ever_a_nnz=11.0305, b_nnz=86.8062, uni_search=4.44398, uni_subSolve=1.32026, uni_maintain_time=0.115594, bi_search=0.708278, bi_subSolve=0.885654, bi_maintain_time=0.216605, admm_maintain=0.882357, area4=1.04934, infea=711.889, d_obj=13958.9, overall time=231.788
i=41, a_nnz=8.87569, ever_a_nnz=11.1283, b_nnz=88.7616, uni_search=4.49531, uni_subSolve=1.33883, uni_maintain_time=0.114973, bi_search=0.709983, bi_subSolve=0.898814, bi_maintain_time=0.218652, admm_maintain=0.877253, area4=1.04915, infea=702.529, d_obj=14075.4, overall time=240.46
i=42, a_nnz=8.95436, ever_a_nnz=11.2277, b_nnz=90.8297, uni_search=4.55606, uni_subSolve=1.35945, uni_maintain_time=0.117592, bi_search=0.726203, bi_subSolve=0.924426, bi_maintain_time=0.224754, admm_maintain=0.952869, area4=1.04713, infea=700.525, d_obj=14210.4, overall time=249.342
i=43, a_nnz=9.02933, ever_a_nnz=11.3212, b_nnz=92.7901, uni_search=4.53016, uni_subSolve=1.38851, uni_maintain_time=0.123445, bi_search=0.798652, bi_subSolve=0.951831, bi_maintain_time=0.23929, admm_maintain=0.976597, area4=1.0503, infea=691.446, d_obj=14315.7, overall time=258.372
i=44, a_nnz=9.10324, ever_a_nnz=11.4177, b_nnz=94.8312, uni_search=4.78449, uni_subSolve=1.42498, uni_maintain_time=0.124897, bi_search=0.782928, bi_subSolve=1.00933, bi_maintain_time=0.236258, admm_maintain=1.01097, area4=1.0526, infea=689.638, d_obj=14414.7, overall time=267.759
i=45, a_nnz=9.17264, ever_a_nnz=11.5094, b_nnz=96.8069, uni_search=4.94258, uni_subSolve=1.50733, uni_maintain_time=0.133496, bi_search=0.800857, bi_subSolve=0.998105, bi_maintain_time=0.240759, admm_maintain=1.0672, area4=1.04915, infea=683.969, d_obj=14480, overall time=277.468
i=46, a_nnz=9.24099, ever_a_nnz=11.5971, b_nnz=98.755, uni_search=4.55849, uni_subSolve=1.43482, uni_maintain_time=0.130721, bi_search=0.962693, bi_subSolve=1.11625, bi_maintain_time=0.276356, admm_maintain=1.0984, area4=1.05414, infea=672.818, d_obj=14518.6, overall time=287.06
i=47, a_nnz=9.309, ever_a_nnz=11.6872, b_nnz=100.748, uni_search=4.66336, uni_subSolve=1.47575, uni_maintain_time=0.135559, bi_search=0.830873, bi_subSolve=0.984152, bi_maintain_time=0.249592, admm_maintain=0.648731, area4=1.05078, infea=669.854, d_obj=14526.5, overall time=296.063
i=48, a_nnz=9.37519, ever_a_nnz=11.7758, b_nnz=102.76, uni_search=5.71105, uni_subSolve=2.24888, uni_maintain_time=0.163699, bi_search=1.26385, bi_subSolve=1.41471, bi_maintain_time=0.316254, admm_maintain=1.38652, area4=1.05529, infea=667.427, d_obj=14514.3, overall time=308.583
i=49, a_nnz=9.44406, ever_a_nnz=11.8638, b_nnz=104.749, uni_search=5.16044, uni_subSolve=1.98569, uni_maintain_time=0.15617, bi_search=1.16707, bi_subSolve=1.3098, bi_maintain_time=0.308887, admm_maintain=1.41518, area4=1.05856, infea=668.454, d_obj=14483.4, overall time=320.101
i=50, a_nnz=9.5077, ever_a_nnz=11.947, b_nnz=106.669, uni_search=3.76588, uni_subSolve=1.35297, uni_maintain_time=0.139877, bi_search=0.676737, bi_subSolve=0.775244, bi_maintain_time=0.221033, admm_maintain=1.01576, area4=1.06326, infea=661.252, d_obj=14404.9, overall time=328.062
i=51, a_nnz=9.57451, ever_a_nnz=12.033, b_nnz=108.706, uni_search=4.95209, uni_subSolve=1.88897, uni_maintain_time=0.15426, bi_search=1.36304, bi_subSolve=1.52289, bi_maintain_time=0.32996, admm_maintain=1.0521, area4=1.06144, infea=663.885, d_obj=14345.7, overall time=339.339
i=52, a_nnz=9.63513, ever_a_nnz=12.1163, b_nnz=110.707, uni_search=3.45318, uni_subSolve=1.14146, uni_maintain_time=0.134045, bi_search=0.802405, bi_subSolve=0.946981, bi_maintain_time=0.249114, admm_maintain=0.913064, area4=1.06259, infea=660.975, d_obj=14278.7, overall time=346.993
i=53, a_nnz=9.69753, ever_a_nnz=12.1982, b_nnz=112.661, uni_search=5.50466, uni_subSolve=1.99212, uni_maintain_time=0.150706, bi_search=1.07068, bi_subSolve=1.22492, bi_maintain_time=0.278361, admm_maintain=0.853608, area4=1.06364, infea=658.523, d_obj=14199.7, overall time=358.083
i=54, a_nnz=9.7569, ever_a_nnz=12.2793, b_nnz=114.659, uni_search=4.73436, uni_subSolve=1.68424, uni_maintain_time=0.142768, bi_search=1.21381, bi_subSolve=1.37936, bi_maintain_time=0.303977, admm_maintain=1.09109, area4=1.06547, infea=662.108, d_obj=14159.4, overall time=368.646
i=55, a_nnz=9.8155, ever_a_nnz=12.3614, b_nnz=116.674, uni_search=4.7058, uni_subSolve=1.46968, uni_maintain_time=0.128587, bi_search=0.960184, bi_subSolve=1.18863, bi_maintain_time=0.28165, admm_maintain=1.17878, area4=1.06873, infea=658.324, d_obj=14127.4, overall time=378.573
i=56, a_nnz=9.87329, ever_a_nnz=12.4389, b_nnz=118.658, uni_search=4.7478, uni_subSolve=1.55597, uni_maintain_time=0.133973, bi_search=0.952223, bi_subSolve=1.14612, bi_maintain_time=0.275848, admm_maintain=1.24028, area4=1.06796, infea=652.256, d_obj=14103.8, overall time=388.639
i=57, a_nnz=9.93473, ever_a_nnz=12.5184, b_nnz=120.656, uni_search=5.00077, uni_subSolve=1.87269, uni_maintain_time=0.144409, bi_search=1.04318, bi_subSolve=1.21519, bi_maintain_time=0.296035, admm_maintain=1.49912, area4=1.07209, infea=651.41, d_obj=14091.2, overall time=399.724
i=58, a_nnz=9.99366, ever_a_nnz=12.596, b_nnz=122.642, uni_search=4.48712, uni_subSolve=1.6462, uni_maintain_time=0.140133, bi_search=1.00509, bi_subSolve=1.14433, bi_maintain_time=0.286053, admm_maintain=1.10958, area4=1.07267, infea=645.724, d_obj=14084.1, overall time=409.556
i=59, a_nnz=10.0514, ever_a_nnz=12.6734, b_nnz=124.642, uni_search=4.18366, uni_subSolve=1.51325, uni_maintain_time=0.136944, bi_search=0.908518, bi_subSolve=1.08097, bi_maintain_time=0.274547, admm_maintain=1.28911, area4=1.07247, infea=646.915, d_obj=14089.1, overall time=418.957
i=60, a_nnz=10.0994, ever_a_nnz=12.7447, b_nnz=126.52, uni_search=4.46537, uni_subSolve=1.44141, uni_maintain_time=0.130366, bi_search=1.03074, bi_subSolve=1.28692, bi_maintain_time=0.298276, admm_maintain=1.29063, area4=1.08342, infea=640.939, d_obj=14040.3, overall time=428.914
i=61, a_nnz=10.1537, ever_a_nnz=12.8183, b_nnz=128.492, uni_search=3.32833, uni_subSolve=1.12114, uni_maintain_time=0.127266, bi_search=0.667301, bi_subSolve=0.796119, bi_maintain_time=0.234067, admm_maintain=1.79842, area4=1.07795, infea=638.158, d_obj=14028.1, overall time=437
