using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=29, a_nnz=7.84281, ever_a_nnz=9.73103, b_nnz=63.5987, uni_search=5.13624, uni_subSolve=1.54016, uni_maintain_time=0.141857, bi_search=0.747076, bi_subSolve=0.84939, bi_maintain_time=0.25072, admm_maintain=0.885533, area4=1.04185, infea=790.451, d_obj=13541, p_obj=485195, heldout Acc=1, overall time=189.705
i=30, a_nnz=7.93425, ever_a_nnz=9.86153, b_nnz=65.683, uni_search=4.62662, uni_subSolve=1.42599, uni_maintain_time=0.154346, bi_search=0.611751, bi_subSolve=0.712721, bi_maintain_time=0.179684, admm_maintain=0.741528, area4=1.03629, infea=777.513, d_obj=13467.8, overall time=198.972
i=31, a_nnz=8.02429, ever_a_nnz=9.98786, b_nnz=67.7406, uni_search=3.73459, uni_subSolve=1.1729, uni_maintain_time=0.119366, bi_search=0.547954, bi_subSolve=0.608513, bi_maintain_time=0.243375, admm_maintain=1.11419, area4=1.04032, infea=772.456, d_obj=13396.2, overall time=207.301
i=32, a_nnz=8.10833, ever_a_nnz=10.1075, b_nnz=69.7591, uni_search=4.22465, uni_subSolve=1.23213, uni_maintain_time=0.134742, bi_search=0.705929, bi_subSolve=0.818117, bi_maintain_time=0.278814, admm_maintain=0.773215, area4=1.04176, infea=759.228, d_obj=13335.2, overall time=216.176
i=33, a_nnz=8.19702, ever_a_nnz=10.2278, b_nnz=71.7999, uni_search=4.97441, uni_subSolve=1.47564, uni_maintain_time=0.134166, bi_search=0.688199, bi_subSolve=1.01452, bi_maintain_time=0.196174, admm_maintain=1.03675, area4=1.04483, infea=749.103, d_obj=13296.2, overall time=226.527
i=34, a_nnz=8.28207, ever_a_nnz=10.343, b_nnz=73.8075, uni_search=6.22676, uni_subSolve=1.97213, uni_maintain_time=0.184825, bi_search=0.809799, bi_subSolve=0.900874, bi_maintain_time=0.236744, admm_maintain=1.43403, area4=1.0406, infea=735.527, d_obj=13278.6, overall time=239.281
i=35, a_nnz=8.36304, ever_a_nnz=10.4544, b_nnz=75.8184, uni_search=5.11876, uni_subSolve=1.72442, uni_maintain_time=0.16336, bi_search=1.01665, bi_subSolve=1.14157, bi_maintain_time=0.287225, admm_maintain=1.11034, area4=1.03945, infea=732.858, d_obj=13279.6, overall time=250.921
i=36, a_nnz=8.44958, ever_a_nnz=10.5677, b_nnz=77.8885, uni_search=5.48235, uni_subSolve=1.67359, uni_maintain_time=0.178117, bi_search=0.829038, bi_subSolve=1.0239, bi_maintain_time=0.262401, admm_maintain=0.939957, area4=1.04156, infea=733.788, d_obj=13343.5, overall time=262.39
i=37, a_nnz=8.53117, ever_a_nnz=10.6755, b_nnz=79.8916, uni_search=4.58211, uni_subSolve=1.3959, uni_maintain_time=0.115888, bi_search=0.66489, bi_subSolve=0.824186, bi_maintain_time=0.223767, admm_maintain=1.07562, area4=1.04185, infea=727.058, d_obj=13410.7, overall time=272.44
i=38, a_nnz=8.61224, ever_a_nnz=10.7801, b_nnz=81.8878, uni_search=5.60054, uni_subSolve=2.01705, uni_maintain_time=0.161024, bi_search=1.04722, bi_subSolve=1.24593, bi_maintain_time=0.275306, admm_maintain=1.32352, area4=1.04195, infea=722.4, d_obj=13524.7, overall time=285.203
