using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=29, a_nnz=6.83686, ever_a_nnz=6.87694, b_nnz=45.7544, uni_search=4.02119, uni_subSolve=0.224325, uni_maintain_time=0.0555571, bi_search=46.3877, bi_subSolve=0.30259, bi_maintain_time=0.140758, admm_maintain=0.105633, area4=-nan, infea=1364.89, d_obj=-14648.9, p_obj=70915.8.........., heldout Acc=0.991504, overall time=1605.54
i=30, a_nnz=6.90674, ever_a_nnz=6.94816, b_nnz=47.3762, uni_search=4.1793, uni_subSolve=0.257319, uni_maintain_time=0.0705103, bi_search=45.3337, bi_subSolve=0.19069, bi_maintain_time=0.0837897, admm_maintain=0.163331, area4=-nan, infea=1324.3, d_obj=-14841.6, overall time=1656.04
i=31, a_nnz=6.976, ever_a_nnz=7.01805, b_nnz=49.0122, uni_search=4.20428, uni_subSolve=0.26175, uni_maintain_time=0.0745559, bi_search=46.7789, bi_subSolve=0.377727, bi_maintain_time=0.172082, admm_maintain=0.217012, area4=-nan, infea=1334.58, d_obj=-14982.5, overall time=1708.44
i=32, a_nnz=7.04296, ever_a_nnz=7.08577, b_nnz=50.6491, uni_search=5.59524, uni_subSolve=0.361504, uni_maintain_time=0.0781693, bi_search=47.0827, bi_subSolve=0.429346, bi_maintain_time=0.197254, admm_maintain=0.29253, area4=-nan, infea=1275.6, d_obj=-15186.8, overall time=1762.86
i=33, a_nnz=7.10794, ever_a_nnz=7.15162, b_nnz=52.2476, uni_search=7.51106, uni_subSolve=0.481436, uni_maintain_time=0.0783559, bi_search=48.0012, bi_subSolve=0.517795, bi_maintain_time=0.258938, admm_maintain=0.274691, area4=-nan, infea=1274.23, d_obj=-15328.5, overall time=1820.37
i=34, a_nnz=7.17058, ever_a_nnz=7.2156, b_nnz=53.8512, uni_search=6.00162, uni_subSolve=0.400937, uni_maintain_time=0.0768256, bi_search=46.3596, bi_subSolve=0.364931, bi_maintain_time=0.169335, admm_maintain=0.160649, area4=-nan, infea=1250.72, d_obj=-15489.9, overall time=1874.13
i=35, a_nnz=7.23278, ever_a_nnz=7.27867, b_nnz=55.4535, uni_search=4.51154, uni_subSolve=0.264563, uni_maintain_time=0.0584739, bi_search=45.9824, bi_subSolve=0.345231, bi_maintain_time=0.16641, admm_maintain=0.211711, area4=-nan, infea=1248.7, d_obj=-15625.1, overall time=1925.95
i=36, a_nnz=7.29225, ever_a_nnz=7.33924, b_nnz=57.0498, uni_search=5.44241, uni_subSolve=0.35862, uni_maintain_time=0.0794102, bi_search=45.8887, bi_subSolve=0.349822, bi_maintain_time=0.163571, admm_maintain=0.183548, area4=-nan, infea=1199.59, d_obj=-15803.4, overall time=1978.65
i=37, a_nnz=7.35196, ever_a_nnz=7.40024, b_nnz=58.7032, uni_search=4.83538, uni_subSolve=0.295312, uni_maintain_time=0.0621033, bi_search=45.9611, bi_subSolve=0.313609, bi_maintain_time=0.140473, admm_maintain=0.148665, area4=-nan, infea=1219.01, d_obj=-15912.5, overall time=2030.91
i=38, a_nnz=7.41003, ever_a_nnz=7.4588, b_nnz=60.3069, uni_search=7.57414, uni_subSolve=0.554389, uni_maintain_time=0.0885428, bi_search=47.2313, bi_subSolve=0.550986, bi_maintain_time=0.265718, admm_maintain=0.338309, area4=-nan, infea=1164.88, d_obj=-16089.1, overall time=2087.95
i=39, a_nnz=7.46585, ever_a_nnz=7.51519, b_nnz=61.9009, uni_search=7.79553, uni_subSolve=0.525061, uni_maintain_time=0.0794849, bi_search=49.8892, bi_subSolve=0.719528, bi_maintain_time=0.354202, admm_maintain=0.261792, area4=-nan, infea=1183.8, d_obj=-16192.6, p_obj=32843.5.........., heldout Acc=0.993009, overall time=2147.94
i=40, a_nnz=7.51951, ever_a_nnz=7.57019, b_nnz=63.4759, uni_search=9.85289, uni_subSolve=4.86199, uni_maintain_time=0.229428, bi_search=45.76, bi_subSolve=0.28567, bi_maintain_time=0.151659, admm_maintain=0.296945, area4=-nan, infea=1147.91, d_obj=-16344.6, overall time=2209.73
i=41, a_nnz=7.57144, ever_a_nnz=7.62347, b_nnz=65.0124, uni_search=8.6794, uni_subSolve=0.634394, uni_maintain_time=0.0889476, bi_search=47.5537, bi_subSolve=0.777711, bi_maintain_time=0.384822, admm_maintain=0.430299, area4=-nan, infea=1119.01, d_obj=-16490.3, overall time=2268.81
i=42, a_nnz=7.62525, ever_a_nnz=7.67761, b_nnz=66.6106, uni_search=9.3203, uni_subSolve=0.705747, uni_maintain_time=0.0909983, bi_search=48.5712, bi_subSolve=0.768466, bi_maintain_time=0.362584, admm_maintain=0.434728, area4=-nan, infea=1145.86, d_obj=-16575, overall time=2329.65
i=43, a_nnz=7.6766, ever_a_nnz=7.72988, b_nnz=68.1805, uni_search=7.32789, uni_subSolve=0.534995, uni_maintain_time=0.0891546, bi_search=47.7668, bi_subSolve=0.640577, bi_maintain_time=0.315462, admm_maintain=0.482533, area4=-nan, infea=1120.27, d_obj=-16709.4, overall time=2387.2
