using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=32, a_nnz=8.15047, ever_a_nnz=10.1528, b_nnz=70.4024, uni_search=3.23319, uni_subSolve=0.893895, uni_maintain_time=0.102374, bi_search=0.438087, bi_subSolve=0.53221, bi_maintain_time=0.159665, admm_maintain=0.546926, area4=1.03801, infea=767.317, d_obj=13424.1, overall time=165.59
i=33, a_nnz=8.23432, ever_a_nnz=10.2736, b_nnz=72.4861, uni_search=3.28107, uni_subSolve=0.901464, uni_maintain_time=0.102306, bi_search=0.445913, bi_subSolve=0.548138, bi_maintain_time=0.165413, admm_maintain=0.564163, area4=1.0407, infea=760.24, d_obj=13439.7, overall time=172.171
i=34, a_nnz=8.31826, ever_a_nnz=10.3906, b_nnz=74.5721, uni_search=3.19236, uni_subSolve=0.878703, uni_maintain_time=0.0985968, bi_search=0.429815, bi_subSolve=0.53022, bi_maintain_time=0.155446, admm_maintain=0.543981, area4=1.03878, infea=751.043, d_obj=13471.5, overall time=178.552
i=35, a_nnz=8.39995, ever_a_nnz=10.5023, b_nnz=76.6086, uni_search=3.10675, uni_subSolve=0.887209, uni_maintain_time=0.0972773, bi_search=0.434235, bi_subSolve=0.528749, bi_maintain_time=0.149109, admm_maintain=0.538251, area4=1.04425, infea=744.594, d_obj=13519.3, overall time=184.844
i=36, a_nnz=8.48371, ever_a_nnz=10.6129, b_nnz=78.6203, uni_search=3.23899, uni_subSolve=0.877567, uni_maintain_time=0.0990143, bi_search=0.447673, bi_subSolve=0.557269, bi_maintain_time=0.161957, admm_maintain=0.572201, area4=1.04521, infea=736.362, d_obj=13606.1, overall time=191.371
i=37, a_nnz=8.56717, ever_a_nnz=10.7212, b_nnz=80.6536, uni_search=3.35704, uni_subSolve=0.925985, uni_maintain_time=0.101086, bi_search=0.474783, bi_subSolve=0.571938, bi_maintain_time=0.156134, admm_maintain=0.568475, area4=1.04358, infea=733.608, d_obj=13711.7, overall time=198.106
i=38, a_nnz=8.64468, ever_a_nnz=10.8281, b_nnz=82.7039, uni_search=3.08531, uni_subSolve=0.906474, uni_maintain_time=0.0992827, bi_search=0.475249, bi_subSolve=0.575705, bi_maintain_time=0.157931, admm_maintain=0.577896, area4=1.04848, infea=729.32, d_obj=13833.2, overall time=204.568
i=39, a_nnz=8.72546, ever_a_nnz=10.9324, b_nnz=84.7497, uni_search=3.10343, uni_subSolve=0.908547, uni_maintain_time=0.0985653, bi_search=0.481976, bi_subSolve=0.58303, bi_maintain_time=0.158796, admm_maintain=0.587872, area4=1.04771, infea=723.787, d_obj=13948.3, overall time=211.095
i=40, a_nnz=8.80187, ever_a_nnz=11.0336, b_nnz=86.8018, uni_search=3.12652, uni_subSolve=0.914772, uni_maintain_time=0.0981908, bi_search=0.496467, bi_subSolve=0.600345, bi_maintain_time=0.162383, admm_maintain=0.617788, area4=1.04876, infea=713.292, d_obj=14083, overall time=217.723
i=41, a_nnz=8.87823, ever_a_nnz=11.1336, b_nnz=88.8387, uni_search=3.19379, uni_subSolve=0.942974, uni_maintain_time=0.0997207, bi_search=0.506548, bi_subSolve=0.615355, bi_maintain_time=0.166625, admm_maintain=0.62038, area4=1.04732, infea=705.903, d_obj=14222.5, overall time=224.484
i=42, a_nnz=8.95498, ever_a_nnz=11.2315, b_nnz=90.8765, uni_search=3.19073, uni_subSolve=0.934178, uni_maintain_time=0.0995282, bi_search=0.506071, bi_subSolve=0.616934, bi_maintain_time=0.167116, admm_maintain=0.633491, area4=1.04924, infea=704.092, d_obj=14359.4, overall time=231.261
i=43, a_nnz=9.02832, ever_a_nnz=11.3254, b_nnz=92.8386, uni_search=3.27837, uni_subSolve=0.974771, uni_maintain_time=0.101495, bi_search=0.603872, bi_subSolve=0.71319, bi_maintain_time=0.188789, admm_maintain=0.742458, area4=1.05174, infea=695.039, d_obj=14455.9, overall time=238.498
i=44, a_nnz=9.10506, ever_a_nnz=11.4214, b_nnz=94.8958, uni_search=3.28406, uni_subSolve=0.972394, uni_maintain_time=0.101762, bi_search=0.538582, bi_subSolve=0.652544, bi_maintain_time=0.173241, admm_maintain=0.665849, area4=1.05443, infea=687.803, d_obj=14562.6, overall time=245.532
i=45, a_nnz=9.17624, ever_a_nnz=11.5132, b_nnz=96.888, uni_search=3.29436, uni_subSolve=0.971572, uni_maintain_time=0.100556, bi_search=0.553665, bi_subSolve=0.66932, bi_maintain_time=0.177481, admm_maintain=0.658908, area4=1.04944, infea=684.771, d_obj=14625.7, overall time=252.61
