using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=26, infea=0.112077, nnz_a=4.43771, nnz_b=5.96712, uni_search=0.331053, uni_subSolve=0.0790904, uni_maintain=0.0493224, bi_search=1.10302, bi_subSolve=0.108208, bi_maintain=0.104188, admm_maintain=0.163276, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25633.9, p_obj=24016.3, heldout Acc=0.926672, overall time=76.0323
i=27, infea=0.10832, nnz_a=4.46529, nnz_b=5.95097, uni_search=0.244348, uni_subSolve=0.0678272, uni_maintain=0.0459265, bi_search=1.02268, bi_subSolve=0.0896865, bi_maintain=0.0844416, admm_maintain=0.126657, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25478.2, p_obj=25119.9, heldout Acc=0.925472 (1/100), overall time=78.5124
i=28, infea=0.104732, nnz_a=4.48806, nnz_b=5.93266, uni_search=0.244236, uni_subSolve=0.0680678, uni_maintain=0.0464548, bi_search=1.02181, bi_subSolve=0.0897204, bi_maintain=0.0834906, admm_maintain=0.126209, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25323.7, p_obj=23066.3, heldout Acc=0.927276, overall time=80.989
i=29, infea=0.101295, nnz_a=4.51029, nnz_b=5.9131, uni_search=0.244279, uni_subSolve=0.0685064, uni_maintain=0.0466772, bi_search=1.02212, bi_subSolve=0.0893979, bi_maintain=0.082847, admm_maintain=0.127483, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25183.8, p_obj=22692.4, heldout Acc=0.924949 (1/100), overall time=83.4666
i=30, infea=0.0979843, nnz_a=4.53014, nnz_b=5.89368, uni_search=0.244629, uni_subSolve=0.0685341, uni_maintain=0.0470557, bi_search=1.02165, bi_subSolve=0.0890343, bi_maintain=0.0822202, admm_maintain=0.127362, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25049.6, p_obj=23384.9, heldout Acc=0.92678 (2/100), overall time=85.9927
i=31, infea=0.0947662, nnz_a=4.54606, nnz_b=5.87855, uni_search=0.307473, uni_subSolve=0.0745383, uni_maintain=0.0516084, bi_search=1.05894, bi_subSolve=0.0965735, bi_maintain=0.109304, admm_maintain=0.156133, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24924, p_obj=23200.2, heldout Acc=0.92779, overall time=88.7454
i=32, infea=0.0916538, nnz_a=4.5613, nnz_b=5.86289, uni_search=0.306803, uni_subSolve=0.0746215, uni_maintain=0.0517423, bi_search=1.0578, bi_subSolve=0.0966317, bi_maintain=0.107821, admm_maintain=0.154529, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24803.5, p_obj=21668.3, heldout Acc=0.928341, overall time=91.4789
i=33, infea=0.0886782, nnz_a=4.57204, nnz_b=5.8452, uni_search=0.306694, uni_subSolve=0.0747064, uni_maintain=0.0522807, bi_search=1.05792, bi_subSolve=0.0965325, bi_maintain=0.107273, admm_maintain=0.153131, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24686.4, p_obj=22095.3, heldout Acc=0.928223 (1/100), overall time=94.2107
i=34, infea=0.0858009, nnz_a=4.57892, nnz_b=5.82935, uni_search=0.306689, uni_subSolve=0.0747347, uni_maintain=0.0526114, bi_search=1.05793, bi_subSolve=0.0962422, bi_maintain=0.106368, admm_maintain=0.154955, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24567, p_obj=21531.6, heldout Acc=0.92761 (2/100), overall time=96.945
i=35, infea=0.0830617, nnz_a=4.58362, nnz_b=5.81704, uni_search=0.306284, uni_subSolve=0.0749372, uni_maintain=0.0530754, bi_search=1.05592, bi_subSolve=0.0947873, bi_maintain=0.0977572, admm_maintain=0.153267, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24450, p_obj=21742.6, heldout Acc=0.926663 (3/100), overall time=99.652
i=36, infea=0.0804483, nnz_a=4.58457, nnz_b=5.80405, uni_search=0.304399, uni_subSolve=0.073913, uni_maintain=0.0514696, bi_search=1.0545, bi_subSolve=0.0923026, bi_maintain=0.0898986, admm_maintain=0.155687, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24331.5, p_obj=21299.3, heldout Acc=0.928097 (4/100), overall time=102.331
i=37, infea=0.0779434, nnz_a=4.58556, nnz_b=5.79399, uni_search=0.304611, uni_subSolve=0.0738758, uni_maintain=0.0518884, bi_search=1.05354, bi_subSolve=0.091889, bi_maintain=0.0894532, admm_maintain=0.153218, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24216.2, p_obj=20965.5, heldout Acc=0.927935 (5/100), overall time=105.005
i=38, infea=0.0755283, nnz_a=4.58446, nnz_b=5.78499, uni_search=0.304525, uni_subSolve=0.0739469, uni_maintain=0.0520174, bi_search=1.05366, bi_subSolve=0.0917878, bi_maintain=0.0890803, admm_maintain=0.15681, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24100.4, p_obj=21474.2, heldout Acc=0.928404, overall time=107.691
i=39, infea=0.0731675, nnz_a=4.58251, nnz_b=5.7737, uni_search=0.304482, uni_subSolve=0.0739209, uni_maintain=0.0521202, bi_search=1.05323, bi_subSolve=0.0917304, bi_maintain=0.0888941, admm_maintain=0.156146, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23982.7, p_obj=22339.9, heldout Acc=0.92807 (1/100), overall time=110.365
i=40, infea=0.0709108, nnz_a=4.58041, nnz_b=5.76417, uni_search=0.303897, uni_subSolve=0.0738646, uni_maintain=0.0531963, bi_search=1.05344, bi_subSolve=0.0915686, bi_maintain=0.0884856, admm_maintain=0.155848, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23867, p_obj=21222.9, heldout Acc=0.928377 (2/100), overall time=113.045
i=41, infea=0.0687067, nnz_a=4.58025, nnz_b=5.75431, uni_search=0.303523, uni_subSolve=0.0739614, uni_maintain=0.0527398, bi_search=1.05322, bi_subSolve=0.0914332, bi_maintain=0.0887371, admm_maintain=0.156018, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23755.3, p_obj=21204.9, heldout Acc=0.928458, overall time=115.773
i=42, infea=0.066573, nnz_a=4.58145, nnz_b=5.74381, uni_search=0.304279, uni_subSolve=0.0741225, uni_maintain=0.0530663, bi_search=1.05292, bi_subSolve=0.0912476, bi_maintain=0.0879394, admm_maintain=0.155312, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23645.4, p_obj=20489.2, heldout Acc=0.928187 (1/100), overall time=118.446
i=43, infea=0.0645096, nnz_a=4.58628, nnz_b=5.73089, uni_search=0.304099, uni_subSolve=0.0743755, uni_maintain=0.0529924, bi_search=1.05304, bi_subSolve=0.0911393, bi_maintain=0.0877238, admm_maintain=0.155226, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23540.3, p_obj=19897.7, heldout Acc=0.928575, overall time=121.119
i=44, infea=0.0622434, nnz_a=4.61236, nnz_b=5.71976, uni_search=0.303875, uni_subSolve=0.0756969, uni_maintain=0.0522316, bi_search=1.05276, bi_subSolve=0.0910078, bi_maintain=0.0874082, admm_maintain=0.155903, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23439.4, p_obj=21417.9, heldout Acc=0.928341 (1/100), overall time=123.797
i=45, infea=0.0600275, nnz_a=4.64549, nnz_b=5.70795, uni_search=0.302373, uni_subSolve=0.0764253, uni_maintain=0.0505023, bi_search=1.05215, bi_subSolve=0.0907693, bi_maintain=0.0863622, admm_maintain=0.155488, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23340.3, p_obj=21928.7, heldout Acc=0.928269 (2/100), overall time=126.465
i=46, infea=0.0579245, nnz_a=4.68285, nnz_b=5.69642, uni_search=0.303614, uni_subSolve=0.0773411, uni_maintain=0.0522107, bi_search=1.05256, bi_subSolve=0.0906341, bi_maintain=0.0863613, admm_maintain=0.155278, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23245.6, p_obj=21682.3, heldout Acc=0.928512 (3/100), overall time=129.169
i=47, infea=0.055936, nnz_a=4.71912, nnz_b=5.683, uni_search=0.324769, uni_subSolve=0.0800463, uni_maintain=0.0526514, bi_search=1.06359, bi_subSolve=0.0921804, bi_maintain=0.0909211, admm_maintain=0.190089, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23157.6, p_obj=19989.4, heldout Acc=0.928395 (4/100), overall time=131.945
i=48, infea=0.0540939, nnz_a=4.75623, nnz_b=5.67026, uni_search=0.324832, uni_subSolve=0.0806539, uni_maintain=0.0530055, bi_search=1.06442, bi_subSolve=0.0920634, bi_maintain=0.0904463, admm_maintain=0.169849, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23072.5, p_obj=21535.9, heldout Acc=0.928485 (5/100), overall time=134.691
i=49, infea=0.0523612, nnz_a=4.79231, nnz_b=5.65795, uni_search=0.323759, uni_subSolve=0.0811845, uni_maintain=0.053153, bi_search=1.06356, bi_subSolve=0.0918998, bi_maintain=0.0901197, admm_maintain=0.165935, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22993.1, p_obj=22265.5, heldout Acc=0.928657, overall time=137.432
i=50, infea=0.0507488, nnz_a=4.82665, nnz_b=5.64375, uni_search=0.324888, uni_subSolve=0.0817403, uni_maintain=0.0533617, bi_search=1.06359, bi_subSolve=0.0917304, bi_maintain=0.0898249, admm_maintain=0.164024, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22918.1, p_obj=21855.2, heldout Acc=0.928503 (1/100), overall time=140.176
i=51, infea=0.0492484, nnz_a=4.85895, nnz_b=5.63332, uni_search=0.324808, uni_subSolve=0.0823506, uni_maintain=0.0535853, bi_search=1.06997, bi_subSolve=0.0938046, bi_maintain=0.0898419, admm_maintain=0.170132, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22846, p_obj=21951.7, heldout Acc=0.928675, overall time=142.937
i=52, infea=0.0478214, nnz_a=4.88933, nnz_b=5.6197, uni_search=0.324782, uni_subSolve=0.0827478, uni_maintain=0.0539942, bi_search=1.06325, bi_subSolve=0.0913504, bi_maintain=0.0891171, admm_maintain=0.163664, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22776.9, p_obj=21013.9, heldout Acc=0.928702, overall time=145.678
i=53, infea=0.0464859, nnz_a=4.91665, nnz_b=5.60703, uni_search=0.324755, uni_subSolve=0.0832535, uni_maintain=0.0540918, bi_search=1.06299, bi_subSolve=0.09125, bi_maintain=0.0885034, admm_maintain=0.166209, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22712.5, p_obj=19708.1, heldout Acc=0.928675 (1/100), overall time=148.424
i=54, infea=0.0452315, nnz_a=4.94292, nnz_b=5.59268, uni_search=0.324953, uni_subSolve=0.0837064, uni_maintain=0.0544395, bi_search=1.06269, bi_subSolve=0.0911399, bi_maintain=0.0883438, admm_maintain=0.165802, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22652.8, p_obj=20903.2, heldout Acc=0.928557 (2/100), overall time=151.168
