using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=41, infea=0.0383411, nnz_a=8.22714, nnz_b=12.8653, uni_search=0.212951, uni_subSolve=0.0569102, uni_maintain=0.0645898, bi_search=1.03071, bi_subSolve=0.185602, bi_maintain=0.115985, admm_maintain=0.130935, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13562.6, p_obj=32688.8, heldout Acc=0.927926 (2/100), overall time=104.047
i=42, infea=0.0385949, nnz_a=8.28926, nnz_b=12.9333, uni_search=0.212541, uni_subSolve=0.0569723, uni_maintain=0.0651414, bi_search=1.03067, bi_subSolve=0.187151, bi_maintain=0.116368, admm_maintain=0.130734, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13752.1, p_obj=33675.4, heldout Acc=0.92973 (3/100), overall time=106.643
i=43, infea=0.0388562, nnz_a=8.3493, nnz_b=12.9984, uni_search=0.212613, uni_subSolve=0.0571572, uni_maintain=0.0657628, bi_search=1.03095, bi_subSolve=0.188963, bi_maintain=0.116819, admm_maintain=0.132827, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13937.9, p_obj=31811.9, heldout Acc=0.930226, overall time=109.25
i=44, infea=0.0391023, nnz_a=8.40878, nnz_b=13.0632, uni_search=0.212732, uni_subSolve=0.0572571, uni_maintain=0.0661941, bi_search=1.03037, bi_subSolve=0.189748, bi_maintain=0.117179, admm_maintain=0.132307, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14120.5, p_obj=33627.9, heldout Acc=0.929992 (1/100), overall time=111.852
i=45, infea=0.0393442, nnz_a=8.46518, nnz_b=13.1264, uni_search=0.212942, uni_subSolve=0.0574002, uni_maintain=0.0668652, bi_search=1.03122, bi_subSolve=0.190593, bi_maintain=0.117613, admm_maintain=0.132205, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14300.6, p_obj=33446.9, heldout Acc=0.930271, overall time=114.461
i=46, infea=0.0395735, nnz_a=8.51961, nnz_b=13.187, uni_search=0.212809, uni_subSolve=0.0574559, uni_maintain=0.0673093, bi_search=1.03169, bi_subSolve=0.191582, bi_maintain=0.118386, admm_maintain=0.133799, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14476.7, p_obj=34478.2, heldout Acc=0.930226 (1/100), overall time=117.072
i=47, infea=0.0398027, nnz_a=8.57205, nnz_b=13.2454, uni_search=0.212808, uni_subSolve=0.0574873, uni_maintain=0.0677119, bi_search=1.03106, bi_subSolve=0.192391, bi_maintain=0.118507, admm_maintain=0.133116, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14650.7, p_obj=33212.3, heldout Acc=0.929532 (2/100), overall time=119.682
i=48, infea=0.0400273, nnz_a=8.62397, nnz_b=13.3021, uni_search=0.214567, uni_subSolve=0.0577795, uni_maintain=0.0683932, bi_search=1.03093, bi_subSolve=0.193481, bi_maintain=0.118389, admm_maintain=0.132643, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14821.1, p_obj=31548.5, heldout Acc=0.929459 (3/100), overall time=122.296
i=49, infea=0.0402429, nnz_a=8.67308, nnz_b=13.3573, uni_search=0.212669, uni_subSolve=0.0576649, uni_maintain=0.0685393, bi_search=1.03106, bi_subSolve=0.19461, bi_maintain=0.119097, admm_maintain=0.138869, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14988.4, p_obj=31622.4, heldout Acc=0.929604 (4/100), overall time=124.922
i=50, infea=0.040449, nnz_a=8.72066, nnz_b=13.4114, uni_search=0.212651, uni_subSolve=0.0577763, uni_maintain=0.0689014, bi_search=1.03112, bi_subSolve=0.195921, bi_maintain=0.119479, admm_maintain=0.133553, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15152.2, p_obj=31797.8, heldout Acc=0.93001 (5/100), overall time=127.538
i=51, infea=0.0406511, nnz_a=8.7682, nnz_b=13.4628, uni_search=0.212824, uni_subSolve=0.0578418, uni_maintain=0.0690802, bi_search=1.03137, bi_subSolve=0.195975, bi_maintain=0.120128, admm_maintain=0.134931, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15312.6, p_obj=31571.9, heldout Acc=0.930326, overall time=130.162
i=52, infea=0.0408434, nnz_a=8.81127, nnz_b=13.5126, uni_search=0.213005, uni_subSolve=0.0579077, uni_maintain=0.0696589, bi_search=1.03148, bi_subSolve=0.19697, bi_maintain=0.120871, admm_maintain=0.134684, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15469, p_obj=31084.5, heldout Acc=0.930028 (1/100), overall time=132.784
i=53, infea=0.0410254, nnz_a=8.85458, nnz_b=13.5614, uni_search=0.213007, uni_subSolve=0.0579758, uni_maintain=0.0701084, bi_search=1.03182, bi_subSolve=0.198148, bi_maintain=0.120618, admm_maintain=0.134343, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15622.8, p_obj=32024.4, heldout Acc=0.929901 (2/100), overall time=135.435
i=54, infea=0.0412094, nnz_a=8.89608, nnz_b=13.6093, uni_search=0.21303, uni_subSolve=0.0580232, uni_maintain=0.0699386, bi_search=1.03198, bi_subSolve=0.198503, bi_maintain=0.121253, admm_maintain=0.134383, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15773.3, p_obj=30989, heldout Acc=0.928864 (3/100), overall time=138.062
i=55, infea=0.0413895, nnz_a=8.93667, nnz_b=13.6554, uni_search=0.213035, uni_subSolve=0.0580427, uni_maintain=0.0703667, bi_search=1.03247, bi_subSolve=0.198737, bi_maintain=0.121581, admm_maintain=0.135928, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15920.3, p_obj=31725.7, heldout Acc=0.929965 (4/100), overall time=140.696
