using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=29, infea=0.10462, nnz_a=4.25128, nnz_b=5.92392, uni_search=0.218896, uni_subSolve=0.0750871, uni_maintain=0.0458067, bi_search=0.669909, bi_subSolve=0.0917337, bi_maintain=0.0892908, admm_maintain=0.161151, area1=55.2022, area23=1.84865, area4=7.65562, dual_obj=-25381.4, p_obj=23951.4, heldout Acc=0.926383 (1/100), overall time=59.2856
i=30, infea=0.101017, nnz_a=4.27406, nnz_b=5.90474, uni_search=0.212386, uni_subSolve=0.0744651, uni_maintain=0.0457873, bi_search=0.678818, bi_subSolve=0.0916903, bi_maintain=0.0884084, admm_maintain=0.137846, area1=57.8821, area23=1.83945, area4=7.84982, dual_obj=-25234.5, p_obj=24373, heldout Acc=0.927339, overall time=61.4306
i=31, infea=0.0975071, nnz_a=4.29647, nnz_b=5.88231, uni_search=0.216187, uni_subSolve=0.0754028, uni_maintain=0.0457633, bi_search=0.683945, bi_subSolve=0.0911573, bi_maintain=0.0869741, admm_maintain=0.134146, area1=60.569, area23=1.82889, area4=7.98746, dual_obj=-25093, p_obj=23293.2, heldout Acc=0.925201 (1/100), overall time=63.5747
i=32, infea=0.0941738, nnz_a=4.31556, nnz_b=5.86336, uni_search=0.221453, uni_subSolve=0.076381, uni_maintain=0.0463643, bi_search=0.692801, bi_subSolve=0.0905354, bi_maintain=0.0862129, admm_maintain=0.166527, area1=63.2438, area23=1.81819, area4=8.13639, dual_obj=-24958.1, p_obj=23416.2, heldout Acc=0.925688 (2/100), overall time=65.7732
i=33, infea=0.0909207, nnz_a=4.33419, nnz_b=5.84198, uni_search=0.221658, uni_subSolve=0.0766267, uni_maintain=0.0463966, bi_search=0.701268, bi_subSolve=0.0907414, bi_maintain=0.085924, admm_maintain=0.132391, area1=65.9336, area23=1.80947, area4=8.26907, dual_obj=-24828.2, p_obj=21559.4, heldout Acc=0.927285 (3/100), overall time=67.9422
i=34, infea=0.0878077, nnz_a=4.3484, nnz_b=5.82331, uni_search=0.228751, uni_subSolve=0.0780489, uni_maintain=0.0472223, bi_search=0.706787, bi_subSolve=0.0902768, bi_maintain=0.0850273, admm_maintain=0.138872, area1=68.6181, area23=1.79937, area4=8.37923, dual_obj=-24699.7, p_obj=23278.1, heldout Acc=0.927628, overall time=70.1379
i=35, infea=0.084798, nnz_a=4.35983, nnz_b=5.80753, uni_search=0.222252, uni_subSolve=0.0772278, uni_maintain=0.0475125, bi_search=0.720182, bi_subSolve=0.0902145, bi_maintain=0.0846762, admm_maintain=0.134457, area1=71.2936, area23=1.79012, area4=8.26583, dual_obj=-24572.4, p_obj=22026.2, heldout Acc=0.927908, overall time=72.3291
i=36, infea=0.0819258, nnz_a=4.36801, nnz_b=5.79506, uni_search=0.225992, uni_subSolve=0.0779084, uni_maintain=0.0485316, bi_search=0.729427, bi_subSolve=0.0902816, bi_maintain=0.0843015, admm_maintain=0.133366, area1=73.9152, area23=1.78169, area4=8.31028, dual_obj=-24450.1, p_obj=21926.9, heldout Acc=0.928007, overall time=74.5351
i=37, infea=0.0791873, nnz_a=4.37608, nnz_b=5.7822, uni_search=0.226251, uni_subSolve=0.0781854, uni_maintain=0.048237, bi_search=0.742402, bi_subSolve=0.0908358, bi_maintain=0.0842954, admm_maintain=0.142553, area1=76.5003, area23=1.77563, area4=8.42195, dual_obj=-24332.3, p_obj=21072, heldout Acc=0.928043, overall time=76.7717
i=38, infea=0.0765979, nnz_a=4.37919, nnz_b=5.77342, uni_search=0.217438, uni_subSolve=0.077093, uni_maintain=0.0488912, bi_search=0.732708, bi_subSolve=0.0887909, bi_maintain=0.0821514, admm_maintain=0.137003, area1=79.0136, area23=1.76776, area4=8.51631, dual_obj=-24214.6, p_obj=22802, heldout Acc=0.928404, overall time=78.9694
i=39, infea=0.0740823, nnz_a=4.37915, nnz_b=5.76396, uni_search=0.216659, uni_subSolve=0.0771143, uni_maintain=0.0484688, bi_search=0.740552, bi_subSolve=0.0888734, bi_maintain=0.0818558, admm_maintain=0.134184, area1=81.4995, area23=1.76091, area4=8.60038, dual_obj=-24095.7, p_obj=21267.6, heldout Acc=0.928332 (1/100), overall time=81.1689
