using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=37, a_nnz=8.55512, ever_a_nnz=10.7062, b_nnz=80.3789, uni_search=2.0521, uni_subSolve=0.532099, uni_maintain_time=0.0821378, bi_search=0.293576, bi_subSolve=0.360612, bi_maintain_time=0.112362, admm_maintain=0.376806, area4=1.04492, infea=728.537, d_obj=13523.4, overall time=143.252
i=38, a_nnz=8.63787, ever_a_nnz=10.8114, b_nnz=82.3965, uni_search=2.06958, uni_subSolve=0.538676, uni_maintain_time=0.0824125, bi_search=0.299194, bi_subSolve=0.367257, bi_maintain_time=0.113934, admm_maintain=0.383864, area4=1.04531, infea=722.726, d_obj=13626, overall time=147.522
i=39, a_nnz=8.71826, ever_a_nnz=10.9164, b_nnz=84.4659, uni_search=2.08907, uni_subSolve=0.544528, uni_maintain_time=0.0828524, bi_search=0.305784, bi_subSolve=0.377023, bi_maintain_time=0.116956, admm_maintain=0.393437, area4=1.04579, infea=715.632, d_obj=13738.8, p_obj=486107., heldout Acc=0.994667 (2/100), overall time=151.817
i=40, a_nnz=8.79582, ever_a_nnz=11.0177, b_nnz=86.4676, uni_search=3.98678, uni_subSolve=1.03219, uni_maintain_time=0.118468, bi_search=0.400998, bi_subSolve=0.584933, bi_maintain_time=0.16887, admm_maintain=0.570975, area4=1.04684, infea=709.509, d_obj=13862.6, overall time=159.21
i=41, a_nnz=8.87027, ever_a_nnz=11.1148, b_nnz=88.4674, uni_search=2.96569, uni_subSolve=0.891804, uni_maintain_time=0.102707, bi_search=0.334366, bi_subSolve=0.420752, bi_maintain_time=0.135796, admm_maintain=0.437572, area4=1.0432, infea=699.26, d_obj=13994.1, overall time=164.937
i=42, a_nnz=8.94159, ever_a_nnz=11.2103, b_nnz=90.4213, uni_search=2.21307, uni_subSolve=0.622121, uni_maintain_time=0.0975404, bi_search=0.330681, bi_subSolve=0.42184, bi_maintain_time=0.135021, admm_maintain=0.450061, area4=1.04425, infea=689.901, d_obj=14120.6, overall time=169.653
i=43, a_nnz=9.02232, ever_a_nnz=11.3076, b_nnz=92.4616, uni_search=2.23018, uni_subSolve=0.627848, uni_maintain_time=0.0981826, bi_search=0.33817, bi_subSolve=0.431153, bi_maintain_time=0.138468, admm_maintain=0.458735, area4=1.05164, infea=692.018, d_obj=14264.6, overall time=174.432
i=44, a_nnz=9.09494, ever_a_nnz=11.4039, b_nnz=94.4977, uni_search=2.25051, uni_subSolve=0.636822, uni_maintain_time=0.0977784, bi_search=0.344478, bi_subSolve=0.438724, bi_maintain_time=0.140146, admm_maintain=0.468662, area4=1.05356, infea=688.604, d_obj=14364.9, overall time=179.27
i=45, a_nnz=9.1664, ever_a_nnz=11.4929, b_nnz=96.4369, uni_search=2.27172, uni_subSolve=0.644539, uni_maintain_time=0.0989326, bi_search=0.350543, bi_subSolve=0.446711, bi_maintain_time=0.142551, admm_maintain=0.471327, area4=1.0526, infea=679.016, d_obj=14433.5, overall time=184.104
i=46, a_nnz=9.23561, ever_a_nnz=11.5832, b_nnz=98.4026, uni_search=2.24978, uni_subSolve=0.628872, uni_maintain_time=0.0950356, bi_search=0.345898, bi_subSolve=0.445959, bi_maintain_time=0.14093, admm_maintain=0.411527, area4=1.05164, infea=674.78, d_obj=14477.3, overall time=189.161
i=47, a_nnz=9.30545, ever_a_nnz=11.6728, b_nnz=100.408, uni_search=3.71855, uni_subSolve=1.09365, uni_maintain_time=0.122275, bi_search=0.559379, bi_subSolve=0.751746, bi_maintain_time=0.214997, admm_maintain=0.77615, area4=1.05568, infea=667.373, d_obj=14498.1, overall time=197.133
i=48, a_nnz=9.3748, ever_a_nnz=11.7622, b_nnz=102.431, uni_search=3.74144, uni_subSolve=1.09726, uni_maintain_time=0.123365, bi_search=0.566959, bi_subSolve=0.7596, bi_maintain_time=0.210558, admm_maintain=0.78995, area4=1.05548, infea=666.637, d_obj=14508.1, overall time=205.181
i=49, a_nnz=9.43768, ever_a_nnz=11.8477, b_nnz=104.402, uni_search=3.77061, uni_subSolve=1.11132, uni_maintain_time=0.122785, bi_search=0.56992, bi_subSolve=0.766402, bi_maintain_time=0.214906, admm_maintain=0.814521, area4=1.06057, infea=664.7, d_obj=14470, p_obj=357981., heldout Acc=0.995556, overall time=213.305
i=50, a_nnz=9.50074, ever_a_nnz=11.93, b_nnz=106.335, uni_search=1.96965, uni_subSolve=0.45438, uni_maintain_time=0.0596154, bi_search=0.231889, bi_subSolve=0.374372, bi_maintain_time=0.112796, admm_maintain=0.363527, area4=1.05692, infea=659.181, d_obj=14408.7, overall time=217.216
i=51, a_nnz=9.56347, ever_a_nnz=12.0153, b_nnz=108.326, uni_search=2.28037, uni_subSolve=0.646733, uni_maintain_time=0.0814572, bi_search=0.362809, bi_subSolve=0.479867, bi_maintain_time=0.151102, admm_maintain=0.513078, area4=1.05721, infea=660.56, d_obj=14355.5, overall time=222.251
i=52, a_nnz=9.62414, ever_a_nnz=12.0987, b_nnz=110.328, uni_search=2.29464, uni_subSolve=0.653159, uni_maintain_time=0.0816583, bi_search=0.369857, bi_subSolve=0.488163, bi_maintain_time=0.152279, admm_maintain=0.527278, area4=1.0622, infea=659.135, d_obj=14288.3, overall time=227.342
i=53, a_nnz=9.68087, ever_a_nnz=12.1766, b_nnz=112.2, uni_search=2.31336, uni_subSolve=0.662183, uni_maintain_time=0.0816912, bi_search=0.378073, bi_subSolve=0.497631, bi_maintain_time=0.156135, admm_maintain=0.542668, area4=1.06316, infea=652.202, d_obj=14211.2, overall time=232.491
i=54, a_nnz=9.74183, ever_a_nnz=12.2588, b_nnz=114.198, uni_search=2.33203, uni_subSolve=0.669278, uni_maintain_time=0.0830229, bi_search=0.383325, bi_subSolve=0.505429, bi_maintain_time=0.158314, admm_maintain=0.554099, area4=1.06393, infea=652.025, d_obj=14143.9, overall time=237.699
i=55, a_nnz=9.80485, ever_a_nnz=12.3392, b_nnz=116.206, uni_search=2.3523, uni_subSolve=0.679275, uni_maintain_time=0.0835931, bi_search=0.393034, bi_subSolve=0.516627, bi_maintain_time=0.161556, admm_maintain=0.559431, area4=1.0695, infea=652.822, d_obj=14093.9, overall time=242.986
i=56, a_nnz=9.86182, ever_a_nnz=12.4159, b_nnz=118.15, uni_search=2.36644, uni_subSolve=0.685496, uni_maintain_time=0.083661, bi_search=0.396953, bi_subSolve=0.522573, bi_maintain_time=0.163549, admm_maintain=0.557781, area4=1.07046, infea=647.533, d_obj=14042.2, overall time=248.323
i=57, a_nnz=9.92301, ever_a_nnz=12.4943, b_nnz=120.151, uni_search=2.38792, uni_subSolve=0.694506, uni_maintain_time=0.0842865, bi_search=0.405463, bi_subSolve=0.532537, bi_maintain_time=0.166539, admm_maintain=0.573622, area4=1.07478, infea=647.689, d_obj=14024, overall time=253.924
i=58, a_nnz=9.98181, ever_a_nnz=12.5709, b_nnz=122.158, uni_search=3.78848, uni_subSolve=1.06507, uni_maintain_time=0.0951795, bi_search=0.490637, bi_subSolve=0.754227, bi_maintain_time=0.200453, admm_maintain=0.661545, area4=1.07372, infea=646.346, d_obj=14002.5, overall time=261.763
i=59, a_nnz=10.0378, ever_a_nnz=12.647, b_nnz=124.151, uni_search=3.73766, uni_subSolve=1.04046, uni_maintain_time=0.100098, bi_search=0.494192, bi_subSolve=0.69873, bi_maintain_time=0.200221, admm_maintain=0.609054, area4=1.07276, infea=643.384, d_obj=13989.6, p_obj=365526., heldout Acc=0.995556 (1/100), overall time=269.203
i=60, a_nnz=10.0895, ever_a_nnz=12.7181, b_nnz=126.047, uni_search=3.68545, uni_subSolve=0.963053, uni_maintain_time=0.0868131, bi_search=0.488567, bi_subSolve=0.787004, bi_maintain_time=0.211402, admm_maintain=0.776808, area4=1.08092, infea=636.101, d_obj=13980.9, overall time=276.922
i=61, a_nnz=10.1468, ever_a_nnz=12.7923, b_nnz=128.005, uni_search=3.61053, uni_subSolve=0.945552, uni_maintain_time=0.0864026, bi_search=0.485635, bi_subSolve=0.778718, bi_maintain_time=0.206365, admm_maintain=0.699167, area4=1.08073, infea=635.53, d_obj=13958, overall time=284.45
i=62, a_nnz=10.2025, ever_a_nnz=12.8673, b_nnz=129.996, uni_search=3.51395, uni_subSolve=0.918704, uni_maintain_time=0.0851785, bi_search=0.504183, bi_subSolve=0.811865, bi_maintain_time=0.216406, admm_maintain=0.72097, area4=1.08102, infea=632.809, d_obj=13928.3, overall time=291.868
