using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=0.1
i=29, infea=0.482772, nnz_a=13.5934, nnz_b=17.836, uni_search=21.2233, uni_subSolve=0.876304, uni_maintain=0.820729, bi_search=9.75173, bi_subSolve=0.492943, bi_maintain=2.69127, admm_maintain=0.895679, area1=741.809, area23=1.03331, area4=1.00106, dual_obj=-85258.6, p_obj=246903, heldout Acc=0.229499, overall time=1196.29
i=30, infea=0.493459, nnz_a=13.7781, nnz_b=18.1268, uni_search=22.6061, uni_subSolve=1.07466, uni_maintain=0.941305, bi_search=14.9124, bi_subSolve=0.693642, bi_maintain=4.13339, admm_maintain=0.855984, area1=786.708, area23=1.03594, area4=1.00115, dual_obj=-88088, overall time=1245.57
i=31, infea=0.504018, nnz_a=13.9605, nnz_b=18.4131, uni_search=21.9906, uni_subSolve=0.998378, uni_maintain=0.93865, bi_search=10.608, bi_subSolve=0.519991, bi_maintain=2.82275, admm_maintain=0.878364, area1=832.654, area23=1.03861, area4=1.0011, dual_obj=-90919.2, overall time=1288.24
i=32, infea=0.514468, nnz_a=14.1373, nnz_b=18.7008, uni_search=23.9999, uni_subSolve=1.31613, uni_maintain=1.24156, bi_search=12.353, bi_subSolve=0.570166, bi_maintain=3.16264, admm_maintain=1.11107, area1=879.754, area23=1.04146, area4=1.00111, dual_obj=-93723.3, overall time=1336.2
i=33, infea=0.524778, nnz_a=14.3113, nnz_b=18.9835, uni_search=23.2458, uni_subSolve=1.17403, uni_maintain=1.04519, bi_search=11.4192, bi_subSolve=0.563088, bi_maintain=3.03816, admm_maintain=0.612203, area1=927.707, area23=1.04452, area4=1.00147, dual_obj=-96519.4, overall time=1381.08
i=34, infea=0.534956, nnz_a=14.4801, nnz_b=19.2673, uni_search=20.8724, uni_subSolve=0.880717, uni_maintain=0.829171, bi_search=9.53676, bi_subSolve=0.491255, bi_maintain=2.48488, admm_maintain=0.618146, area1=976.768, area23=1.04764, area4=1.0013, dual_obj=-99292.9, overall time=1420.18
i=35, infea=0.545138, nnz_a=14.6413, nnz_b=19.5469, uni_search=22.6851, uni_subSolve=1.26921, uni_maintain=0.9705, bi_search=9.50343, bi_subSolve=0.491173, bi_maintain=2.44265, admm_maintain=0.621572, area1=1026.76, area23=1.05059, area4=1.00151, dual_obj=-102053, overall time=1461.75
i=36, infea=0.555075, nnz_a=14.8006, nnz_b=19.8243, uni_search=19.8121, uni_subSolve=0.789135, uni_maintain=0.709449, bi_search=9.80095, bi_subSolve=0.497564, bi_maintain=2.45705, admm_maintain=0.627532, area1=1077.72, area23=1.05407, area4=1.002, dual_obj=-104783, overall time=1499.71
i=37, infea=0.564914, nnz_a=14.9582, nnz_b=20.0948, uni_search=21.5109, uni_subSolve=1.02201, uni_maintain=0.915888, bi_search=11.968, bi_subSolve=0.546791, bi_maintain=2.80047, admm_maintain=0.781324, area1=1129.69, area23=1.05749, area4=1.00193, dual_obj=-107482, overall time=1542.94
i=38, infea=0.574523, nnz_a=15.1043, nnz_b=20.3625, uni_search=22.23, uni_subSolve=1.26925, uni_maintain=0.931438, bi_search=13.7992, bi_subSolve=0.634465, bi_maintain=3.31986, admm_maintain=0.751674, area1=1182.43, area23=1.0613, area4=1.00266, dual_obj=-110145, overall time=1589.75
i=39, infea=0.583842, nnz_a=15.2438, nnz_b=20.6223, uni_search=22.2227, uni_subSolve=1.2739, uni_maintain=0.942684, bi_search=14.7318, bi_subSolve=0.660347, bi_maintain=3.4548, admm_maintain=0.724625, area1=1235.9, area23=1.06496, area4=1.00273, dual_obj=-112753, p_obj=195163, heldout Acc=0.291572, overall time=1637.65
i=40, infea=0.592832, nnz_a=15.3815, nnz_b=20.8682, uni_search=21.799, uni_subSolve=1.05246, uni_maintain=1.02709, bi_search=11.3507, bi_subSolve=0.533113, bi_maintain=2.56803, admm_maintain=0.635118, area1=1290.41, area23=1.06877, area4=1.00298, dual_obj=-115304, overall time=1680.09
i=41, infea=0.601387, nnz_a=15.5092, nnz_b=21.1082, uni_search=20.4724, uni_subSolve=0.892804, uni_maintain=0.826262, bi_search=10.1875, bi_subSolve=0.506953, bi_maintain=2.34063, admm_maintain=0.596333, area1=1345.42, area23=1.07284, area4=1.00374, dual_obj=-117785, overall time=1719.19
i=42, infea=0.609348, nnz_a=15.6341, nnz_b=21.3424, uni_search=20.8835, uni_subSolve=0.957559, uni_maintain=0.89806, bi_search=13.5062, bi_subSolve=0.576079, bi_maintain=2.82859, admm_maintain=0.940198, area1=1401.11, area23=1.0769, area4=1.00389, dual_obj=-120201, overall time=1763.47
i=43, infea=0.616912, nnz_a=15.7586, nnz_b=21.564, uni_search=22.1498, uni_subSolve=1.10854, uni_maintain=1.08172, bi_search=16.1435, bi_subSolve=0.627716, bi_maintain=3.18226, admm_maintain=0.972871, area1=1457.4, area23=1.08118, area4=1.00429, dual_obj=-122510, overall time=1812.64
i=44, infea=0.623798, nnz_a=15.8731, nnz_b=21.7771, uni_search=22.3846, uni_subSolve=1.14371, uni_maintain=1.12721, bi_search=16.1974, bi_subSolve=0.634092, bi_maintain=3.15213, admm_maintain=0.964357, area1=1514.26, area23=1.08589, area4=1.00496, dual_obj=-124733, overall time=1862.38
i=45, infea=0.630016, nnz_a=15.9832, nnz_b=21.9805, uni_search=23.2366, uni_subSolve=1.26898, uni_maintain=1.31407, bi_search=16.8077, bi_subSolve=0.643025, bi_maintain=3.18531, admm_maintain=0.971711, area1=1571.77, area23=1.09034, area4=1.00556, dual_obj=-126846, overall time=1914.04
i=46, infea=0.635709, nnz_a=16.0891, nnz_b=22.1689, uni_search=21.9337, uni_subSolve=1.11458, uni_maintain=1.09661, bi_search=15.1842, bi_subSolve=0.60413, bi_maintain=2.88391, admm_maintain=0.843472, area1=1629.55, area23=1.09509, area4=1.00631, dual_obj=-128851, overall time=1961.42
i=47, infea=0.640696, nnz_a=16.1931, nnz_b=22.3421, uni_search=21.0332, uni_subSolve=1.01592, uni_maintain=0.955655, bi_search=15.7138, bi_subSolve=0.612043, bi_maintain=2.91078, admm_maintain=0.822609, area1=1687.66, area23=1.10002, area4=1.00802, dual_obj=-130721, overall time=2008.11
i=48, infea=0.64492, nnz_a=16.294, nnz_b=22.4995, uni_search=22.5476, uni_subSolve=1.21782, uni_maintain=1.1855, bi_search=18.3838, bi_subSolve=0.660139, bi_maintain=3.22535, admm_maintain=0.607804, area1=1746.06, area23=1.10511, area4=1.00762, dual_obj=-132474, overall time=2059.63
i=49, infea=0.648563, nnz_a=16.3875, nnz_b=22.6488, uni_search=20.9535, uni_subSolve=1.01113, uni_maintain=0.950666, bi_search=19.1939, bi_subSolve=0.726394, bi_maintain=3.50666, admm_maintain=1.01871, area1=1804.56, area23=1.11021, area4=1.00932, dual_obj=-134097, p_obj=215148, heldout Acc=0.323462, overall time=2110.89
i=50, infea=0.651649, nnz_a=16.481, nnz_b=22.781, uni_search=21.3721, uni_subSolve=1.0654, uni_maintain=1.01054, bi_search=19.9509, bi_subSolve=0.670795, bi_maintain=3.24847, admm_maintain=1.05436, area1=1863.21, area23=1.11552, area4=1.00937, dual_obj=-135594, overall time=2163.19
i=51, infea=0.654134, nnz_a=16.5733, nnz_b=22.905, uni_search=19.9597, uni_subSolve=0.906762, uni_maintain=0.817536, bi_search=14.5867, bi_subSolve=0.578904, bi_maintain=2.54654, admm_maintain=0.676654, area1=1921.65, area23=1.12087, area4=1.01003, dual_obj=-136971, overall time=2206.56
i=52, infea=0.656211, nnz_a=16.6681, nnz_b=23.0155, uni_search=19.8657, uni_subSolve=0.889388, uni_maintain=0.793983, bi_search=18.213, bi_subSolve=0.662507, bi_maintain=3.0438, admm_maintain=0.912379, area1=1980.02, area23=1.12618, area4=1.01209, dual_obj=-138245, overall time=2254.55
i=53, infea=0.657913, nnz_a=16.7618, nnz_b=23.1178, uni_search=20.755, uni_subSolve=1.07576, uni_maintain=0.903167, bi_search=15.2506, bi_subSolve=0.584373, bi_maintain=2.53027, admm_maintain=0.680302, area1=2038.29, area23=1.13197, area4=1.01326, dual_obj=-139401, overall time=2299.71
i=54, infea=0.659096, nnz_a=16.8531, nnz_b=23.2081, uni_search=20.6211, uni_subSolve=1.00414, uni_maintain=0.923485, bi_search=20.7862, bi_subSolve=0.668472, bi_maintain=3.10881, admm_maintain=0.694575, area1=2096.44, area23=1.13737, area4=1.01333, dual_obj=-140451, overall time=2351.08
i=55, infea=0.659892, nnz_a=16.9531, nnz_b=23.2951, uni_search=21.9944, uni_subSolve=1.17681, uni_maintain=1.15377, bi_search=21.5996, bi_subSolve=0.686113, bi_maintain=3.18574, admm_maintain=1.18311, area1=2154.28, area23=1.14331, area4=1.0151, dual_obj=-141415, overall time=2406.19
i=56, infea=0.660367, nnz_a=17.051, nnz_b=23.3764, uni_search=24.6692, uni_subSolve=1.79354, uni_maintain=1.60691, bi_search=27.2525, bi_subSolve=0.798122, bi_maintain=3.80782, admm_maintain=0.692952, area1=2211.84, area23=1.14857, area4=1.0157, dual_obj=-142291, overall time=2470.91
i=57, infea=0.660641, nnz_a=17.1532, nnz_b=23.4534, uni_search=19.9011, uni_subSolve=0.916207, uni_maintain=0.813541, bi_search=16.6834, bi_subSolve=0.595609, bi_maintain=2.51476, admm_maintain=0.685677, area1=2268.84, area23=1.15475, area4=1.01782, dual_obj=-143088, overall time=2516.31
i=58, infea=0.660634, nnz_a=17.2557, nnz_b=23.5235, uni_search=19.8286, uni_subSolve=0.921495, uni_maintain=0.817607, bi_search=17.6513, bi_subSolve=0.606736, bi_maintain=2.57423, admm_maintain=0.8757, area1=2325.4, area23=1.16035, area4=1.01842, dual_obj=-143809, overall time=2563.33
i=59, infea=0.660492, nnz_a=17.3593, nnz_b=23.5934, uni_search=23.1873, uni_subSolve=1.40786, uni_maintain=1.32612, bi_search=30.1874, bi_subSolve=0.850719, bi_maintain=4.00989, admm_maintain=0.853397, area1=2381.42, area23=1.16656, area4=1.01886, dual_obj=-144465, p_obj=213970, heldout Acc=0.415718, overall time=2629.32
i=60, infea=0.660105, nnz_a=17.4635, nnz_b=23.6589, uni_search=21.5351, uni_subSolve=1.19735, uni_maintain=1.03772, bi_search=23.3127, bi_subSolve=0.722191, bi_maintain=3.16577, admm_maintain=0.86388, area1=2437.07, area23=1.17224, area4=1.02068, dual_obj=-145056, overall time=2685.14
i=61, infea=0.659558, nnz_a=17.5653, nnz_b=23.7283, uni_search=21.9142, uni_subSolve=1.25845, uni_maintain=1.08117, bi_search=30.9389, bi_subSolve=0.842573, bi_maintain=3.90166, admm_maintain=0.773489, area1=2492.04, area23=1.1783, area4=1.02236, dual_obj=-145607, overall time=2749.68
i=62, infea=0.658876, nnz_a=17.6679, nnz_b=23.7966, uni_search=21.5929, uni_subSolve=1.17391, uni_maintain=1.10973, bi_search=21.6038, bi_subSolve=0.655197, bi_maintain=2.80604, admm_maintain=1.08563, area1=2546.46, area23=1.18427, area4=1.0229, dual_obj=-146092, overall time=2803.53
i=63, infea=0.658156, nnz_a=17.7723, nnz_b=23.8653, uni_search=20.7831, uni_subSolve=1.10341, uni_maintain=0.966036, bi_search=32.9738, bi_subSolve=0.90513, bi_maintain=4.19697, admm_maintain=1.13528, area1=2600.21, area23=1.19046, area4=1.02479, dual_obj=-146531, overall time=2869.72
i=64, infea=0.65715, nnz_a=17.8672, nnz_b=23.9341, uni_search=23.4038, uni_subSolve=1.48428, uni_maintain=1.48929, bi_search=35.4517, bi_subSolve=0.902821, bi_maintain=4.21623, admm_maintain=1.06303, area1=2653.24, area23=1.19681, area4=1.02802, dual_obj=-146936, overall time=2942.01
i=65, infea=0.656184, nnz_a=17.96, nnz_b=24.0094, uni_search=23.5064, uni_subSolve=1.59695, uni_maintain=1.41611, bi_search=26.8741, bi_subSolve=0.737139, bi_maintain=3.22729, admm_maintain=1.07062, area1=2705.68, area23=1.20313, area4=1.02824, dual_obj=-147305, overall time=3004.56
i=66, infea=0.655121, nnz_a=18.0536, nnz_b=24.0828, uni_search=22.6211, uni_subSolve=1.36985, uni_maintain=1.30116, bi_search=29.5095, bi_subSolve=0.76063, bi_maintain=3.39447, admm_maintain=0.846866, area1=2757.37, area23=1.20905, area4=1.032, dual_obj=-147633, overall time=3068.36
i=67, infea=0.653841, nnz_a=18.1448, nnz_b=24.1553, uni_search=22.1891, uni_subSolve=1.28618, uni_maintain=1.2476, bi_search=26.4112, bi_subSolve=0.69684, bi_maintain=3.00155, admm_maintain=1.08751, area1=2807.79, area23=1.2152, area4=1.03463, dual_obj=-147944, overall time=3128.35
i=68, infea=0.652508, nnz_a=18.2318, nnz_b=24.2328, uni_search=21.8748, uni_subSolve=1.31095, uni_maintain=1.17207, bi_search=25.6172, bi_subSolve=0.717839, bi_maintain=3.00491, admm_maintain=0.877127, area1=2857.7, area23=1.22151, area4=1.03644, dual_obj=-148219, overall time=3186.7
i=69, infea=0.651101, nnz_a=18.3196, nnz_b=24.309, uni_search=22.8119, uni_subSolve=1.48269, uni_maintain=1.2946, bi_search=21.1174, bi_subSolve=0.631645, bi_maintain=2.51464, admm_maintain=0.723877, area1=2906.84, area23=1.22759, area4=1.03774, dual_obj=-148467, p_obj=187531, heldout Acc=0.469248, overall time=3241
i=70, infea=0.649575, nnz_a=18.4058, nnz_b=24.3862, uni_search=22.1813, uni_subSolve=1.35608, uni_maintain=1.14953, bi_search=28.6394, bi_subSolve=0.777502, bi_maintain=3.25941, admm_maintain=1.73108, area1=2955.05, area23=1.234, area4=1.0393, dual_obj=-148687, overall time=3304.44
