using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=10
i=29, infea=0.0401273, nnz_a=11.6802, nnz_b=21.2929, uni_search=25.0074, uni_subSolve=1.19071, uni_maintain=1.23127, bi_search=14.5666, bi_subSolve=0.828671, bi_maintain=3.43509, admm_maintain=1.16814, area1=553.893, area23=1.1909, area4=1.04659, dual_obj=-16745.6, p_obj=174251, heldout Acc=0.468679, overall time=1469.15
i=30, infea=0.0404222, nnz_a=11.7971, nnz_b=21.6221, uni_search=24.6575, uni_subSolve=1.16921, uni_maintain=1.20551, bi_search=15.563, bi_subSolve=0.87526, bi_maintain=3.64495, admm_maintain=1.20726, area1=588.23, area23=1.19756, area4=1.05108, dual_obj=-17143.2, overall time=1522.13
i=31, infea=0.040695, nnz_a=11.9119, nnz_b=21.9368, uni_search=24.8953, uni_subSolve=1.19815, uni_maintain=1.24212, bi_search=15.6843, bi_subSolve=0.861797, bi_maintain=3.57862, admm_maintain=1.21949, area1=623.659, area23=1.20424, area4=1.05827, dual_obj=-17536.5, overall time=1575.5
i=32, infea=0.0409442, nnz_a=12.02, nnz_b=22.2437, uni_search=24.6226, uni_subSolve=1.18349, uni_maintain=1.22293, bi_search=17.1825, bi_subSolve=0.935269, bi_maintain=3.90495, admm_maintain=1.38492, area1=659.989, area23=1.21115, area4=1.06862, dual_obj=-17926.8, overall time=1630.71
i=33, infea=0.0411901, nnz_a=12.1246, nnz_b=22.5378, uni_search=25.588, uni_subSolve=1.46224, uni_maintain=1.22558, bi_search=20.5504, bi_subSolve=1.10367, bi_maintain=4.66441, admm_maintain=1.34353, area1=697.306, area23=1.21784, area4=1.07345, dual_obj=-18312.9, overall time=1691.67
i=34, infea=0.0414125, nnz_a=12.2226, nnz_b=22.8187, uni_search=24.8582, uni_subSolve=1.22327, uni_maintain=1.2814, bi_search=19.9892, bi_subSolve=1.05341, bi_maintain=4.22436, admm_maintain=1.40977, area1=735.564, area23=1.22436, area4=1.07916, dual_obj=-18694.8, overall time=1750.5
i=35, infea=0.0416255, nnz_a=12.3174, nnz_b=23.0893, uni_search=25.6806, uni_subSolve=1.45227, uni_maintain=1.18976, bi_search=21.4892, bi_subSolve=1.06944, bi_maintain=4.39707, admm_maintain=1.37392, area1=774.637, area23=1.23113, area4=1.08844, dual_obj=-19073.6, overall time=1812.05
i=36, infea=0.0418237, nnz_a=12.4092, nnz_b=23.3533, uni_search=25.6984, uni_subSolve=1.40093, uni_maintain=1.22478, bi_search=22.6438, bi_subSolve=1.15712, bi_maintain=4.88508, admm_maintain=1.35076, area1=814.6, area23=1.23724, area4=1.0975, dual_obj=-19448.4, overall time=1875.49
i=37, infea=0.0420039, nnz_a=12.4944, nnz_b=23.6074, uni_search=26.0405, uni_subSolve=1.46277, uni_maintain=1.30165, bi_search=23.0681, bi_subSolve=1.15714, bi_maintain=4.89163, admm_maintain=1.45494, area1=855.661, area23=1.24312, area4=1.10406, dual_obj=-19821.4, overall time=1939.99
i=38, infea=0.0421892, nnz_a=12.5769, nnz_b=23.8512, uni_search=26.0961, uni_subSolve=1.46009, uni_maintain=1.31964, bi_search=23.7653, bi_subSolve=1.17077, bi_maintain=4.95009, admm_maintain=1.48622, area1=897.67, area23=1.24939, area4=1.11505, dual_obj=-20191.7, overall time=2005.37
i=39, infea=0.0423465, nnz_a=12.6579, nnz_b=24.0867, uni_search=25.9767, uni_subSolve=1.463, uni_maintain=1.31364, bi_search=24.8082, bi_subSolve=1.21196, bi_maintain=5.08973, admm_maintain=1.11316, area1=940.498, area23=1.25517, area4=1.1272, dual_obj=-20558, p_obj=177786, heldout Acc=0.496014, overall time=2071.41
i=40, infea=0.0424981, nnz_a=12.736, nnz_b=24.3103, uni_search=26.1566, uni_subSolve=1.49692, uni_maintain=1.33849, bi_search=23.8806, bi_subSolve=1.11552, bi_maintain=4.77442, admm_maintain=0.973336, area1=984.107, area23=1.26087, area4=1.14281, dual_obj=-20921.9, overall time=2136.1
i=41, infea=0.0426439, nnz_a=12.8084, nnz_b=24.5288, uni_search=27.6009, uni_subSolve=1.75391, uni_maintain=1.44906, bi_search=45.0752, bi_subSolve=1.68223, bi_maintain=7.6525, admm_maintain=2.06655, area1=1028.77, area23=1.26614, area4=1.14857, dual_obj=-21282.8, overall time=2228.91
