using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=30, infea=0.0373353, nnz_a=12.4766, nnz_b=22.6032, uni_search=26.8239, uni_subSolve=0.565213, uni_maintain=0.58194, bi_search=3451.45, bi_subSolve=0.825348, bi_maintain=2.35507, admm_maintain=0.429689, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17377.7, p_obj=172804, heldout Acc=0.481207, overall time=109061
i=31, infea=0.0375847, nnz_a=12.6084, nnz_b=22.9597, uni_search=26.5719, uni_subSolve=0.557703, uni_maintain=0.572349, bi_search=3435.08, bi_subSolve=0.819074, bi_maintain=2.33028, admm_maintain=0.436838, area1=-nan, area23=-nan, area4=-nan, dual_obj=-17763.3, p_obj=172959, heldout Acc=0.477221 (1/100), overall time=112531
i=32, infea=0.0378114, nnz_a=12.73, nnz_b=23.3079, uni_search=26.4946, uni_subSolve=0.565148, uni_maintain=0.578935, bi_search=3473.48, bi_subSolve=0.845136, bi_maintain=2.41011, admm_maintain=0.527592, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18144.2, p_obj=162688, heldout Acc=0.494305, overall time=116040
i=33, infea=0.0380186, nnz_a=12.8483, nnz_b=23.6414, uni_search=28.575, uni_subSolve=0.617431, uni_maintain=0.649929, bi_search=3452.52, bi_subSolve=0.841227, bi_maintain=2.39239, admm_maintain=0.441861, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18520.1, p_obj=177342, heldout Acc=0.487472 (1/100), overall time=119530
i=34, infea=0.0382241, nnz_a=12.9595, nnz_b=23.9652, uni_search=26.5134, uni_subSolve=0.575122, uni_maintain=0.588474, bi_search=3462.86, bi_subSolve=0.869898, bi_maintain=2.47098, admm_maintain=0.459276, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18894.5, p_obj=188228, heldout Acc=0.48861 (2/100), overall time=123028
i=35, infea=0.0384043, nnz_a=13.0676, nnz_b=24.2767, uni_search=26.5234, uni_subSolve=0.580851, uni_maintain=0.594521, bi_search=3438.8, bi_subSolve=0.860066, bi_maintain=2.44567, admm_maintain=0.50286, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19262.8, p_obj=163306, heldout Acc=0.48918 (3/100), overall time=126502
i=36, infea=0.0385748, nnz_a=13.172, nnz_b=24.5762, uni_search=26.4814, uni_subSolve=0.581674, uni_maintain=0.597797, bi_search=3432.71, bi_subSolve=0.870834, bi_maintain=2.48387, admm_maintain=0.453049, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19629, p_obj=174463, heldout Acc=0.48861 (4/100), overall time=129970
i=37, infea=0.0387301, nnz_a=13.2671, nnz_b=24.8656, uni_search=26.4733, uni_subSolve=0.584784, uni_maintain=0.601197, bi_search=3442.93, bi_subSolve=0.87718, bi_maintain=2.52105, admm_maintain=0.466408, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19990.8, p_obj=210491, heldout Acc=0.490319 (5/100), overall time=133448
i=38, infea=0.0388878, nnz_a=13.3608, nnz_b=25.147, uni_search=26.503, uni_subSolve=0.589819, uni_maintain=0.607568, bi_search=3441.49, bi_subSolve=0.889405, bi_maintain=2.5496, admm_maintain=0.461596, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20349.5, p_obj=197152, heldout Acc=0.504556, overall time=136925
i=39, infea=0.0390438, nnz_a=13.4495, nnz_b=25.4171, uni_search=26.5959, uni_subSolve=0.597584, uni_maintain=0.616554, bi_search=3453.09, bi_subSolve=0.911012, bi_maintain=2.61826, admm_maintain=0.476164, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20705.8, p_obj=162062, heldout Acc=0.492027 (1/100), overall time=140414
i=40, infea=0.039185, nnz_a=13.5355, nnz_b=25.6767, uni_search=26.6225, uni_subSolve=0.602707, uni_maintain=0.61969, bi_search=3457.29, bi_subSolve=0.921708, bi_maintain=2.64139, admm_maintain=0.477377, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21057.1, p_obj=197832, heldout Acc=0.494875 (2/100), overall time=143907
i=41, infea=0.039318, nnz_a=13.6156, nnz_b=25.9271, uni_search=26.6939, uni_subSolve=0.607824, uni_maintain=0.632228, bi_search=3462.92, bi_subSolve=0.935273, bi_maintain=2.67987, admm_maintain=0.474598, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21407.1, p_obj=145079, heldout Acc=0.503417 (3/100), overall time=147406
i=42, infea=0.0394287, nnz_a=13.6956, nnz_b=26.1648, uni_search=26.7462, uni_subSolve=0.610991, uni_maintain=0.631498, bi_search=3456.79, bi_subSolve=0.936902, bi_maintain=2.69011, admm_maintain=0.477321, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21755.1, p_obj=173900, heldout Acc=0.501139 (4/100), overall time=150899
i=43, infea=0.0395544, nnz_a=13.7696, nnz_b=26.3959, uni_search=26.7266, uni_subSolve=0.613706, uni_maintain=0.638727, bi_search=3443.94, bi_subSolve=0.93278, bi_maintain=2.67482, admm_maintain=0.470989, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22099.5, p_obj=176851, heldout Acc=0.5 (5/100), overall time=154379
i=44, infea=0.0396453, nnz_a=13.8397, nnz_b=26.6174, uni_search=26.4694, uni_subSolve=0.608467, uni_maintain=0.628368, bi_search=3431, bi_subSolve=0.928844, bi_maintain=2.66512, admm_maintain=0.467075, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22441.1, p_obj=172750, heldout Acc=0.521071, overall time=157845
i=45, infea=0.0397486, nnz_a=13.9094, nnz_b=26.8296, uni_search=26.462, uni_subSolve=0.610853, uni_maintain=0.632967, bi_search=3432.74, bi_subSolve=0.934411, bi_maintain=2.68259, admm_maintain=0.474926, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22780.6, p_obj=175124, heldout Acc=0.503417 (1/100), overall time=161314
i=46, infea=0.0398303, nnz_a=13.9751, nnz_b=27.0382, uni_search=26.4696, uni_subSolve=0.613855, uni_maintain=0.634482, bi_search=3428.3, bi_subSolve=0.939762, bi_maintain=2.69587, admm_maintain=0.476745, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23117.2, p_obj=185097, heldout Acc=0.511959 (2/100), overall time=164777
i=47, infea=0.0399118, nnz_a=14.0404, nnz_b=27.2386, uni_search=26.5363, uni_subSolve=0.619713, uni_maintain=0.641634, bi_search=3443.58, bi_subSolve=0.957918, bi_maintain=2.75151, admm_maintain=0.478326, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23453.2, p_obj=183820, heldout Acc=0.506264 (3/100), overall time=168257
