using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=30, infea=0.117051, nnz_a=18.2872, nnz_b=29.3329, uni_search=41.3167, uni_subSolve=1.22331, uni_maintain=1.50818, bi_search=4622.61, bi_subSolve=4.49562, bi_maintain=4.07868, admm_maintain=1.04363, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30969.2, p_obj=197775, heldout Acc=0.348519 (2/100), overall time=134834
i=31, infea=0.120071, nnz_a=18.6216, nnz_b=30.1427, uni_search=30.9567, uni_subSolve=0.869015, uni_maintain=1.00532, bi_search=4702.11, bi_subSolve=4.5299, bi_maintain=4.11236, admm_maintain=0.968846, area1=-nan, area23=-nan, area4=-nan, dual_obj=-31852.2, p_obj=195199, heldout Acc=0.343964 (3/100), overall time=139584
i=32, infea=0.123064, nnz_a=18.9485, nnz_b=30.9483, uni_search=34.0024, uni_subSolve=0.930128, uni_maintain=1.15964, bi_search=4392.19, bi_subSolve=4.27658, bi_maintain=4.10338, admm_maintain=0.970528, area1=-nan, area23=-nan, area4=-nan, dual_obj=-32734.2, p_obj=204511, heldout Acc=0.350797 (4/100), overall time=144027
i=33, infea=0.125989, nnz_a=19.2691, nnz_b=31.7452, uni_search=33.8451, uni_subSolve=0.930268, uni_maintain=1.15788, bi_search=4227.75, bi_subSolve=4.16629, bi_maintain=4.13213, admm_maintain=1.01625, area1=-nan, area23=-nan, area4=-nan, dual_obj=-33608, p_obj=199471, heldout Acc=0.345103 (5/100), overall time=148305
i=34, infea=0.128888, nnz_a=19.5825, nnz_b=32.5394, uni_search=29.842, uni_subSolve=0.823024, uni_maintain=1.0027, bi_search=4204.15, bi_subSolve=4.18932, bi_maintain=4.20733, admm_maintain=0.829219, area1=-nan, area23=-nan, area4=-nan, dual_obj=-34473.2, p_obj=204446, heldout Acc=0.361048, overall time=152555
i=35, infea=0.131751, nnz_a=19.8907, nnz_b=33.3252, uni_search=75.9274, uni_subSolve=0.864317, uni_maintain=1.14345, bi_search=4111.54, bi_subSolve=4.15867, bi_maintain=4.56211, admm_maintain=0.726687, area1=-nan, area23=-nan, area4=-nan, dual_obj=-35330.3, p_obj=192637, heldout Acc=0.378132, overall time=156759
i=36, infea=0.134579, nnz_a=20.1929, nnz_b=34.1055, uni_search=32.8161, uni_subSolve=0.937906, uni_maintain=1.17176, bi_search=4108.14, bi_subSolve=4.09362, bi_maintain=4.51248, admm_maintain=1.21619, area1=-nan, area23=-nan, area4=-nan, dual_obj=-36179.3, p_obj=194826, heldout Acc=0.334852 (1/100), overall time=160917
i=37, infea=0.137374, nnz_a=20.4902, nnz_b=34.8821, uni_search=39.0521, uni_subSolve=1.18372, uni_maintain=1.50493, bi_search=5833.44, bi_subSolve=6.08389, bi_maintain=6.25887, admm_maintain=1.2791, area1=-nan, area23=-nan, area4=-nan, dual_obj=-37018.5, p_obj=195856, heldout Acc=0.367312 (2/100), overall time=166812
i=38, infea=0.140135, nnz_a=20.7806, nnz_b=35.6509, uni_search=40.2824, uni_subSolve=1.28466, uni_maintain=1.61624, bi_search=5891.33, bi_subSolve=6.17564, bi_maintain=6.37993, admm_maintain=1.49328, area1=-nan, area23=-nan, area4=-nan, dual_obj=-37850.5, p_obj=195009, heldout Acc=0.375854 (3/100), overall time=172768
i=39, infea=0.142843, nnz_a=21.0652, nnz_b=36.4143, uni_search=33.4594, uni_subSolve=1.0067, uni_maintain=1.28646, bi_search=5518.3, bi_subSolve=5.64771, bi_maintain=5.96545, admm_maintain=0.921847, area1=-nan, area23=-nan, area4=-nan, dual_obj=-38671.1, p_obj=197243, heldout Acc=0.36959 (4/100), overall time=178341
i=40, infea=0.14553, nnz_a=21.3444, nnz_b=37.1714, uni_search=38.9958, uni_subSolve=1.25173, uni_maintain=1.58945, bi_search=5093.01, bi_subSolve=5.41318, bi_maintain=5.98204, admm_maintain=3.23971, area1=-nan, area23=-nan, area4=-nan, dual_obj=-39483.2, p_obj=199492, heldout Acc=0.371298 (5/100), overall time=183496
i=41, infea=0.148186, nnz_a=21.6184, nnz_b=37.9243, uni_search=39.2774, uni_subSolve=1.29577, uni_maintain=3.93317, bi_search=6265.47, bi_subSolve=6.7316, bi_maintain=7.31602, admm_maintain=37.1798, area1=-nan, area23=-nan, area4=-nan, dual_obj=-40285.9, p_obj=197000, heldout Acc=0.385535, overall time=189865
i=42, infea=0.150812, nnz_a=21.8888, nnz_b=38.6697, uni_search=45.3219, uni_subSolve=1.3814, uni_maintain=2.7164, bi_search=5771.36, bi_subSolve=6.30661, bi_maintain=6.86651, admm_maintain=1.25141, area1=-nan, area23=-nan, area4=-nan, dual_obj=-41082.1, p_obj=198391, heldout Acc=0.383827 (1/100), overall time=195707
i=43, infea=0.15341, nnz_a=22.1547, nnz_b=39.4106, uni_search=41.3894, uni_subSolve=1.34915, uni_maintain=1.7881, bi_search=5651.01, bi_subSolve=6.08914, bi_maintain=6.76142, admm_maintain=0.856596, area1=-nan, area23=-nan, area4=-nan, dual_obj=-41869, p_obj=189668, heldout Acc=0.378132 (2/100), overall time=201422
i=44, infea=0.155993, nnz_a=22.4138, nnz_b=40.1464, uni_search=37.2912, uni_subSolve=1.24454, uni_maintain=1.48331, bi_search=5127.07, bi_subSolve=5.4762, bi_maintain=6.19022, admm_maintain=1.10513, area1=-nan, area23=-nan, area4=-nan, dual_obj=-42649.5, p_obj=199164, heldout Acc=0.398064, overall time=206608
i=45, infea=0.158523, nnz_a=22.6708, nnz_b=40.877, uni_search=37.3828, uni_subSolve=1.2503, uni_maintain=1.53816, bi_search=5094.98, bi_subSolve=5.51918, bi_maintain=6.28582, admm_maintain=0.857274, area1=-nan, area23=-nan, area4=-nan, dual_obj=-43420.5, p_obj=197743, heldout Acc=0.373007 (1/100), overall time=211762
i=46, infea=0.161017, nnz_a=22.9244, nnz_b=41.6022, uni_search=36.9643, uni_subSolve=1.21741, uni_maintain=1.53986, bi_search=4991.51, bi_subSolve=5.46195, bi_maintain=5.80582, admm_maintain=1.46105, area1=-nan, area23=-nan, area4=-nan, dual_obj=-44179.9, p_obj=195913, heldout Acc=0.385535 (2/100), overall time=216812
i=47, infea=0.163503, nnz_a=23.1724, nnz_b=42.322, uni_search=30.7643, uni_subSolve=0.998578, uni_maintain=1.2419, bi_search=4396.01, bi_subSolve=4.94659, bi_maintain=5.54949, admm_maintain=1.34259, area1=-nan, area23=-nan, area4=-nan, dual_obj=-44934.7, p_obj=203550, heldout Acc=0.40262, overall time=221258
i=48, infea=0.16596, nnz_a=23.4171, nnz_b=43.0374, uni_search=36.6981, uni_subSolve=1.21051, uni_maintain=1.56214, bi_search=4536.66, bi_subSolve=5.08813, bi_maintain=5.73334, admm_maintain=1.38266, area1=-nan, area23=-nan, area4=-nan, dual_obj=-45682.9, p_obj=188575, heldout Acc=0.382688 (1/100), overall time=225852
i=49, infea=0.168408, nnz_a=23.6578, nnz_b=43.7471, uni_search=36.5831, uni_subSolve=1.24698, uni_maintain=1.6287, bi_search=4514.62, bi_subSolve=5.10317, bi_maintain=5.84085, admm_maintain=1.32151, area1=-nan, area23=-nan, area4=-nan, dual_obj=-46421, p_obj=197224, heldout Acc=0.395786 (2/100), overall time=230424
i=50, infea=0.170825, nnz_a=23.8948, nnz_b=44.4501, uni_search=33.4948, uni_subSolve=1.12639, uni_maintain=1.42946, bi_search=4287.4, bi_subSolve=4.84729, bi_maintain=5.62517, admm_maintain=1.12762, area1=-nan, area23=-nan, area4=-nan, dual_obj=-47152.7, p_obj=201454, heldout Acc=0.382118 (3/100), overall time=234764
i=51, infea=0.173211, nnz_a=24.1278, nnz_b=45.1471, uni_search=34.6493, uni_subSolve=1.19073, uni_maintain=1.53406, bi_search=3956.28, bi_subSolve=4.17334, bi_maintain=4.9257, admm_maintain=0.831631, area1=-nan, area23=-nan, area4=-nan, dual_obj=-47880, p_obj=193820, heldout Acc=0.379841 (4/100), overall time=238772
i=52, infea=0.175572, nnz_a=24.3565, nnz_b=45.8402, uni_search=34.199, uni_subSolve=1.16345, uni_maintain=1.50602, bi_search=4020.25, bi_subSolve=4.41401, bi_maintain=5.24239, admm_maintain=1.20608, area1=-nan, area23=-nan, area4=-nan, dual_obj=-48597.6, p_obj=189549, heldout Acc=0.388383 (5/100), overall time=242845
i=53, infea=0.177918, nnz_a=24.5806, nnz_b=46.5268, uni_search=34.255, uni_subSolve=1.1748, uni_maintain=1.52896, bi_search=3790.23, bi_subSolve=4.1466, bi_maintain=5.13403, admm_maintain=1.22307, area1=-nan, area23=-nan, area4=-nan, dual_obj=-49308.7, p_obj=200222, heldout Acc=0.398633 (6/100), overall time=246688
i=54, infea=0.180239, nnz_a=24.8032, nnz_b=47.2088, uni_search=34.4759, uni_subSolve=1.19323, uni_maintain=1.54002, bi_search=4560.84, bi_subSolve=5.05643, bi_maintain=5.91507, admm_maintain=1.5229, area1=-nan, area23=-nan, area4=-nan, dual_obj=-50013.7, p_obj=183498, heldout Acc=0.410592, overall time=251304
i=55, infea=0.182544, nnz_a=25.0218, nnz_b=47.8867, uni_search=41.2437, uni_subSolve=1.53713, uni_maintain=2.05679, bi_search=5102.11, bi_subSolve=5.69939, bi_maintain=6.51902, admm_maintain=1.33559, area1=-nan, area23=-nan, area4=-nan, dual_obj=-50709.9, p_obj=195958, heldout Acc=0.407175 (1/100), overall time=256470
i=56, infea=0.184813, nnz_a=25.2378, nnz_b=48.5574, uni_search=35.3706, uni_subSolve=1.27097, uni_maintain=1.63812, bi_search=5103.96, bi_subSolve=5.65866, bi_maintain=6.46549, admm_maintain=0.970961, area1=-nan, area23=-nan, area4=-nan, dual_obj=-51402, p_obj=201301, heldout Acc=0.399203 (2/100), overall time=261631
i=57, infea=0.187073, nnz_a=25.4516, nnz_b=49.223, uni_search=36.7506, uni_subSolve=1.31905, uni_maintain=1.75297, bi_search=5050.63, bi_subSolve=5.6624, bi_maintain=6.58172, admm_maintain=1.06366, area1=-nan, area23=-nan, area4=-nan, dual_obj=-52086.9, p_obj=202936, heldout Acc=0.384966 (3/100), overall time=266741
i=58, infea=0.189312, nnz_a=25.6627, nnz_b=49.8862, uni_search=37.4133, uni_subSolve=1.37142, uni_maintain=1.79504, bi_search=4744.59, bi_subSolve=5.42298, bi_maintain=6.49442, admm_maintain=1.57915, area1=-nan, area23=-nan, area4=-nan, dual_obj=-52766.6, p_obj=194147, heldout Acc=0.394647 (4/100), overall time=271546
i=59, infea=0.191515, nnz_a=25.8693, nnz_b=50.5419, uni_search=30.1235, uni_subSolve=1.05556, uni_maintain=1.37343, bi_search=4831.74, bi_subSolve=5.47762, bi_maintain=6.53, admm_maintain=1.32435, area1=-nan, area23=-nan, area4=-nan, dual_obj=-53438.3, p_obj=201792, heldout Acc=0.411162, overall time=276429
i=60, infea=0.19372, nnz_a=26.0718, nnz_b=51.1937, uni_search=34.7997, uni_subSolve=1.29901, uni_maintain=1.66614, bi_search=5031.51, bi_subSolve=5.70339, bi_maintain=6.76306, admm_maintain=1.33633, area1=-nan, area23=-nan, area4=-nan, dual_obj=-54106, p_obj=205557, heldout Acc=0.403189 (1/100), overall time=281518
i=61, infea=0.195878, nnz_a=26.273, nnz_b=51.8405, uni_search=34.16, uni_subSolve=1.24922, uni_maintain=1.70127, bi_search=5001.28, bi_subSolve=5.75573, bi_maintain=6.87831, admm_maintain=1.66084, area1=-nan, area23=-nan, area4=-nan, dual_obj=-54770.4, p_obj=186741, heldout Acc=0.407745 (2/100), overall time=286576
i=62, infea=0.198029, nnz_a=26.4708, nnz_b=52.4802, uni_search=35.1018, uni_subSolve=1.3071, uni_maintain=1.76011, bi_search=5265.31, bi_subSolve=6.09853, bi_maintain=7.31105, admm_maintain=1.14661, area1=-nan, area23=-nan, area4=-nan, dual_obj=-55425.3, p_obj=205071, heldout Acc=0.399772 (3/100), overall time=291900
i=63, infea=0.200158, nnz_a=26.6658, nnz_b=53.1161, uni_search=32.6152, uni_subSolve=1.20265, uni_maintain=1.56129, bi_search=5293.2, bi_subSolve=6.19751, bi_maintain=7.48748, admm_maintain=1.70101, area1=-nan, area23=-nan, area4=-nan, dual_obj=-56076.1, p_obj=209825, heldout Acc=0.410592 (4/100), overall time=297250
i=64, infea=0.202287, nnz_a=26.8579, nnz_b=53.7461, uni_search=37.4994, uni_subSolve=1.42741, uni_maintain=1.944, bi_search=5441.61, bi_subSolve=6.35975, bi_maintain=7.62872, admm_maintain=2.15526, area1=-nan, area23=-nan, area4=-nan, dual_obj=-56720.7, p_obj=195643, heldout Acc=0.399772 (5/100), overall time=302755
i=65, infea=0.204377, nnz_a=27.0463, nnz_b=54.3729, uni_search=39.5934, uni_subSolve=1.55385, uni_maintain=2.15264, bi_search=5181.73, bi_subSolve=6.17235, bi_maintain=7.56477, admm_maintain=1.03666, area1=-nan, area23=-nan, area4=-nan, dual_obj=-57361.8, p_obj=203959, heldout Acc=0.399772 (6/100), overall time=308001
i=66, infea=0.206895, nnz_a=27.2334, nnz_b=54.9949, uni_search=35.5359, uni_subSolve=1.35594, uni_maintain=1.84549, bi_search=5140.23, bi_subSolve=6.07664, bi_maintain=7.52488, admm_maintain=1.55142, area1=-nan, area23=-nan, area4=-nan, dual_obj=-57997.7, p_obj=196564, heldout Acc=0.418565, overall time=313201
i=67, infea=0.209417, nnz_a=27.4176, nnz_b=55.6104, uni_search=35.1373, uni_subSolve=1.38317, uni_maintain=1.80134, bi_search=5210, bi_subSolve=6.2056, bi_maintain=7.70657, admm_maintain=2.10984, area1=-nan, area23=-nan, area4=-nan, dual_obj=-58628, p_obj=185329, heldout Acc=0.404328 (1/100), overall time=318472
i=68, infea=0.211884, nnz_a=27.5993, nnz_b=56.2224, uni_search=31.5815, uni_subSolve=1.18717, uni_maintain=1.6016, bi_search=5323.19, bi_subSolve=6.3387, bi_maintain=7.81625, admm_maintain=1.77089, area1=-nan, area23=-nan, area4=-nan, dual_obj=-59251.8, p_obj=194831, heldout Acc=0.414009 (2/100), overall time=323851
i=69, infea=0.214327, nnz_a=27.7797, nnz_b=56.8286, uni_search=35.8046, uni_subSolve=1.39558, uni_maintain=1.83508, bi_search=5289.61, bi_subSolve=6.32239, bi_maintain=7.90746, admm_maintain=2.32852, area1=-nan, area23=-nan, area4=-nan, dual_obj=-59870.4
