using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=1
i=41, infea=0.269918, nnz_a=16.6855, nnz_b=23.4258, uni_search=24.5095, uni_subSolve=1.57325, uni_maintain=1.43164, bi_search=24.1301, bi_subSolve=1.02133, bi_maintain=4.17061, admm_maintain=1.37655, area1=1202.12, area23=1.17448, area4=1.03324, dual_obj=-72149.5, overall time=2107.25
i=42, infea=0.272391, nnz_a=16.8216, nnz_b=23.669, uni_search=24.416, uni_subSolve=1.57655, uni_maintain=1.4381, bi_search=25.645, bi_subSolve=1.0842, bi_maintain=4.41817, admm_maintain=1.27823, area1=1251.66, area23=1.18129, area4=1.03564, dual_obj=-73454.8, overall time=2171.73
i=43, infea=0.274869, nnz_a=16.9511, nnz_b=23.906, uni_search=24.3423, uni_subSolve=1.58014, uni_maintain=1.43692, bi_search=25.4901, bi_subSolve=1.04419, bi_maintain=4.25589, admm_maintain=1.56738, area1=1301.85, area23=1.18854, area4=1.03652, dual_obj=-74750.7, overall time=2236.14
i=44, infea=0.277267, nnz_a=17.0817, nnz_b=24.1344, uni_search=24.0761, uni_subSolve=1.56604, uni_maintain=1.44454, bi_search=27.0726, bi_subSolve=1.09539, bi_maintain=4.48142, admm_maintain=1.56932, area1=1352.46, area23=1.19552, area4=1.03917, dual_obj=-76037.7, overall time=2302.17
i=45, infea=0.279587, nnz_a=17.2076, nnz_b=24.3618, uni_search=24.161, uni_subSolve=1.57457, uni_maintain=1.45938, bi_search=29.0794, bi_subSolve=1.17394, bi_maintain=4.79929, admm_maintain=1.3472, area1=1403.69, area23=1.2018, area4=1.04089, dual_obj=-77309.2, overall time=2370.41
i=46, infea=0.281826, nnz_a=17.3339, nnz_b=24.5846, uni_search=24.1441, uni_subSolve=1.58412, uni_maintain=1.45799, bi_search=27.0034, bi_subSolve=1.05877, bi_maintain=4.26985, admm_maintain=1.61089, area1=1455.54, area23=1.20925, area4=1.045, dual_obj=-78563.6, overall time=2436.22
i=47, infea=0.283937, nnz_a=17.4531, nnz_b=24.7954, uni_search=24.0825, uni_subSolve=1.57546, uni_maintain=1.42246, bi_search=26.4422, bi_subSolve=1.04483, bi_maintain=4.17404, admm_maintain=1.58613, area1=1507.69, area23=1.21587, area4=1.04682, dual_obj=-79805.9, overall time=2501.1
i=48, infea=0.286009, nnz_a=17.5703, nnz_b=25.0065, uni_search=23.9939, uni_subSolve=1.5818, uni_maintain=1.43914, bi_search=27.457, bi_subSolve=1.06065, bi_maintain=4.23833, admm_maintain=1.31076, area1=1560.37, area23=1.22284, area4=1.05353, dual_obj=-81042.8, overall time=2566.77
i=49, infea=0.287935, nnz_a=17.685, nnz_b=25.2107, uni_search=24.0562, uni_subSolve=1.5937, uni_maintain=1.44912, bi_search=24.8952, bi_subSolve=0.957908, bi_maintain=3.77184, admm_maintain=1.26967, area1=1613.53, area23=1.22909, area4=1.05754, dual_obj=-82257.6, p_obj=178716, heldout Acc=0.460706, overall time=2629.26
i=50, infea=0.289805, nnz_a=17.7935, nnz_b=25.4131, uni_search=22.6446, uni_subSolve=1.34973, uni_maintain=1.37056, bi_search=22.896, bi_subSolve=0.85606, bi_maintain=3.34053, admm_maintain=1.19768, area1=1667.07, area23=1.23603, area4=1.06166, dual_obj=-83463.3, overall time=2687.08
i=51, infea=0.291579, nnz_a=17.9004, nnz_b=25.6038, uni_search=22.3295, uni_subSolve=1.30434, uni_maintain=1.3189, bi_search=23.5271, bi_subSolve=0.857308, bi_maintain=3.34436, admm_maintain=0.912163, area1=1720.88, area23=1.24302, area4=1.06564, dual_obj=-84658.1, overall time=2744.61
i=52, infea=0.293313, nnz_a=18.0032, nnz_b=25.793, uni_search=22.2697, uni_subSolve=1.3264, uni_maintain=1.34188, bi_search=23.8197, bi_subSolve=0.854247, bi_maintain=3.32827, admm_maintain=1.2347, area1=1775.25, area23=1.25032, area4=1.07275, dual_obj=-85838.4, overall time=2802.99
i=53, infea=0.294975, nnz_a=18.1036, nnz_b=25.9782, uni_search=21.9583, uni_subSolve=1.28277, uni_maintain=1.28112, bi_search=24.4166, bi_subSolve=0.867267, bi_maintain=3.36475, admm_maintain=1.20692, area1=1829.81, area23=1.25665, area4=1.07588, dual_obj=-87006.7, overall time=2861.4
i=54, infea=0.296632, nnz_a=18.2008, nnz_b=26.1576, uni_search=22.038, uni_subSolve=1.29972, uni_maintain=1.30353, bi_search=25.1082, bi_subSolve=0.874861, bi_maintain=3.39925, admm_maintain=1.1957, area1=1884.73, area23=1.26303, area4=1.08158, dual_obj=-88165.4, overall time=2920.75
i=55, infea=0.298095, nnz_a=18.297, nnz_b=26.3303, uni_search=21.9633, uni_subSolve=1.30068, uni_maintain=1.29006, bi_search=26.1237, bi_subSolve=0.891467, bi_maintain=3.47466, admm_maintain=1.22739, area1=1940.13, area23=1.26968, area4=1.08639, dual_obj=-89305.1, overall time=2981.01
i=56, infea=0.299551, nnz_a=18.392, nnz_b=26.5, uni_search=22.1338, uni_subSolve=1.31387, uni_maintain=1.31852, bi_search=26.4351, bi_subSolve=0.890811, bi_maintain=3.46901, admm_maintain=1.39188, area1=1995.45, area23=1.27609, area4=1.09266, dual_obj=-90441.1, overall time=3042.24
i=57, infea=0.300933, nnz_a=18.4828, nnz_b=26.6655, uni_search=21.8421, uni_subSolve=1.29308, uni_maintain=1.28343, bi_search=26.4577, bi_subSolve=0.891218, bi_maintain=3.4405, admm_maintain=1.27684, area1=2051.14, area23=1.28263, area4=1.09627, dual_obj=-91559.5, overall time=3102.83
i=58, infea=0.30221, nnz_a=18.5672, nnz_b=26.8303, uni_search=21.9906, uni_subSolve=1.32604, uni_maintain=1.33051, bi_search=27.1423, bi_subSolve=0.891906, bi_maintain=3.43272, admm_maintain=1.27542, area1=2107.16, area23=1.28911, area4=1.10052, dual_obj=-92666.6, overall time=3164.28
i=59, infea=0.303425, nnz_a=18.6519, nnz_b=26.9869, uni_search=23.2108, uni_subSolve=1.61253, uni_maintain=1.45592, bi_search=32.375, bi_subSolve=0.950181, bi_maintain=3.76834, admm_maintain=1.28228, area1=2163.45, area23=1.2958, area4=1.11244, dual_obj=-93753.8, p_obj=192085, heldout Acc=0.494305, overall time=3233.12
i=60, infea=0.304618, nnz_a=18.7344, nnz_b=27.1402, uni_search=23.1086, uni_subSolve=1.60164, uni_maintain=1.46373, bi_search=34.9196, bi_subSolve=1.00213, bi_maintain=4.00821, admm_maintain=1.01044, area1=2219.86, area23=1.30184, area4=1.11538, dual_obj=-94827, overall time=3304.36
i=61, infea=0.305708, nnz_a=18.8129, nnz_b=27.2854, uni_search=24.3597, uni_subSolve=1.86986, uni_maintain=1.65591, bi_search=43.0669, bi_subSolve=1.42186, bi_maintain=5.83211, admm_maintain=1.64451, area1=2276.49, area23=1.30813, area4=1.11939, dual_obj=-95889, overall time=3389.29
i=62, infea=0.306828, nnz_a=18.8899, nnz_b=27.43, uni_search=24.6266, uni_subSolve=1.92193, uni_maintain=1.70488, bi_search=43.68, bi_subSolve=1.42937, bi_maintain=5.85467, admm_maintain=1.87627, area1=2333.25, area23=1.31413, area4=1.12763, dual_obj=-96942.6, overall time=3475.57
i=63, infea=0.307819, nnz_a=18.9668, nnz_b=27.5697, uni_search=24.5515, uni_subSolve=1.92243, uni_maintain=1.70756, bi_search=44.9729, bi_subSolve=1.44593, bi_maintain=5.92238, admm_maintain=1.83292, area1=2389.97, area23=1.32071, area4=1.13296, dual_obj=-97974.7, overall time=3563.05
i=64, infea=0.308757, nnz_a=19.0414, nnz_b=27.7019, uni_search=24.6073, uni_subSolve=1.92586, uni_maintain=1.69729, bi_search=45.715, bi_subSolve=1.45219, bi_maintain=5.94544, admm_maintain=1.76553, area1=2447.3, area23=1.32697, area4=1.14221, dual_obj=-98987.8, overall time=3651.19
i=65, infea=0.309618, nnz_a=19.1119, nnz_b=27.834, uni_search=24.6922, uni_subSolve=1.94122, uni_maintain=1.70598, bi_search=46.2087, bi_subSolve=1.46167, bi_maintain=5.92081, admm_maintain=1.30824, area1=2504.63, area23=1.33274, area4=1.15036, dual_obj=-99992.2, overall time=3739.28
i=66, infea=0.310355, nnz_a=19.1821, nnz_b=27.9649, uni_search=24.7087, uni_subSolve=1.97202, uni_maintain=1.75648, bi_search=37.2895, bi_subSolve=1.13622, bi_maintain=4.51585, admm_maintain=1.00284, area1=2561.87, area23=1.33882, area4=1.15477, dual_obj=-100975, overall time=3816.05
i=67, infea=0.3111, nnz_a=19.2462, nnz_b=28.0899, uni_search=22.1672, uni_subSolve=1.38086, uni_maintain=1.36028, bi_search=32.8463, bi_subSolve=0.966769, bi_maintain=3.71812, admm_maintain=0.993656, area1=2619.28, area23=1.34449, area4=1.16415, dual_obj=-101954, overall time=3883.43
i=68, infea=0.311762, nnz_a=19.3137, nnz_b=28.2114, uni_search=22.1177, uni_subSolve=1.37524, uni_maintain=1.35383, bi_search=33.0897, bi_subSolve=0.960207, bi_maintain=3.70271, admm_maintain=1.3027, area1=2676.7, area23=1.35053, area4=1.17541, dual_obj=-102910, overall time=3951.4
