using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=39, a_nnz=12.5176, ever_a_nnz=12.8251, b_nnz=95.8907, uni_search=1.89873, uni_subSolve=0.233796, uni_maintain_time=0.0388575, bi_search=6.73468, bi_subSolve=0.333247, bi_maintain_time=0.173858, admm_maintain=0.0833921, area4=-nan, infea=70.3398, d_obj=-2185.62, p_obj=3686.23......., heldout Acc=0.986301, overall time=339.007
i=40, a_nnz=12.5737, ever_a_nnz=12.883, b_nnz=97.0327, uni_search=1.67316, uni_subSolve=0.191367, uni_maintain_time=0.0346077, bi_search=6.66647, bi_subSolve=0.279764, bi_maintain_time=0.155919, admm_maintain=0.133402, area4=-nan, infea=74.7581, d_obj=-2197.16, overall time=348.246
i=41, a_nnz=12.6309, ever_a_nnz=12.9448, b_nnz=98.2081, uni_search=1.69891, uni_subSolve=0.198298, uni_maintain_time=0.034907, bi_search=6.66664, bi_subSolve=0.282853, bi_maintain_time=0.157667, admm_maintain=0.139355, area4=-nan, infea=72.0559, d_obj=-2207.04, overall time=357.562
i=42, a_nnz=12.6892, ever_a_nnz=13.0043, b_nnz=99.3826, uni_search=1.69967, uni_subSolve=0.197358, uni_maintain_time=0.0349253, bi_search=6.6679, bi_subSolve=0.281348, bi_maintain_time=0.155613, admm_maintain=0.140137, area4=-nan, infea=73.245, d_obj=-2212.61, overall time=366.888
i=43, a_nnz=12.7431, ever_a_nnz=13.0599, b_nnz=100.505, uni_search=1.6903, uni_subSolve=0.194776, uni_maintain_time=0.0343983, bi_search=6.66919, bi_subSolve=0.266824, bi_maintain_time=0.143685, admm_maintain=0.0766517, area4=-nan, infea=65.707, d_obj=-2240.44, overall time=376.101
i=44, a_nnz=12.7907, ever_a_nnz=13.1107, b_nnz=101.517, uni_search=1.51259, uni_subSolve=0.159063, uni_maintain_time=0.03235, bi_search=6.73405, bi_subSolve=0.344512, bi_maintain_time=0.178491, admm_maintain=0.128818, area4=-nan, infea=61.147, d_obj=-2280.44, overall time=385.318
i=45, a_nnz=12.8436, ever_a_nnz=13.1622, b_nnz=102.589, uni_search=1.53995, uni_subSolve=0.166952, uni_maintain_time=0.0384054, bi_search=6.6529, bi_subSolve=0.22695, bi_maintain_time=0.112136, admm_maintain=0.120778, area4=-nan, infea=64.7794, d_obj=-2294.11, overall time=394.283
i=46, a_nnz=12.8928, ever_a_nnz=13.2162, b_nnz=103.741, uni_search=1.52476, uni_subSolve=0.163776, uni_maintain_time=0.0378652, bi_search=6.65268, bi_subSolve=0.233587, bi_maintain_time=0.113742, admm_maintain=0.130024, area4=-nan, infea=65.2733, d_obj=-2310.1, overall time=403.25
i=47, a_nnz=12.9372, ever_a_nnz=13.2597, b_nnz=104.704, uni_search=1.52737, uni_subSolve=0.164816, uni_maintain_time=0.0384427, bi_search=6.65393, bi_subSolve=0.236686, bi_maintain_time=0.114984, admm_maintain=0.104371, area4=-nan, infea=60.0803, d_obj=-2306.65, overall time=412.223
i=48, a_nnz=12.9826, ever_a_nnz=13.304, b_nnz=105.669, uni_search=1.52964, uni_subSolve=0.166336, uni_maintain_time=0.0382912, bi_search=6.6541, bi_subSolve=0.241415, bi_maintain_time=0.117707, admm_maintain=0.0942555, area4=-nan, infea=58.9471, d_obj=-2326.24, overall time=421.16
