using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=39, a_nnz=12.0554, ever_a_nnz=12.2419, b_nnz=86.2459, uni_search=1.05999, uni_subSolve=0.0700146, uni_maintain_time=0.021707, bi_search=6.40933, bi_subSolve=0.0828372, bi_maintain_time=0.0317964, admm_maintain=0.0577311, area4=-nan, infea=199.313, d_obj=-1221.79, p_obj=3597.46......., heldout Acc=0.986215 (2/50), overall time=315.566
i=40, a_nnz=12.1007, ever_a_nnz=12.2886, b_nnz=87.1447, uni_search=1.05921, uni_subSolve=0.0683855, uni_maintain_time=0.0216143, bi_search=6.40586, bi_subSolve=0.0740729, bi_maintain_time=0.0325525, admm_maintain=0.0546025, area4=-nan, infea=187.563, d_obj=-1248.72, overall time=323.358
i=41, a_nnz=12.1549, ever_a_nnz=12.3425, b_nnz=88.1708, uni_search=1.06323, uni_subSolve=0.0689684, uni_maintain_time=0.021705, bi_search=6.39842, bi_subSolve=0.0708859, bi_maintain_time=0.0310165, admm_maintain=0.0523416, area4=-nan, infea=206.387, d_obj=-1244.33, overall time=331.116
i=42, a_nnz=12.1958, ever_a_nnz=12.3844, b_nnz=89.0249, uni_search=1.04122, uni_subSolve=0.0648073, uni_maintain_time=0.0197409, bi_search=6.39674, bi_subSolve=0.0733204, bi_maintain_time=0.0320737, admm_maintain=0.0521168, area4=-nan, infea=190.259, d_obj=-1272.8, overall time=338.849
i=43, a_nnz=12.2392, ever_a_nnz=12.4276, b_nnz=89.8788, uni_search=1.03287, uni_subSolve=0.0627651, uni_maintain_time=0.0187489, bi_search=6.4181, bi_subSolve=0.0812543, bi_maintain_time=0.0364387, admm_maintain=0.0787838, area4=-nan, infea=182.209, d_obj=-1286.83, overall time=346.64
i=44, a_nnz=12.2814, ever_a_nnz=12.4697, b_nnz=90.7161, uni_search=1.07338, uni_subSolve=0.0714229, uni_maintain_time=0.022218, bi_search=6.4085, bi_subSolve=0.0754541, bi_maintain_time=0.0337119, admm_maintain=0.0569154, area4=-nan, infea=171.16, d_obj=-1318.72, overall time=354.471
i=45, a_nnz=12.3211, ever_a_nnz=12.5123, b_nnz=91.5947, uni_search=1.52452, uni_subSolve=0.166262, uni_maintain_time=0.0389118, bi_search=6.51697, bi_subSolve=0.11902, bi_maintain_time=0.0682632, admm_maintain=0.084158, area4=-nan, infea=174.197, d_obj=-1328.2, overall time=363.064
i=46, a_nnz=12.3579, ever_a_nnz=12.5488, b_nnz=92.3527, uni_search=1.1532, uni_subSolve=0.0865991, uni_maintain_time=0.021416, bi_search=6.48914, bi_subSolve=0.121068, bi_maintain_time=0.0683825, admm_maintain=0.0647604, area4=-nan, infea=168.391, d_obj=-1350.28, overall time=371.133
i=47, a_nnz=12.3926, ever_a_nnz=12.5865, b_nnz=93.1601, uni_search=1.16208, uni_subSolve=0.0883006, uni_maintain_time=0.0214097, bi_search=6.40597, bi_subSolve=0.0767283, bi_maintain_time=0.0336113, admm_maintain=0.0580495, area4=-nan, infea=171.206, d_obj=-1360.16, overall time=379.038
i=48, a_nnz=12.4325, ever_a_nnz=12.6261, b_nnz=94.0025, uni_search=1.08153, uni_subSolve=0.0723278, uni_maintain_time=0.0219116, bi_search=6.40988, bi_subSolve=0.0748622, bi_maintain_time=0.0331377, admm_maintain=0.0583477, area4=-nan, infea=162.101, d_obj=-1384.91, overall time=386.849
i=49, a_nnz=12.466, ever_a_nnz=12.6607, b_nnz=94.7455, uni_search=1.08306, uni_subSolve=0.0728106, uni_maintain_time=0.021945, bi_search=6.40407, bi_subSolve=0.0749822, bi_maintain_time=0.033255, admm_maintain=0.081555, area4=-nan, infea=158.49, d_obj=-1402.1, p_obj=2918.4......., heldout Acc=0.986043 (3/50), overall time=394.685
i=50, a_nnz=12.5024, ever_a_nnz=12.6972, b_nnz=95.5585, uni_search=1.08855, uni_subSolve=0.0741595, uni_maintain_time=0.0223015, bi_search=6.46421, bi_subSolve=0.127628, bi_maintain_time=0.0698991, admm_maintain=0.0797851, area4=-nan, infea=161.636, d_obj=-1409.79, overall time=402.687
i=51, a_nnz=12.536, ever_a_nnz=12.7326, b_nnz=96.3268, uni_search=1.14939, uni_subSolve=0.08886, uni_maintain_time=0.0276388, bi_search=6.40998, bi_subSolve=0.079287, bi_maintain_time=0.0354109, admm_maintain=0.0709611, area4=-nan, infea=154.726, d_obj=-1428.19, overall time=410.611
i=52, a_nnz=12.571, ever_a_nnz=12.7666, b_nnz=97.0588, uni_search=1.0907, uni_subSolve=0.0741073, uni_maintain_time=0.0219355, bi_search=6.40912, bi_subSolve=0.0771761, bi_maintain_time=0.0345661, admm_maintain=0.0598378, area4=-nan, infea=159.913, d_obj=-1434.28, overall time=418.443
i=53, a_nnz=12.6049, ever_a_nnz=12.8022, b_nnz=97.8671, uni_search=1.08873, uni_subSolve=0.0746354, uni_maintain_time=0.0217912, bi_search=6.41974, bi_subSolve=0.0866518, bi_maintain_time=0.0394694, admm_maintain=0.0658846, area4=-nan, infea=161.628, d_obj=-1439.73, overall time=426.305
i=54, a_nnz=12.635, ever_a_nnz=12.8322, b_nnz=98.6022, uni_search=1.09586, uni_subSolve=0.0756142, uni_maintain_time=0.0221028, bi_search=6.4116, bi_subSolve=0.0805512, bi_maintain_time=0.0356227, admm_maintain=0.0759293, area4=-nan, infea=161.135, d_obj=-1449.05, overall time=434.181
i=55, a_nnz=12.6675, ever_a_nnz=12.8645, b_nnz=99.3607, uni_search=1.09981, uni_subSolve=0.0772708, uni_maintain_time=0.0222931, bi_search=6.40498, bi_subSolve=0.0790785, bi_maintain_time=0.0357458, admm_maintain=0.0619515, area4=-nan, infea=153.137, d_obj=-1468.77, overall time=442.025
i=56, a_nnz=12.7001, ever_a_nnz=12.898, b_nnz=100.133, uni_search=1.10156, uni_subSolve=0.0764685, uni_maintain_time=0.0224374, bi_search=6.40373, bi_subSolve=0.0778767, bi_maintain_time=0.0345113, admm_maintain=0.064357, area4=-nan, infea=160.304, d_obj=-1475.28, overall time=449.869
i=57, a_nnz=12.7306, ever_a_nnz=12.9301, b_nnz=100.9, uni_search=1.1147, uni_subSolve=0.080172, uni_maintain_time=0.023551, bi_search=6.40542, bi_subSolve=0.0833298, bi_maintain_time=0.0373897, admm_maintain=0.0597273, area4=-nan, infea=151.785, d_obj=-1494.45, overall time=457.734
i=58, a_nnz=12.7595, ever_a_nnz=12.9594, b_nnz=101.567, uni_search=1.0685, uni_subSolve=0.0705281, uni_maintain_time=0.0192933, bi_search=6.408, bi_subSolve=0.0820637, bi_maintain_time=0.0358147, admm_maintain=0.0718339, area4=-nan, infea=146.908, d_obj=-1509.27, overall time=465.556
i=59, a_nnz=12.7852, ever_a_nnz=12.988, b_nnz=102.269, uni_search=1.10608, uni_subSolve=0.0776119, uni_maintain_time=0.0222429, bi_search=6.40573, bi_subSolve=0.080342, bi_maintain_time=0.0353363, admm_maintain=0.0628777, area4=-nan, infea=150.202, d_obj=-1517.93, p_obj=4136.46......., heldout Acc=0.986646 (4/50), overall time=473.428
i=60, a_nnz=12.8147, ever_a_nnz=13.0175, b_nnz=103.014, uni_search=1.10901, uni_subSolve=0.0785707, uni_maintain_time=0.0227007, bi_search=6.40739, bi_subSolve=0.0815947, bi_maintain_time=0.0358085, admm_maintain=0.0649062, area4=-nan, infea=147.611, d_obj=-1529.59, overall time=481.293
i=61, a_nnz=12.8459, ever_a_nnz=13.0477, b_nnz=103.792, uni_search=1.10993, uni_subSolve=0.0798889, uni_maintain_time=0.0224453, bi_search=6.40978, bi_subSolve=0.0825489, bi_maintain_time=0.0360582, admm_maintain=0.0711226, area4=-nan, infea=157.604, d_obj=-1523.79, overall time=489.169
i=62, a_nnz=12.8733, ever_a_nnz=13.0749, b_nnz=104.516, uni_search=1.11905, uni_subSolve=0.0815501, uni_maintain_time=0.0232937, bi_search=6.41343, bi_subSolve=0.085358, bi_maintain_time=0.0378056, admm_maintain=0.0648335, area4=-nan, infea=143.028, d_obj=-1551.05, overall time=497.059
i=63, a_nnz=12.9017, ever_a_nnz=13.1038, b_nnz=105.206, uni_search=1.11357, uni_subSolve=0.0800883, uni_maintain_time=0.022748, bi_search=6.44764, bi_subSolve=0.125984, bi_maintain_time=0.0643106, admm_maintain=0.100344, area4=-nan, infea=146.767, d_obj=-1560, overall time=505.099
i=64, a_nnz=12.9304, ever_a_nnz=13.1312, b_nnz=105.88, uni_search=1.36219, uni_subSolve=0.131027, uni_maintain_time=0.0264062, bi_search=6.4674, bi_subSolve=0.150876, bi_maintain_time=0.0818386, admm_maintain=0.0716773, area4=-nan, infea=150.995, d_obj=-1568.62, overall time=513.461
i=65, a_nnz=12.9554, ever_a_nnz=13.1566, b_nnz=106.503, uni_search=1.17941, uni_subSolve=0.0963867, uni_maintain_time=0.02758, bi_search=6.51886, bi_subSolve=0.198809, bi_maintain_time=0.116658, admm_maintain=0.122849, area4=-nan, infea=135.55, d_obj=-1595.34, overall time=521.849
i=66, a_nnz=12.9791, ever_a_nnz=13.1808, b_nnz=107.13, uni_search=1.56135, uni_subSolve=0.166907, uni_maintain_time=0.0319135, bi_search=6.50359, bi_subSolve=0.219833, bi_maintain_time=0.128973, admm_maintain=0.1145, area4=-nan, infea=129.022, d_obj=-1612.54, overall time=530.699
i=67, a_nnz=13.0052, ever_a_nnz=13.209, b_nnz=107.838, uni_search=1.56368, uni_subSolve=0.16668, uni_maintain_time=0.0324617, bi_search=6.50033, bi_subSolve=0.22394, bi_maintain_time=0.132038, admm_maintain=0.12229, area4=-nan, infea=135.145, d_obj=-1614.51, overall time=539.563
i=68, a_nnz=13.0277, ever_a_nnz=13.2345, b_nnz=108.53, uni_search=1.57715, uni_subSolve=0.170581, uni_maintain_time=0.0327537, bi_search=6.5075, bi_subSolve=0.223883, bi_maintain_time=0.135153, admm_maintain=0.115436, area4=-nan, infea=125.51, d_obj=-1632.24, overall time=548.44
i=69, a_nnz=13.0534, ever_a_nnz=13.2592, b_nnz=109.227, uni_search=1.26665, uni_subSolve=0.11435, uni_maintain_time=0.0257091, bi_search=6.50495, bi_subSolve=0.175233, bi_maintain_time=0.0937613, admm_maintain=0.0822807, area4=-nan, infea=133.968, d_obj=-1630.85, p_obj=3485.54......., heldout Acc=0.986215 (5/50), overall time=556.777
i=70, a_nnz=13.0788, ever_a_nnz=13.2836, b_nnz=109.921, uni_search=1.40187, uni_subSolve=0.143098, uni_maintain_time=0.0290724, bi_search=6.49109, bi_subSolve=0.180681, bi_maintain_time=0.0923824, admm_maintain=0.0828643, area4=-nan, infea=143.221, d_obj=-1628.44, overall time=565.279
i=71, a_nnz=13.1063, ever_a_nnz=13.3116, b_nnz=110.632, uni_search=1.31839, uni_subSolve=0.131938, uni_maintain_time=0.0287478, bi_search=6.45741, bi_subSolve=0.143648, bi_maintain_time=0.0697793, admm_maintain=0.0823598, area4=-nan, infea=140.607, d_obj=-1642.99, overall time=573.599
i=72, a_nnz=13.1267, ever_a_nnz=13.333, b_nnz=111.301, uni_search=1.18888, uni_subSolve=0.0981796, uni_maintain_time=0.0290046, bi_search=6.4634, bi_subSolve=0.144255, bi_maintain_time=0.0708722, admm_maintain=0.10252, area4=-nan, infea=131.238, d_obj=-1658.29, overall time=581.798
