using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=28, a_nnz=10.8775, ever_a_nnz=17.4916, b_nnz=159.002, uni_search=0.577686, uni_subSolve=0.110379, uni_maintain_time=0.0209095, bi_search=0.0662717, bi_subSolve=0.133822, bi_maintain_time=0.0477549, admm_maintain=0.123741, area4=1.15457, infea=70.0248, d_obj=477.287, overall time=22.6739
i=29, a_nnz=10.916, ever_a_nnz=17.6755, b_nnz=162.702, uni_search=0.570424, uni_subSolve=0.105736, uni_maintain_time=0.0195094, bi_search=0.0626174, bi_subSolve=0.132044, bi_maintain_time=0.0466046, admm_maintain=0.12519, area4=1.14789, infea=70.0707, d_obj=479.915, p_obj=1982.39......., heldout Acc=0.984061, overall time=23.84
i=30, a_nnz=10.9476, ever_a_nnz=17.8451, b_nnz=166.184, uni_search=0.573071, uni_subSolve=0.106565, uni_maintain_time=0.0192449, bi_search=0.0625744, bi_subSolve=0.13344, bi_maintain_time=0.0468275, admm_maintain=0.119034, area4=1.1569, infea=69.9213, d_obj=472.534, overall time=25.0038
i=31, a_nnz=10.9881, ever_a_nnz=18.0115, b_nnz=169.586, uni_search=0.579581, uni_subSolve=0.110241, uni_maintain_time=0.0194196, bi_search=0.0658309, bi_subSolve=0.137611, bi_maintain_time=0.0479311, admm_maintain=0.124101, area4=1.17693, infea=69.0961, d_obj=467.244, overall time=26.1956
i=32, a_nnz=11.0175, ever_a_nnz=18.1693, b_nnz=172.855, uni_search=0.581259, uni_subSolve=0.109611, uni_maintain_time=0.0192204, bi_search=0.065306, bi_subSolve=0.138201, bi_maintain_time=0.0487117, admm_maintain=0.12375, area4=1.17026, infea=67.3737, d_obj=457.029, overall time=27.3885
i=33, a_nnz=11.0397, ever_a_nnz=18.3203, b_nnz=176.034, uni_search=0.58855, uni_subSolve=0.113179, uni_maintain_time=0.0194168, bi_search=0.0685216, bi_subSolve=0.142099, bi_maintain_time=0.0494098, admm_maintain=0.128585, area4=1.19129, infea=69.4834, d_obj=455.628, overall time=28.6083
i=34, a_nnz=11.0578, ever_a_nnz=18.4555, b_nnz=178.885, uni_search=0.589832, uni_subSolve=0.112658, uni_maintain_time=0.0191556, bi_search=0.0676682, bi_subSolve=0.142748, bi_maintain_time=0.0497721, admm_maintain=0.127675, area4=1.18428, infea=69.6349, d_obj=449.694, overall time=29.828
i=35, a_nnz=11.0865, ever_a_nnz=18.5879, b_nnz=181.775, uni_search=0.59706, uni_subSolve=0.116595, uni_maintain_time=0.0190403, bi_search=0.0709342, bi_subSolve=0.146672, bi_maintain_time=0.0504212, admm_maintain=0.131749, area4=1.20798, infea=69.9416, d_obj=444.39, overall time=31.0723
i=36, a_nnz=11.1037, ever_a_nnz=18.7192, b_nnz=184.657, uni_search=0.601693, uni_subSolve=0.117638, uni_maintain_time=0.0193292, bi_search=0.0727773, bi_subSolve=0.150436, bi_maintain_time=0.052261, admm_maintain=0.141699, area4=1.1806, infea=70.3006, d_obj=447.171, overall time=32.3505
i=37, a_nnz=11.1027, ever_a_nnz=18.8296, b_nnz=187.112, uni_search=0.627262, uni_subSolve=0.130475, uni_maintain_time=0.020807, bi_search=0.0772598, bi_subSolve=0.154359, bi_maintain_time=0.0532451, admm_maintain=0.135746, area4=1.20464, infea=68.8458, d_obj=440.416, overall time=33.6649
