using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=32, a_nnz=11.0816, ever_a_nnz=17.2567, b_nnz=155.48, uni_search=1.70284, uni_subSolve=0.151451, uni_maintain_time=0.0366316, bi_search=6.5429, bi_subSolve=0.183657, bi_maintain_time=0.0802034, admm_maintain=0.186385, area4=-nan, infea=71.4875, d_obj=429.333, overall time=276.17
i=33, a_nnz=11.089, ever_a_nnz=17.3645, b_nnz=157.625, uni_search=1.71197, uni_subSolve=0.15276, uni_maintain_time=0.0360391, bi_search=6.56163, bi_subSolve=0.263923, bi_maintain_time=0.106093, admm_maintain=0.197145, area4=-nan, infea=76.1434, d_obj=433.724, overall time=285.403
i=34, a_nnz=11.0988, ever_a_nnz=17.467, b_nnz=159.686, uni_search=1.86582, uni_subSolve=0.180949, uni_maintain_time=0.0384837, bi_search=6.58356, bi_subSolve=0.303074, bi_maintain_time=0.118589, admm_maintain=0.21877, area4=-nan, infea=70.2491, d_obj=392.831, overall time=294.895
i=35, a_nnz=11.1167, ever_a_nnz=17.5794, b_nnz=161.933, uni_search=1.87107, uni_subSolve=0.181116, uni_maintain_time=0.038591, bi_search=6.57955, bi_subSolve=0.303537, bi_maintain_time=0.119357, admm_maintain=0.253764, area4=-nan, infea=68.6716, d_obj=345.874, overall time=304.441
i=36, a_nnz=11.1185, ever_a_nnz=17.679, b_nnz=163.977, uni_search=1.86134, uni_subSolve=0.180109, uni_maintain_time=0.0377213, bi_search=6.58942, bi_subSolve=0.314631, bi_maintain_time=0.122177, admm_maintain=0.205134, area4=-nan, infea=70.1483, d_obj=318.469, overall time=313.934
i=37, a_nnz=11.1234, ever_a_nnz=17.7763, b_nnz=165.935, uni_search=1.79173, uni_subSolve=0.166995, uni_maintain_time=0.0366559, bi_search=6.72778, bi_subSolve=0.327915, bi_maintain_time=0.136004, admm_maintain=0.246111, area4=-nan, infea=68.786, d_obj=289.585, overall time=323.599
i=38, a_nnz=11.1382, ever_a_nnz=17.8691, b_nnz=167.876, uni_search=2.14088, uni_subSolve=0.21786, uni_maintain_time=0.0466621, bi_search=6.72987, bi_subSolve=0.338378, bi_maintain_time=0.138486, admm_maintain=0.261531, area4=-nan, infea=65.4714, d_obj=257.694, overall time=333.698
i=39, a_nnz=11.1456, ever_a_nnz=17.9498, b_nnz=169.619, uni_search=2.1494, uni_subSolve=0.218981, uni_maintain_time=0.0467176, bi_search=6.73409, bi_subSolve=0.340242, bi_maintain_time=0.138346, admm_maintain=0.258722, area4=-nan, infea=65.4074, d_obj=233.198, p_obj=3968.37......., heldout Acc=0.984492, overall time=343.801
i=40, a_nnz=11.1454, ever_a_nnz=18.0232, b_nnz=171.207, uni_search=1.6619, uni_subSolve=0.136763, uni_maintain_time=0.0262583, bi_search=6.50139, bi_subSolve=0.189724, bi_maintain_time=0.0679755, admm_maintain=0.189749, area4=-nan, infea=68.3024, d_obj=223.913, overall time=352.745
i=41, a_nnz=11.1442, ever_a_nnz=18.096, b_nnz=172.83, uni_search=1.6635, uni_subSolve=0.137426, uni_maintain_time=0.0264112, bi_search=6.49937, bi_subSolve=0.191134, bi_maintain_time=0.0693055, admm_maintain=0.190744, area4=-nan, infea=64.8574, d_obj=192.97, overall time=361.697
i=42, a_nnz=11.1477, ever_a_nnz=18.1607, b_nnz=174.232, uni_search=1.67843, uni_subSolve=0.139043, uni_maintain_time=0.0263032, bi_search=6.50907, bi_subSolve=0.192452, bi_maintain_time=0.069483, admm_maintain=0.193847, area4=-nan, infea=64.2688, d_obj=157.762, overall time=370.679
i=43, a_nnz=11.1462, ever_a_nnz=18.2262, b_nnz=175.67, uni_search=1.6792, uni_subSolve=0.139662, uni_maintain_time=0.0263018, bi_search=6.50824, bi_subSolve=0.19588, bi_maintain_time=0.0699109, admm_maintain=0.195466, area4=-nan, infea=62.5219, d_obj=138.173, overall time=379.667
i=44, a_nnz=11.1486, ever_a_nnz=18.2876, b_nnz=177.02, uni_search=1.67662, uni_subSolve=0.139167, uni_maintain_time=0.0263966, bi_search=6.50534, bi_subSolve=0.195493, bi_maintain_time=0.0693512, admm_maintain=0.19766, area4=-nan, infea=65.7595, d_obj=114.465, overall time=388.65
i=45, a_nnz=11.1522, ever_a_nnz=18.3535, b_nnz=178.505, uni_search=1.69117, uni_subSolve=0.141871, uni_maintain_time=0.0266308, bi_search=6.51281, bi_subSolve=0.201962, bi_maintain_time=0.0723693, admm_maintain=0.224141, area4=-nan, infea=61.558, d_obj=72.9641, overall time=397.851
i=46, a_nnz=11.1474, ever_a_nnz=18.4155, b_nnz=179.894, uni_search=2.57961, uni_subSolve=0.283353, uni_maintain_time=0.0394983, bi_search=6.75098, bi_subSolve=0.556945, bi_maintain_time=0.212387, admm_maintain=0.396157, area4=-nan, infea=58.0217, d_obj=36.8082, overall time=409.004
i=47, a_nnz=11.1462, ever_a_nnz=18.4727, b_nnz=181.217, uni_search=2.57398, uni_subSolve=0.284886, uni_maintain_time=0.0391423, bi_search=6.65094, bi_subSolve=0.38317, bi_maintain_time=0.148358, admm_maintain=0.244623, area4=-nan, infea=60.4714, d_obj=23.9397, overall time=419.546
i=48, a_nnz=11.1384, ever_a_nnz=18.5275, b_nnz=182.521, uni_search=1.90457, uni_subSolve=0.197616, uni_maintain_time=0.0424838, bi_search=6.58215, bi_subSolve=0.230117, bi_maintain_time=0.10196, admm_maintain=0.210714, area4=-nan, infea=59.0558, d_obj=1.30589, overall time=429.003
i=49, a_nnz=11.1245, ever_a_nnz=18.5829, b_nnz=183.815, uni_search=1.83275, uni_subSolve=0.176199, uni_maintain_time=0.0355223, bi_search=6.5828, bi_subSolve=0.232421, bi_maintain_time=0.103959, admm_maintain=0.249985, area4=-nan, infea=58.3632, d_obj=-28.931, p_obj=1972.79......., heldout Acc=0.984664, overall time=438.436
i=50, a_nnz=11.1374, ever_a_nnz=18.6376, b_nnz=185.063, uni_search=1.79056, uni_subSolve=0.165878, uni_maintain_time=0.0305145, bi_search=6.54625, bi_subSolve=0.219157, bi_maintain_time=0.082267, admm_maintain=0.23296, area4=-nan, infea=54.2136, d_obj=-68.8173, overall time=447.71
