using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=26, infea=0.033346, nnz_a=6.97096, nnz_b=11.4525, uni_search=0.282204, uni_subSolve=0.061801, uni_maintain=0.0568908, bi_search=1.06641, bi_subSolve=0.247028, bi_maintain=0.117763, admm_maintain=0.167382, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10348.4, p_obj=37769.9, heldout Acc=0.927682, overall time=69.4405
i=27, infea=0.0337534, nnz_a=7.07472, nnz_b=11.5725, uni_search=0.284096, uni_subSolve=0.0620409, uni_maintain=0.0574107, bi_search=1.06763, bi_subSolve=0.248645, bi_maintain=0.118754, admm_maintain=0.187252, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10588.6, p_obj=35381.4, heldout Acc=0.926897 (1/1000), overall time=72.3552
i=28, infea=0.0341517, nnz_a=7.17594, nnz_b=11.6881, uni_search=0.286361, uni_subSolve=0.0624528, uni_maintain=0.0590413, bi_search=1.06489, bi_subSolve=0.248858, bi_maintain=0.119194, admm_maintain=0.165045, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10824.1, p_obj=36873.2, heldout Acc=0.92761 (2/1000), overall time=75.2504
i=29, infea=0.0345297, nnz_a=7.27405, nnz_b=11.7986, uni_search=0.270657, uni_subSolve=0.0608806, uni_maintain=0.0593669, bi_search=1.06222, bi_subSolve=0.240587, bi_maintain=0.120025, admm_maintain=0.16632, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11055.7, p_obj=34268.3, heldout Acc=0.927619 (3/1000), overall time=78.1061
i=30, infea=0.0348804, nnz_a=7.36837, nnz_b=11.9035, uni_search=0.275884, uni_subSolve=0.0617773, uni_maintain=0.0598918, bi_search=1.06837, bi_subSolve=0.25148, bi_maintain=0.120801, admm_maintain=0.17344, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11283.6, p_obj=33771.2, heldout Acc=0.928223, overall time=81.0132
i=31, infea=0.0352422, nnz_a=7.45949, nnz_b=12.0048, uni_search=0.280838, uni_subSolve=0.0625773, uni_maintain=0.0609691, bi_search=1.06908, bi_subSolve=0.25329, bi_maintain=0.12162, admm_maintain=0.180992, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11507.8, p_obj=33931.1, heldout Acc=0.92826, overall time=83.9376
i=32, infea=0.035588, nnz_a=7.54924, nnz_b=12.1026, uni_search=0.280383, uni_subSolve=0.0625124, uni_maintain=0.0624534, bi_search=1.06966, bi_subSolve=0.253897, bi_maintain=0.12253, admm_maintain=0.168619, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11728.2, p_obj=33823.7, heldout Acc=0.926807 (1/1000), overall time=86.8509
i=33, infea=0.0359145, nnz_a=7.63593, nnz_b=12.1957, uni_search=0.278754, uni_subSolve=0.0625829, uni_maintain=0.0625378, bi_search=1.07176, bi_subSolve=0.256659, bi_maintain=0.124227, admm_maintain=0.170123, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11945.9, p_obj=37879.8, heldout Acc=0.926933 (2/1000), overall time=89.7699
i=34, infea=0.0362383, nnz_a=7.7193, nnz_b=12.2859, uni_search=0.276803, uni_subSolve=0.0624392, uni_maintain=0.0633138, bi_search=1.06847, bi_subSolve=0.254156, bi_maintain=0.123106, admm_maintain=0.167285, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12160, p_obj=34636.1, heldout Acc=0.928981, overall time=92.6774
i=35, infea=0.0365571, nnz_a=7.80059, nnz_b=12.3716, uni_search=0.281922, uni_subSolve=0.0629687, uni_maintain=0.0646904, bi_search=1.06636, bi_subSolve=0.240882, bi_maintain=0.123354, admm_maintain=0.151655, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12370.6, p_obj=34709.1, heldout Acc=0.928837 (1/1000), overall time=95.5373
