using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=31, infea=0.152526, nnz_a=7.63315, nnz_b=13.6721, uni_search=0.244041, uni_subSolve=0.0560964, uni_maintain=0.0552997, bi_search=1.03755, bi_subSolve=0.198681, bi_maintain=0.132987, admm_maintain=0.146605, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25378.3, p_obj=28687.8, heldout Acc=0.913103 (17/1000), overall time=84.3176
i=32, infea=0.152245, nnz_a=7.77548, nnz_b=13.7662, uni_search=0.24443, uni_subSolve=0.0563873, uni_maintain=0.0562833, bi_search=1.03827, bi_subSolve=0.200338, bi_maintain=0.133665, admm_maintain=0.147831, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25416.9, p_obj=27787.2, heldout Acc=0.91396 (18/1000), overall time=87.0248
i=33, infea=0.151978, nnz_a=7.9157, nnz_b=13.8566, uni_search=0.244114, uni_subSolve=0.056747, uni_maintain=0.0570537, bi_search=1.03873, bi_subSolve=0.202373, bi_maintain=0.13407, admm_maintain=0.148278, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25452.2, p_obj=27966, heldout Acc=0.912941 (19/1000), overall time=89.7369
i=34, infea=0.151728, nnz_a=8.05499, nnz_b=13.9429, uni_search=0.244221, uni_subSolve=0.0569726, uni_maintain=0.0579859, bi_search=1.03912, bi_subSolve=0.202539, bi_maintain=0.134253, admm_maintain=0.148412, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25485.9, p_obj=29740.7, heldout Acc=0.912697 (20/1000), overall time=92.4504
i=35, infea=0.151468, nnz_a=8.19143, nnz_b=14.025, uni_search=0.244406, uni_subSolve=0.0571776, uni_maintain=0.0584406, bi_search=1.03836, bi_subSolve=0.203436, bi_maintain=0.134762, admm_maintain=0.148226, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25517.5, p_obj=28711.5, heldout Acc=0.914195 (21/1000), overall time=95.1654
i=36, infea=0.15123, nnz_a=8.32566, nnz_b=14.1039, uni_search=0.245787, uni_subSolve=0.0575357, uni_maintain=0.0591464, bi_search=1.04003, bi_subSolve=0.204088, bi_maintain=0.135715, admm_maintain=0.149644, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25547.1, p_obj=28558.5, heldout Acc=0.912544 (22/1000), overall time=97.8825
i=37, infea=0.150988, nnz_a=8.45514, nnz_b=14.1783, uni_search=0.227462, uni_subSolve=0.0558925, uni_maintain=0.0589178, bi_search=1.0267, bi_subSolve=0.196747, bi_maintain=0.127252, admm_maintain=0.139738, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25573.2, p_obj=26210.1, heldout Acc=0.913924 (23/1000), overall time=100.53
i=38, infea=0.150775, nnz_a=8.58052, nnz_b=14.2497, uni_search=0.228017, uni_subSolve=0.0562185, uni_maintain=0.0596461, bi_search=1.02634, bi_subSolve=0.197262, bi_maintain=0.127524, admm_maintain=0.139543, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25598.6, p_obj=28003.9, heldout Acc=0.914222 (24/1000), overall time=103.172
i=39, infea=0.150556, nnz_a=8.70421, nnz_b=14.3189, uni_search=0.228218, uni_subSolve=0.0564043, uni_maintain=0.0605509, bi_search=1.02737, bi_subSolve=0.196442, bi_maintain=0.127317, admm_maintain=0.140678, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25622.9, p_obj=27720.3, heldout Acc=0.912553 (25/1000), overall time=105.817
i=40, infea=0.15035, nnz_a=8.82437, nnz_b=14.3844, uni_search=0.228631, uni_subSolve=0.0565941, uni_maintain=0.061318, bi_search=1.02694, bi_subSolve=0.196691, bi_maintain=0.127525, admm_maintain=0.141422, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25645.2, p_obj=26973.7, heldout Acc=0.912859 (26/1000), overall time=108.474
i=41, infea=0.150144, nnz_a=8.94107, nnz_b=14.4484, uni_search=0.246978, uni_subSolve=0.058766, uni_maintain=0.0641354, bi_search=1.04045, bi_subSolve=0.202673, bi_maintain=0.13683, admm_maintain=0.151439, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25666.9, p_obj=27424.3, heldout Acc=0.91433 (27/1000), overall time=111.216
i=42, infea=0.149962, nnz_a=9.05667, nnz_b=14.5095, uni_search=0.246956, uni_subSolve=0.0589558, uni_maintain=0.0649544, bi_search=1.04222, bi_subSolve=0.204293, bi_maintain=0.137106, admm_maintain=0.154631, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25686.7, p_obj=27335.8, heldout Acc=0.912652 (28/1000), overall time=113.958
i=43, infea=0.14978, nnz_a=9.16755, nnz_b=14.5693, uni_search=0.256861, uni_subSolve=0.0602253, uni_maintain=0.0668696, bi_search=1.17752, bi_subSolve=0.296064, bi_maintain=0.174224, admm_maintain=0.155765, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25705.4, p_obj=26583.2, heldout Acc=0.914456 (29/1000), overall time=117.129
i=44, infea=0.149583, nnz_a=9.27598, nnz_b=14.6265, uni_search=0.324303, uni_subSolve=0.0774112, uni_maintain=0.0861428, bi_search=1.22175, bi_subSolve=0.310374, bi_maintain=0.137787, admm_maintain=0.176257, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25723.7, p_obj=28719.6, heldout Acc=0.914023 (30/1000), overall time=120.472
i=45, infea=0.149402, nnz_a=9.3818, nnz_b=14.6812, uni_search=0.325363, uni_subSolve=0.061348, uni_maintain=0.0961513, bi_search=1.43901, bi_subSolve=0.290495, bi_maintain=0.172756, admm_maintain=0.164896, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25741.4, p_obj=28541.3, heldout Acc=0.912445 (31/1000), overall time=124.192
i=46, infea=0.149229, nnz_a=9.48373, nnz_b=14.7335, uni_search=0.244165, uni_subSolve=0.0590084, uni_maintain=0.0678554, bi_search=1.11895, bi_subSolve=0.226994, bi_maintain=0.147757, admm_maintain=0.147299, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25758.4, p_obj=27702.2, heldout Acc=0.914411 (32/1000), overall time=127.212
i=47, infea=0.149051, nnz_a=9.58316, nnz_b=14.7848, uni_search=0.240218, uni_subSolve=0.0591622, uni_maintain=0.0686342, bi_search=1.2584, bi_subSolve=0.295974, bi_maintain=0.149185, admm_maintain=0.149908, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25774, p_obj=27829.9, heldout Acc=0.912706 (33/1000), overall time=130.311
i=48, infea=0.14887, nnz_a=9.67939, nnz_b=14.8338, uni_search=0.288459, uni_subSolve=0.0594067, uni_maintain=0.0900842, bi_search=1.14138, bi_subSolve=0.251677, bi_maintain=0.168264, admm_maintain=0.149185, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25788.6, p_obj=28544.2, heldout Acc=0.912526 (34/1000), overall time=133.379
i=49, infea=0.148686, nnz_a=9.77165, nnz_b=14.8809, uni_search=0.234535, uni_subSolve=0.0591254, uni_maintain=0.0695228, bi_search=1.30968, bi_subSolve=0.308083, bi_maintain=0.194474, admm_maintain=0.166094, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25802.9, p_obj=27869, heldout Acc=0.912634 (35/1000), overall time=136.619
i=50, infea=0.148507, nnz_a=9.8602, nnz_b=14.9268, uni_search=0.30309, uni_subSolve=0.061505, uni_maintain=0.0723575, bi_search=1.29227, bi_subSolve=0.331384, bi_maintain=0.147483, admm_maintain=0.222959, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25816.5, p_obj=27702, heldout Acc=0.913653 (36/1000), overall time=140.19
i=51, infea=0.148334, nnz_a=9.94714, nnz_b=14.9715, uni_search=0.246788, uni_subSolve=0.0603127, uni_maintain=0.0722521, bi_search=1.05469, bi_subSolve=0.245029, bi_maintain=0.137965, admm_maintain=0.167251, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25830, p_obj=29185.6, heldout Acc=0.913933 (37/1000), overall time=143.027
i=52, infea=0.148159, nnz_a=10.0294, nnz_b=15.0147, uni_search=0.273483, uni_subSolve=0.0637052, uni_maintain=0.0750525, bi_search=1.04758, bi_subSolve=0.231713, bi_maintain=0.132425, admm_maintain=0.161393, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25842.9, p_obj=26702.1, heldout Acc=0.912435 (38/1000), overall time=145.868
i=53, infea=0.147989, nnz_a=10.1109, nnz_b=15.0559, uni_search=0.240254, uni_subSolve=0.05998, uni_maintain=0.0726732, bi_search=1.08587, bi_subSolve=0.245191, bi_maintain=0.137463, admm_maintain=0.182535, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25855, p_obj=27109.2, heldout Acc=0.912408 (39/1000), overall time=148.738
i=54, infea=0.14783, nnz_a=10.1894, nnz_b=15.0957, uni_search=0.26782, uni_subSolve=0.0627663, uni_maintain=0.0759996, bi_search=1.0616, bi_subSolve=0.235139, bi_maintain=0.146369, admm_maintain=0.162603, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25865.9, p_obj=26881.5, heldout Acc=0.912823 (40/1000), overall time=151.619
i=55, infea=0.147664, nnz_a=10.2656, nnz_b=15.1337, uni_search=0.254854, uni_subSolve=0.0618436, uni_maintain=0.0758261, bi_search=1.04632, bi_subSolve=0.219389, bi_maintain=0.143259, admm_maintain=0.156991, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25876.3, p_obj=27774.2, heldout Acc=0.912598 (41/1000), overall time=154.421
i=56, infea=0.147513, nnz_a=10.3384, nnz_b=15.1713, uni_search=0.254239, uni_subSolve=0.0619903, uni_maintain=0.0763, bi_search=1.04641, bi_subSolve=0.217913, bi_maintain=0.142993, admm_maintain=0.157257, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25886.4, p_obj=26652, heldout Acc=0.912372 (42/1000), overall time=157.221
i=57, infea=0.147362, nnz_a=10.4102, nnz_b=15.2077, uni_search=0.253866, uni_subSolve=0.0620415, uni_maintain=0.0769647, bi_search=1.04848, bi_subSolve=0.219083, bi_maintain=0.143218, admm_maintain=0.158911, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25897.1, p_obj=27943.8, heldout Acc=0.912517 (43/1000), overall time=160.027
i=58, infea=0.14721, nnz_a=10.479, nnz_b=15.2424, uni_search=0.253353, uni_subSolve=0.0622573, uni_maintain=0.0773698, bi_search=1.04601, bi_subSolve=0.219968, bi_maintain=0.142966, admm_maintain=0.157381, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25907.1, p_obj=26301.6, heldout Acc=0.914222 (44/1000), overall time=162.831
i=59, infea=0.147074, nnz_a=10.5471, nnz_b=15.2774, uni_search=0.253461, uni_subSolve=0.0623417, uni_maintain=0.077518, bi_search=1.04576, bi_subSolve=0.221977, bi_maintain=0.143404, admm_maintain=0.158786, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25916.8, p_obj=28544.5, heldout Acc=0.913076 (45/1000), overall time=165.644
