using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=42, infea=0.0663066, nnz_a=4.57802, nnz_b=5.73249, uni_search=0.32031, uni_subSolve=0.0754581, uni_maintain=0.0530789, bi_search=1.05924, bi_subSolve=0.0920744, bi_maintain=0.0904605, admm_maintain=0.165686, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23634.9, p_obj=20845, heldout Acc=0.928783, overall time=126.194
i=43, infea=0.0642238, nnz_a=4.58382, nnz_b=5.72399, uni_search=0.319947, uni_subSolve=0.0758525, uni_maintain=0.0528213, bi_search=1.05969, bi_subSolve=0.0918688, bi_maintain=0.09012, admm_maintain=0.164505, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23530.6, p_obj=21395.3, heldout Acc=0.928647 (1/1000), overall time=128.926
i=44, infea=0.0619601, nnz_a=4.61091, nnz_b=5.71157, uni_search=0.320312, uni_subSolve=0.0770872, uni_maintain=0.0517404, bi_search=1.05934, bi_subSolve=0.0917226, bi_maintain=0.0897187, admm_maintain=0.165227, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23429, p_obj=20232.3, heldout Acc=0.928548 (2/1000), overall time=131.661
i=45, infea=0.0597273, nnz_a=4.64528, nnz_b=5.69908, uni_search=0.320648, uni_subSolve=0.0781183, uni_maintain=0.0514909, bi_search=1.0589, bi_subSolve=0.0915846, bi_maintain=0.0893072, admm_maintain=0.166107, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23330.5, p_obj=20147.6, heldout Acc=0.928431 (3/1000), overall time=134.394
i=46, infea=0.0576211, nnz_a=4.68153, nnz_b=5.68518, uni_search=0.321181, uni_subSolve=0.0793026, uni_maintain=0.0519916, bi_search=1.06093, bi_subSolve=0.0918343, bi_maintain=0.089661, admm_maintain=0.160974, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23238.5, p_obj=21088.3, heldout Acc=0.927971 (4/1000), overall time=137.123
i=47, infea=0.0556367, nnz_a=4.71726, nnz_b=5.67041, uni_search=0.309555, uni_subSolve=0.0783862, uni_maintain=0.0513764, bi_search=1.05324, bi_subSolve=0.0905201, bi_maintain=0.0871857, admm_maintain=0.1587, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23150, p_obj=19747.5, heldout Acc=0.927908 (5/1000), overall time=139.813
i=48, infea=0.0538041, nnz_a=4.75551, nnz_b=5.65639, uni_search=0.307164, uni_subSolve=0.0787536, uni_maintain=0.0521594, bi_search=1.04873, bi_subSolve=0.089711, bi_maintain=0.0858383, admm_maintain=0.157869, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23067, p_obj=21517, heldout Acc=0.928485 (6/1000), overall time=142.493
i=49, infea=0.0520942, nnz_a=4.79354, nnz_b=5.64353, uni_search=0.306312, uni_subSolve=0.079279, uni_maintain=0.0527036, bi_search=1.04848, bi_subSolve=0.0894709, bi_maintain=0.0854661, admm_maintain=0.157289, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22988.9, p_obj=22144.2, heldout Acc=0.928458 (7/1000), overall time=145.172
i=50, infea=0.0505052, nnz_a=4.82763, nnz_b=5.63188, uni_search=0.308004, uni_subSolve=0.0801278, uni_maintain=0.0519269, bi_search=1.0496, bi_subSolve=0.0895225, bi_maintain=0.0853479, admm_maintain=0.159112, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22913.1, p_obj=21507, heldout Acc=0.928178 (8/1000), overall time=147.851
i=51, infea=0.0490323, nnz_a=4.8597, nnz_b=5.6169, uni_search=0.306984, uni_subSolve=0.0805019, uni_maintain=0.0523471, bi_search=1.04851, bi_subSolve=0.0891728, bi_maintain=0.0847208, admm_maintain=0.158597, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22842.2, p_obj=20842.8, heldout Acc=0.928485 (9/1000), overall time=150.532
i=52, infea=0.0476365, nnz_a=4.88944, nnz_b=5.60451, uni_search=0.306777, uni_subSolve=0.0810557, uni_maintain=0.0535471, bi_search=1.05073, bi_subSolve=0.0908324, bi_maintain=0.084458, admm_maintain=0.159564, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22774.2, p_obj=21995.9, heldout Acc=0.928747 (10/1000), overall time=153.221
i=53, infea=0.0463052, nnz_a=4.91747, nnz_b=5.59292, uni_search=0.308626, uni_subSolve=0.0817534, uni_maintain=0.0530373, bi_search=1.05069, bi_subSolve=0.0907317, bi_maintain=0.0844068, admm_maintain=0.15832, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22709.5, p_obj=21559, heldout Acc=0.928711 (11/1000), overall time=155.909
i=54, infea=0.0450811, nnz_a=4.94133, nnz_b=5.58158, uni_search=0.308934, uni_subSolve=0.0824612, uni_maintain=0.0532408, bi_search=1.04936, bi_subSolve=0.0902623, bi_maintain=0.0837716, admm_maintain=0.160836, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22648.5, p_obj=20655.8, heldout Acc=0.928557 (12/1000), overall time=158.597
i=55, infea=0.0438973, nnz_a=4.96226, nnz_b=5.56937, uni_search=0.308519, uni_subSolve=0.0825434, uni_maintain=0.0537273, bi_search=1.04918, bi_subSolve=0.0899405, bi_maintain=0.0831852, admm_maintain=0.16113, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22591.4, p_obj=20060.6, heldout Acc=0.928711 (13/1000), overall time=161.285
i=56, infea=0.0427806, nnz_a=4.98297, nnz_b=5.55829, uni_search=0.313016, uni_subSolve=0.0833459, uni_maintain=0.0540696, bi_search=1.04859, bi_subSolve=0.0903034, bi_maintain=0.082563, admm_maintain=0.163714, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22536.6, p_obj=19827.6, heldout Acc=0.928783 (14/1000), overall time=163.981
i=57, infea=0.0416916, nnz_a=5.00081, nnz_b=5.5478, uni_search=0.308475, uni_subSolve=0.0833345, uni_maintain=0.0538513, bi_search=1.09105, bi_subSolve=0.100165, bi_maintain=0.0904914, admm_maintain=0.172318, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22485.1, p_obj=21238.1, heldout Acc=0.928756 (15/1000), overall time=166.79
i=58, infea=0.0406517, nnz_a=5.01603, nnz_b=5.5369, uni_search=0.339273, uni_subSolve=0.0894344, uni_maintain=0.0574802, bi_search=1.09483, bi_subSolve=0.100957, bi_maintain=0.0909081, admm_maintain=0.170034, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22436.7, p_obj=22820.4, heldout Acc=0.928801, overall time=169.668
i=59, infea=0.0396767, nnz_a=5.02994, nnz_b=5.52619, uni_search=0.312841, uni_subSolve=0.0843538, uni_maintain=0.0543849, bi_search=1.0494, bi_subSolve=0.0893408, bi_maintain=0.0819147, admm_maintain=0.158344, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22393.4, p_obj=20933.7, heldout Acc=0.92862 (1/1000), overall time=172.363
i=60, infea=0.0387345, nnz_a=5.03863, nnz_b=5.51716, uni_search=0.308923, uni_subSolve=0.0841679, uni_maintain=0.0555084, bi_search=1.05047, bi_subSolve=0.0893074, bi_maintain=0.0820428, admm_maintain=0.158219, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22350.9, p_obj=21337.1, heldout Acc=0.928846, overall time=175.065
i=61, infea=0.0378396, nnz_a=5.04599, nnz_b=5.50857, uni_search=0.334005, uni_subSolve=0.0868633, uni_maintain=0.0580705, bi_search=1.06558, bi_subSolve=0.0911021, bi_maintain=0.0970382, admm_maintain=0.197046, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22311.4, p_obj=21414, heldout Acc=0.928819 (1/1000), overall time=177.909
i=62, infea=0.0369672, nnz_a=5.05291, nnz_b=5.49987, uni_search=0.333192, uni_subSolve=0.0869068, uni_maintain=0.0580889, bi_search=1.06572, bi_subSolve=0.0909365, bi_maintain=0.0966034, admm_maintain=0.171531, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22272.7, p_obj=20663.3, heldout Acc=0.928828 (2/1000), overall time=180.719
i=63, infea=0.0361431, nnz_a=5.05926, nnz_b=5.49331, uni_search=0.329157, uni_subSolve=0.086654, uni_maintain=0.0577327, bi_search=1.03519, bi_subSolve=0.0852958, bi_maintain=0.0772358, admm_maintain=0.14902, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22235.2, p_obj=20570.5, heldout Acc=0.928729 (3/1000), overall time=183.391
i=64, infea=0.0353594, nnz_a=5.06476, nnz_b=5.48922, uni_search=0.286198, uni_subSolve=0.0831279, uni_maintain=0.0549622, bi_search=1.03795, bi_subSolve=0.085523, bi_maintain=0.0774782, admm_maintain=0.151182, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22201.2, p_obj=20022.8, heldout Acc=0.929026, overall time=186.027
i=65, infea=0.0346107, nnz_a=5.06723, nnz_b=5.47947, uni_search=0.246689, uni_subSolve=0.0797208, uni_maintain=0.0521149, bi_search=1.01259, bi_subSolve=0.0822863, bi_maintain=0.0705507, admm_maintain=0.128688, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22168.1, p_obj=19170.9, heldout Acc=0.928666 (1/1000), overall time=188.501
i=66, infea=0.0338903, nnz_a=5.07052, nnz_b=5.47434, uni_search=0.246758, uni_subSolve=0.0798835, uni_maintain=0.0523475, bi_search=1.01304, bi_subSolve=0.0824571, bi_maintain=0.0701632, admm_maintain=0.127884, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22137.1, p_obj=18608, heldout Acc=0.928936 (2/1000), overall time=190.973
i=67, infea=0.0332058, nnz_a=5.07593, nnz_b=5.46987, uni_search=0.245987, uni_subSolve=0.079877, uni_maintain=0.0521687, bi_search=1.01133, bi_subSolve=0.0808505, bi_maintain=0.0700697, admm_maintain=0.128145, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22107.1, p_obj=18736.6, heldout Acc=0.928873 (3/1000), overall time=193.448
i=68, infea=0.0325409, nnz_a=5.07695, nnz_b=5.46489, uni_search=0.250394, uni_subSolve=0.0802398, uni_maintain=0.0527928, bi_search=1.0111, bi_subSolve=0.080607, bi_maintain=0.06961, admm_maintain=0.128702, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22078.4, p_obj=20420.9, heldout Acc=0.928945 (4/1000), overall time=195.93
i=69, infea=0.0318997, nnz_a=5.07827, nnz_b=5.45706, uni_search=0.24663, uni_subSolve=0.0800694, uni_maintain=0.0529406, bi_search=1.01252, bi_subSolve=0.0815137, bi_maintain=0.0695765, admm_maintain=0.127968, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22049.7, p_obj=20384.5, heldout Acc=0.929017 (5/1000), overall time=198.41
