using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=26, infea=0.112183, nnz_a=4.43013, nnz_b=5.97557, uni_search=0.279266, uni_subSolve=0.0744833, uni_maintain=0.0478727, bi_search=0.662625, bi_subSolve=0.0962521, bi_maintain=0.0923171, admm_maintain=0.132562, area1=47.839, area23=1.84312, area4=6.74861, dual_obj=-25638.5, p_obj=24333, heldout Acc=0.924976 (1/1000), overall time=54.6816
i=27, infea=0.108488, nnz_a=4.46073, nnz_b=5.95801, uni_search=0.244487, uni_subSolve=0.0687914, uni_maintain=0.0458031, bi_search=0.630796, bi_subSolve=0.090437, bi_maintain=0.0869535, admm_maintain=0.13811, area1=50.6292, area23=1.83348, area4=6.88626, dual_obj=-25482.8, p_obj=23553.5, heldout Acc=0.925084 (2/1000), overall time=56.8033
i=28, infea=0.104955, nnz_a=4.48843, nnz_b=5.93603, uni_search=0.27735, uni_subSolve=0.0751367, uni_maintain=0.0486363, bi_search=0.678376, bi_subSolve=0.0995852, bi_maintain=0.0941196, admm_maintain=0.151371, area1=53.506, area23=1.82256, area4=7.02827, dual_obj=-25329, p_obj=24029.4, heldout Acc=0.926554, overall time=59.1019
i=29, infea=0.101507, nnz_a=4.51233, nnz_b=5.92343, uni_search=0.267975, uni_subSolve=0.0722438, uni_maintain=0.0483668, bi_search=0.671728, bi_subSolve=0.0918139, bi_maintain=0.088815, admm_maintain=0.138102, area1=56.487, area23=1.81122, area4=7.1894, dual_obj=-25186, p_obj=23690.2, heldout Acc=0.926176 (1/1000), overall time=61.3108
i=30, infea=0.0981971, nnz_a=4.53504, nnz_b=5.9074, uni_search=0.271932, uni_subSolve=0.071087, uni_maintain=0.0506318, bi_search=0.663129, bi_subSolve=0.0900784, bi_maintain=0.0842413, admm_maintain=0.135442, area1=59.5553, area23=1.79867, area4=7.32405, dual_obj=-25050, p_obj=22522.7, heldout Acc=0.927249, overall time=63.4877
i=31, infea=0.094974, nnz_a=4.55391, nnz_b=5.88653, uni_search=0.252814, uni_subSolve=0.0706709, uni_maintain=0.0474014, bi_search=0.672297, bi_subSolve=0.0902088, bi_maintain=0.0843796, admm_maintain=0.137436, area1=62.7033, area23=1.78816, area4=7.43756, dual_obj=-24923.3, p_obj=21302, heldout Acc=0.927664, overall time=65.6512
i=32, infea=0.0918489, nnz_a=4.57013, nnz_b=5.86882, uni_search=0.241861, uni_subSolve=0.0697047, uni_maintain=0.047981, bi_search=0.681785, bi_subSolve=0.0905705, bi_maintain=0.0841387, admm_maintain=0.138897, area1=65.9211, area23=1.77618, area4=7.53298, dual_obj=-24803.6, p_obj=22154.9, heldout Acc=0.928025, overall time=67.8196
i=33, infea=0.0888762, nnz_a=4.58228, nnz_b=5.85122, uni_search=0.244075, uni_subSolve=0.0701141, uni_maintain=0.0478981, bi_search=0.680238, bi_subSolve=0.0891946, bi_maintain=0.0820952, admm_maintain=0.147365, area1=69.2199, area23=1.76505, area4=7.66078, dual_obj=-24680.7, p_obj=21572.9, heldout Acc=0.925824 (1/1000), overall time=69.9859
i=34, infea=0.0860335, nnz_a=4.59262, nnz_b=5.83999, uni_search=0.246249, uni_subSolve=0.0703867, uni_maintain=0.0477772, bi_search=0.685952, bi_subSolve=0.0890807, bi_maintain=0.0813947, admm_maintain=0.134919, area1=72.593, area23=1.75445, area4=8.01014, dual_obj=-24563.2, p_obj=21792.4, heldout Acc=0.928151, overall time=72.1556
i=35, infea=0.0833375, nnz_a=4.5974, nnz_b=5.82709, uni_search=0.266338, uni_subSolve=0.076366, uni_maintain=0.0512208, bi_search=0.687998, bi_subSolve=0.0890352, bi_maintain=0.0801619, admm_maintain=0.118316, area1=76.0338, area23=1.74342, area4=7.96847, dual_obj=-24448.5, p_obj=23894.9, heldout Acc=0.928097 (1/1000), overall time=74.3454
