using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=26, infea=0.0030471, nnz_a=6.47126, nnz_b=10.731, uni_search=0.720819, uni_subSolve=0.130927, uni_maintain=0.0707523, bi_search=1.28999, bi_subSolve=0.194164, bi_maintain=0.169073, admm_maintain=0.368987, area1=148.644, area23=1.84248, area4=11.7149, dual_obj=-4768.08, p_obj=37870.4, heldout Acc=0.915458, overall time=100.425
i=27, infea=0.00291537, nnz_a=6.47661, nnz_b=10.7042, uni_search=0.667304, uni_subSolve=0.127348, uni_maintain=0.0718757, bi_search=1.31345, bi_subSolve=0.194359, bi_maintain=0.168939, admm_maintain=0.370337, area1=159.501, area23=1.82369, area4=12.0303, dual_obj=-4841.23, p_obj=35536.3, heldout Acc=0.916405, overall time=104.612
i=28, infea=0.00279294, nnz_a=6.4795, nnz_b=10.6739, uni_search=0.650078, uni_subSolve=0.125656, uni_maintain=0.0715333, bi_search=1.34082, bi_subSolve=0.194762, bi_maintain=0.17054, admm_maintain=0.360335, area1=170.703, area23=1.80837, area4=12.3511, dual_obj=-4914.07, p_obj=38155.3, heldout Acc=0.91756, overall time=108.795
i=29, infea=0.00267793, nnz_a=6.47652, nnz_b=10.635, uni_search=0.719237, uni_subSolve=0.131695, uni_maintain=0.0746736, bi_search=1.43872, bi_subSolve=0.207216, bi_maintain=0.170294, admm_maintain=0.385411, area1=182.164, area23=1.79297, area4=12.629, dual_obj=-4986.41, p_obj=35576.6, heldout Acc=0.917524 (1/1000), overall time=113.251
i=30, infea=0.002569, nnz_a=6.47011, nnz_b=10.592, uni_search=0.710191, uni_subSolve=0.130087, uni_maintain=0.0749426, bi_search=1.43548, bi_subSolve=0.201858, bi_maintain=0.170185, admm_maintain=0.363794, area1=193.864, area23=1.78062, area4=12.9094, dual_obj=-5058.52, p_obj=38244.5, heldout Acc=0.918029, overall time=117.637
i=31, infea=0.00246597, nnz_a=6.45891, nnz_b=10.5449, uni_search=0.656387, uni_subSolve=0.126725, uni_maintain=0.0747287, bi_search=1.39616, bi_subSolve=0.193729, bi_maintain=0.170486, admm_maintain=0.366105, area1=205.763, area23=1.76669, area4=13.1623, dual_obj=-5130.52, p_obj=39693.9, heldout Acc=0.918534, overall time=121.891
i=32, infea=0.00236974, nnz_a=6.44809, nnz_b=10.4924, uni_search=0.640237, uni_subSolve=0.125368, uni_maintain=0.0739612, bi_search=1.42561, bi_subSolve=0.195136, bi_maintain=0.170568, admm_maintain=0.359707, area1=217.704, area23=1.75553, area4=13.4047, dual_obj=-5201.97, p_obj=37851.1, heldout Acc=0.919039, overall time=126.149
i=33, infea=0.00227628, nnz_a=6.43416, nnz_b=10.4357, uni_search=0.649256, uni_subSolve=0.12565, uni_maintain=0.0755132, bi_search=1.50684, bi_subSolve=0.202973, bi_maintain=0.170114, admm_maintain=0.369023, area1=229.747, area23=1.74541, area4=13.6388, dual_obj=-5273.24, p_obj=37544.4, heldout Acc=0.919581, overall time=130.557
i=34, infea=0.00218933, nnz_a=6.4211, nnz_b=10.3794, uni_search=0.695486, uni_subSolve=0.129578, uni_maintain=0.0763372, bi_search=1.54144, bi_subSolve=0.20406, bi_maintain=0.169693, admm_maintain=0.373856, area1=241.815, area23=1.73497, area4=13.8809, dual_obj=-5344.37, p_obj=39523.6, heldout Acc=0.919951, overall time=135.06
i=35, infea=0.00210715, nnz_a=6.40354, nnz_b=10.3313, uni_search=0.627524, uni_subSolve=0.123191, uni_maintain=0.074842, bi_search=1.47467, bi_subSolve=0.192298, bi_maintain=0.169111, admm_maintain=0.354172, area1=253.784, area23=1.72406, area4=14.0719, dual_obj=-5415.38, p_obj=38147.7, heldout Acc=0.92032, overall time=139.334
i=36, infea=0.00202757, nnz_a=6.38714, nnz_b=10.2744, uni_search=0.649214, uni_subSolve=0.124876, uni_maintain=0.0771129, bi_search=1.50027, bi_subSolve=0.193459, bi_maintain=0.168815, admm_maintain=0.357375, area1=265.614, area23=1.71636, area4=14.343, dual_obj=-5486.26, p_obj=37059.1, heldout Acc=0.920185 (1/1000), overall time=143.698
i=37, infea=0.00195359, nnz_a=6.36888, nnz_b=10.225, uni_search=0.649749, uni_subSolve=0.124511, uni_maintain=0.0754899, bi_search=1.54799, bi_subSolve=0.197046, bi_maintain=0.168321, admm_maintain=0.365307, area1=277.214, area23=1.70681, area4=14.5586, dual_obj=-5556.88, p_obj=36767.2, heldout Acc=0.920329, overall time=148.134
i=38, infea=0.00188319, nnz_a=6.35153, nnz_b=10.1752, uni_search=0.712595, uni_subSolve=0.130474, uni_maintain=0.0763956, bi_search=1.60927, bi_subSolve=0.203799, bi_maintain=0.167955, admm_maintain=0.377865, area1=288.341, area23=1.69995, area4=14.824, dual_obj=-5627.82, p_obj=37928.9, heldout Acc=0.920988, overall time=152.721
i=39, infea=0.00181653, nnz_a=6.33661, nnz_b=10.1268, uni_search=0.696327, uni_subSolve=0.128425, uni_maintain=0.0758715, bi_search=1.54604, bi_subSolve=0.192563, bi_maintain=0.165886, admm_maintain=0.362842, area1=299.128, area23=1.69223, area4=15.0677, dual_obj=-5698.34, p_obj=37718.5, heldout Acc=0.921232, overall time=157.16
i=40, infea=0.00175131, nnz_a=6.32034, nnz_b=10.0726, uni_search=0.634335, uni_subSolve=0.122797, uni_maintain=0.074198, bi_search=1.55922, bi_subSolve=0.191779, bi_maintain=0.165738, admm_maintain=0.346571, area1=309.263, area23=1.68574, area4=15.2744, dual_obj=-5768.56, p_obj=40453.1, heldout Acc=0.921475, overall time=161.524
i=41, infea=0.00168963, nnz_a=6.30652, nnz_b=10.0219, uni_search=0.649794, uni_subSolve=0.123961, uni_maintain=0.0742667, bi_search=1.57918, bi_subSolve=0.192359, bi_maintain=0.164874, admm_maintain=0.375289, area1=318.667, area23=1.67993, area4=15.4975, dual_obj=-5838.48, p_obj=36879.4, heldout Acc=0.921457 (1/1000), overall time=165.978
i=42, infea=0.00162951, nnz_a=6.29106, nnz_b=9.96869, uni_search=0.726991, uni_subSolve=0.130411, uni_maintain=0.0775352, bi_search=1.66264, bi_subSolve=0.203961, bi_maintain=0.165355, admm_maintain=0.384766, area1=327.217, area23=1.67559, area4=15.7183, dual_obj=-5908.08, p_obj=37032.9, heldout Acc=0.922116, overall time=170.657
i=43, infea=0.0015719, nnz_a=6.28293, nnz_b=9.91222, uni_search=0.720854, uni_subSolve=0.129387, uni_maintain=0.0749624, bi_search=1.59475, bi_subSolve=0.190799, bi_maintain=0.164586, admm_maintain=0.383593, area1=334.633, area23=1.67201, area4=15.8967, dual_obj=-5977.55, p_obj=38353.3, heldout Acc=0.922729, overall time=175.203
i=44, infea=0.0015156, nnz_a=6.27577, nnz_b=9.85242, uni_search=0.64852, uni_subSolve=0.123899, uni_maintain=0.0734795, bi_search=1.59111, bi_subSolve=0.190808, bi_maintain=0.166492, admm_maintain=0.353162, area1=340.708, area23=1.66846, area4=16.0683, dual_obj=-6046.62, p_obj=38880.6, heldout Acc=0.922919, overall time=179.62
i=45, infea=0.00146018, nnz_a=6.27409, nnz_b=9.79195, uni_search=0.645339, uni_subSolve=0.122866, uni_maintain=0.0725504, bi_search=1.58687, bi_subSolve=0.187821, bi_maintain=0.164537, admm_maintain=0.343732, area1=345.369, area23=1.66723, area4=16.2647, dual_obj=-6115.43, p_obj=36621.5, heldout Acc=0.922792 (1/1000), overall time=184.039
i=46, infea=0.00140707, nnz_a=6.27407, nnz_b=9.72932, uni_search=0.721664, uni_subSolve=0.128952, uni_maintain=0.0724354, bi_search=1.68054, bi_subSolve=0.199737, bi_maintain=0.166557, admm_maintain=0.377241, area1=348.635, area23=1.66622, area4=16.4254, dual_obj=-6183.77, p_obj=36511.8, heldout Acc=0.923424, overall time=188.698
i=47, infea=0.00135788, nnz_a=6.27638, nnz_b=9.66503, uni_search=0.712315, uni_subSolve=0.128301, uni_maintain=0.0721064, bi_search=1.625, bi_subSolve=0.190121, bi_maintain=0.164318, admm_maintain=0.353466, area1=350.718, area23=1.6659, area4=16.5727, dual_obj=-6251.72, p_obj=37118.2, heldout Acc=0.921872 (1/1000), overall time=193.221
i=48, infea=0.00131545, nnz_a=6.27646, nnz_b=9.60517, uni_search=0.651569, uni_subSolve=0.124778, uni_maintain=0.0712235, bi_search=1.62102, bi_subSolve=0.188863, bi_maintain=0.163855, admm_maintain=0.346981, area1=352.045, area23=1.66599, area4=16.7285, dual_obj=-6319.17, p_obj=38909.9, heldout Acc=0.923541, overall time=197.665
i=49, infea=0.0012772, nnz_a=6.2762, nnz_b=9.54292, uni_search=0.647597, uni_subSolve=0.122682, uni_maintain=0.0711642, bi_search=1.61698, bi_subSolve=0.186979, bi_maintain=0.163021, admm_maintain=0.349064, area1=352.843, area23=1.66629, area4=16.8823, dual_obj=-6386.29, p_obj=36246.5, heldout Acc=0.92226 (1/1000), overall time=202.105
i=50, infea=0.00124288, nnz_a=6.2669, nnz_b=9.4801, uni_search=0.702536, uni_subSolve=0.128152, uni_maintain=0.0736198, bi_search=1.69279, bi_subSolve=0.197537, bi_maintain=0.162126, admm_maintain=0.37743, area1=353.292, area23=1.66622, area4=16.9807, dual_obj=-6453, p_obj=37711.7, heldout Acc=0.922134 (2/1000), overall time=206.779
